#	startTime:1560828669328
#	SiteID:5cd56b61e2acfd2d33b58d20	SiteName:1088广场	FloorId:5cd56b62e2acfd2d33b58ebe	FloorName:F2
#	Brand:OPPO	Model:OPPO R9s	AndroidName:6.0.1	APILevel:23	
#	type:1	name:BMI160 Accelerometer	version:2060500	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2060500	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190612-nightly	VersionCode:263	
1560828669329	TYPE_WAYPOINT	58.294224	25.327692
1560828669557	TYPE_ACCELEROMETER	-2.0620575	1.5642395	8.853836
1560828669557	TYPE_MAGNETIC_FIELD	29.241943	-7.5180054	-16.07666
1560828669557	TYPE_GYROSCOPE	0.057754517	-0.099990845	0.021560669
1560828669557	TYPE_ROTATION_VECTOR	-0.023531634	0.13480203	0.7455304
1560828669557	TYPE_MAGNETIC_FIELD_UNCALIBRATED	53.779602	-47.1756	-184.27429
1560828669557	TYPE_GYROSCOPE_UNCALIBRATED	0.08735657	-0.16351318	0.009048462
1560828669577	TYPE_ACCELEROMETER	-2.0776215	1.4900208	9.086075
1560828669577	TYPE_MAGNETIC_FIELD	29.241943	-8.210754	-16.752625
1560828669577	TYPE_GYROSCOPE	-0.07220459	-0.076034546	0.015167236
1560828669577	TYPE_ROTATION_VECTOR	-0.025135234	0.13361648	0.7466532
1560828669577	TYPE_MAGNETIC_FIELD_UNCALIBRATED	53.779602	-47.868347	-184.95026
1560828669577	TYPE_GYROSCOPE_UNCALIBRATED	0.06285095	-0.111846924	0.021835327
1560828669597	TYPE_ACCELEROMETER	-2.0584564	1.5821991	9.563721
1560828669597	TYPE_MAGNETIC_FIELD	29.241943	-10.292053	-16.752625
1560828669597	TYPE_GYROSCOPE	-0.16648865	-0.13835144	0.008255005
1560828669597	TYPE_ROTATION_VECTOR	-0.025509024	0.13112493	0.7479027
1560828669597	TYPE_MAGNETIC_FIELD_UNCALIBRATED	53.779602	-49.949646	-184.95026
1560828669597	TYPE_GYROSCOPE_UNCALIBRATED	-0.067108154	-0.087890625	0.0154418945
1560828669617	TYPE_ACCELEROMETER	-2.0093842	1.7833099	9.508652
1560828669617	TYPE_MAGNETIC_FIELD	29.241943	-8.210754	-17.427063
1560828669617	TYPE_GYROSCOPE	-0.15209961	-0.18095398	-8.087158E-4
1560828669617	TYPE_ROTATION_VECTOR	-0.023946865	0.12991424	0.74748063
1560828669617	TYPE_MAGNETIC_FIELD_UNCALIBRATED	53.779602	-47.868347	-185.6247
1560828669617	TYPE_GYROSCOPE_UNCALIBRATED	-0.16139221	-0.15020752	0.008529663
1560828669637	TYPE_ACCELEROMETER	-2.1326752	1.9365387	8.844254
1560828669637	TYPE_MAGNETIC_FIELD	27.845764	-7.5180054	-16.752625
1560828669637	TYPE_GYROSCOPE	-0.111083984	-0.1793518	-0.010391235
1560828669637	TYPE_ROTATION_VECTOR	-0.02246116	0.13134469	0.74588287
1560828669637	TYPE_MAGNETIC_FIELD_UNCALIBRATED	52.383423	-47.1756	-184.95026
1560828669637	TYPE_GYROSCOPE_UNCALIBRATED	-0.14700317	-0.19281006	-5.340576E-4
1560828669656	TYPE_ACCELEROMETER	-2.0812073	2.0107574	8.188248
1560828669656	TYPE_MAGNETIC_FIELD	27.845764	-6.8237305	-17.427063
1560828669656	TYPE_GYROSCOPE	-0.15742493	-0.18309021	0.0029144287
1560828669656	TYPE_ROTATION_VECTOR	-0.020934086	0.1330703	0.74384534
1560828669656	TYPE_MAGNETIC_FIELD_UNCALIBRATED	52.383423	-46.481323	-185.6247
1560828669656	TYPE_GYROSCOPE_UNCALIBRATED	-0.10598755	-0.19120789	-0.010116577
1560828669676	TYPE_ACCELEROMETER	-1.9219971	2.0095673	7.9500275
1560828669676	TYPE_MAGNETIC_FIELD	28.54309	-7.5180054	-17.427063
1560828669676	TYPE_GYROSCOPE	-0.32893372	-0.23847961	0.013580322
1560828669676	TYPE_ROTATION_VECTOR	-0.019665346	0.13258173	0.7423308
1560828669676	TYPE_MAGNETIC_FIELD_UNCALIBRATED	53.08075	-47.1756	-185.6247
1560828669676	TYPE_GYROSCOPE_UNCALIBRATED	-0.15232849	-0.19494629	0.003189087
1560828669696	TYPE_ACCELEROMETER	-1.8310089	1.9736481	8.281616
1560828669696	TYPE_MAGNETIC_FIELD	27.845764	-5.4367065	-18.777466
1560828669696	TYPE_GYROSCOPE	-0.55477905	-0.34394836	0.013580322
1560828669696	TYPE_ROTATION_VECTOR	-0.019665346	0.13258173	0.7423308
1560828669696	TYPE_MAGNETIC_FIELD_UNCALIBRATED	52.383423	-45.0943	-186.9751
1560828669696	TYPE_GYROSCOPE_UNCALIBRATED	-0.32383728	-0.2503357	0.0138549805
