#	startTime:1560828767965
#	SiteID:5cd56b61e2acfd2d33b58d20	SiteName:1088广场	FloorId:5cd56b62e2acfd2d33b58ebe	FloorName:F2
#	Brand:OPPO	Model:OPPO R9s	AndroidName:6.0.1	APILevel:23	
#	type:1	name:BMI160 Accelerometer	version:2060500	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2060500	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190612-nightly	VersionCode:263	
1560828767965	TYPE_WAYPOINT	44.04045	19.237791
1560828768191	TYPE_ACCELEROMETER	-1.8106537	1.5678406	9.9192505
1560828768191	TYPE_MAGNETIC_FIELD	10.383606	20.233154	-24.85199
1560828768191	TYPE_GYROSCOPE	-0.020004272	0.009719849	-0.0013427734
1560828768191	TYPE_ROTATION_VECTOR	0.06304472	0.099190995	0.12556894
1560828768191	TYPE_MAGNETIC_FIELD_UNCALIBRATED	34.921265	-19.424438	-193.04962
1560828768191	TYPE_GYROSCOPE_UNCALIBRATED	-0.014907837	-0.0021362305	-0.0010681152
1560828768211	TYPE_ACCELEROMETER	-1.819046	1.565445	9.755249
1560828768211	TYPE_MAGNETIC_FIELD	11.0824585	20.233154	-24.85199
1560828768211	TYPE_GYROSCOPE	-0.013626099	0.0038604736	-8.087158E-4
1560828768211	TYPE_ROTATION_VECTOR	0.063473485	0.09905886	0.12571758
1560828768211	TYPE_MAGNETIC_FIELD_UNCALIBRATED	35.620117	-19.424438	-193.04962
1560828768211	TYPE_GYROSCOPE_UNCALIBRATED	-0.014907837	-0.0021362305	-0.0010681152
1560828768231	TYPE_ACCELEROMETER	-1.8130493	1.5869904	9.76004
1560828768231	TYPE_MAGNETIC_FIELD	11.0824585	18.844604	-25.527954
1560828768231	TYPE_GYROSCOPE	-0.026931763	0.016647339	-0.001876831
1560828768231	TYPE_ROTATION_VECTOR	0.0639305	0.09933453	0.12562278
1560828768231	TYPE_MAGNETIC_FIELD_UNCALIBRATED	35.620117	-20.812988	-193.72559
1560828768231	TYPE_GYROSCOPE_UNCALIBRATED	-0.021835327	0.0047912598	-0.0016021729
1560828768251	TYPE_ACCELEROMETER	-1.7855225	1.6420593	9.860596
1560828768251	TYPE_MAGNETIC_FIELD	11.0824585	22.314453	-25.527954
1560828768251	TYPE_GYROSCOPE	-0.031188965	0.017181396	-0.0045318604
1560828768251	TYPE_ROTATION_VECTOR	0.06425165	0.09958703	0.12572797
1560828768251	TYPE_MAGNETIC_FIELD_UNCALIBRATED	35.620117	-17.34314	-193.72559
1560828768251	TYPE_GYROSCOPE_UNCALIBRATED	-0.02609253	0.0053253174	-0.004257202
1560828768271	TYPE_ACCELEROMETER	-1.7508087	1.7138824	9.793564
1560828768271	TYPE_MAGNETIC_FIELD	11.0824585	20.233154	-25.527954
1560828768271	TYPE_GYROSCOPE	-0.001373291	0.009185791	7.9345703E-4
1560828768271	TYPE_ROTATION_VECTOR	0.06471421	0.09950646	0.12586926
1560828768271	TYPE_MAGNETIC_FIELD_UNCALIBRATED	35.620117	-19.424438	-193.72559
1560828768271	TYPE_GYROSCOPE_UNCALIBRATED	-0.02609253	0.0053253174	-0.004257202
1560828768290	TYPE_ACCELEROMETER	-1.7472076	1.6827545	9.550552
1560828768290	TYPE_MAGNETIC_FIELD	10.383606	21.620178	-24.85199
1560828768290	TYPE_GYROSCOPE	0.019943237	0.024108887	0.009307861
1560828768290	TYPE_ROTATION_VECTOR	0.065785356	0.09935762	0.12620097
1560828768290	TYPE_MAGNETIC_FIELD_UNCALIBRATED	34.921265	-18.037415	-193.04962
1560828768290	TYPE_GYROSCOPE_UNCALIBRATED	0.025039673	0.012252808	0.0095825195
1560828768310	TYPE_ACCELEROMETER	-1.763977	1.6456451	9.578079
1560828768310	TYPE_MAGNETIC_FIELD	9.686279	20.925903	-24.85199
1560828768310	TYPE_GYROSCOPE	-0.018951416	0.039016724	0.014633179
1560828768310	TYPE_ROTATION_VECTOR	0.06684489	0.09959662	0.12611313
1560828768310	TYPE_MAGNETIC_FIELD_UNCALIBRATED	34.223938	-18.73169	-193.04962
1560828768310	TYPE_GYROSCOPE_UNCALIBRATED	0.025039673	0.012252808	0.0095825195
1560828768330	TYPE_ACCELEROMETER	-1.7903137	1.5786133	9.842636
1560828768330	TYPE_MAGNETIC_FIELD	9.686279	21.620178	-24.177551
1560828768330	TYPE_GYROSCOPE	-0.059417725	0.027297974	0.019958496
1560828768330	TYPE_ROTATION_VECTOR	0.06716453	0.0999219	0.1259873
1560828768330	TYPE_MAGNETIC_FIELD_UNCALIBRATED	34.223938	-18.037415	-192.37518
1560828768330	TYPE_GYROSCOPE_UNCALIBRATED	-0.0138549805	0.027160645	0.014907837
1560828768350	TYPE_ACCELEROMETER	-1.8178406	1.5510712	9.947983
1560828768350	TYPE_MAGNETIC_FIELD	11.0824585	20.925903	-25.527954
1560828768350	TYPE_GYROSCOPE	-0.059951782	0.016113281	0.019439697
1560828768350	TYPE_ROTATION_VECTOR	0.066581406	0.099924244	0.12611249
1560828768350	TYPE_MAGNETIC_FIELD_UNCALIBRATED	35.620117	-18.73169	-193.72559
1560828768350	TYPE_GYROSCOPE_UNCALIBRATED	-0.05432129	0.0154418945	0.020233154
1560828768370	TYPE_ACCELEROMETER	-1.8573456	1.4804535	9.932419
1560828768370	TYPE_MAGNETIC_FIELD	10.383606	23.007202	-25.527954
1560828768370	TYPE_GYROSCOPE	-0.063690186	6.713867E-4	0.024765015
1560828768370	TYPE_ROTATION_VECTOR	0.06491718	0.09979228	0.12653758
1560828768370	TYPE_MAGNETIC_FIELD_UNCALIBRATED	34.921265	-16.65039	-193.72559
1560828768370	TYPE_GYROSCOPE_UNCALIBRATED	-0.054855347	0.004257202	0.019714355
1560828768390	TYPE_ACCELEROMETER	-1.6753845	1.4636841	10.19339
1560828768390	TYPE_MAGNETIC_FIELD	11.781311	20.925903	-24.177551
1560828768390	TYPE_GYROSCOPE	-0.08392334	-0.012649536	0.02848816
1560828768390	TYPE_ROTATION_VECTOR	0.06491718	0.09979228	0.12653758
1560828768390	TYPE_MAGNETIC_FIELD_UNCALIBRATED	36.31897	-18.73169	-192.37518
1560828768390	TYPE_GYROSCOPE_UNCALIBRATED	-0.078826904	-0.024505615	0.028762817
1560828768409	TYPE_ACCELEROMETER	-1.6430664	1.4457245	10.383728
1560828768409	TYPE_MAGNETIC_FIELD	11.781311	20.925903	-25.527954
1560828768409	TYPE_GYROSCOPE	-0.05090332	-0.00944519	0.008773804
1560828768409	TYPE_ROTATION_VECTOR	0.063709795	0.098844394	0.12792268
1560828768409	TYPE_MAGNETIC_FIELD_UNCALIBRATED	36.31897	-18.73169	-193.72559
1560828768409	TYPE_GYROSCOPE_UNCALIBRATED	-0.045806885	-0.02130127	0.009048462
1560828768429	TYPE_ACCELEROMETER	-1.6957397	1.4636841	10.024597
1560828768429	TYPE_MAGNETIC_FIELD	10.383606	22.314453	-24.85199
