#	startTime:1560828869287
#	SiteID:5cd56b61e2acfd2d33b58d20	SiteName:1088广场	FloorId:5cd56b62e2acfd2d33b58ebe	FloorName:F2
#	Brand:OPPO	Model:OPPO R9s	AndroidName:6.0.1	APILevel:23	
#	type:1	name:BMI160 Accelerometer	version:2060500	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2060500	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190612-nightly	VersionCode:263	
1560828869287	TYPE_WAYPOINT	37.361187	32.566574
1560828869522	TYPE_ACCELEROMETER	-1.6658173	0.9932251	10.011429
1560828869522	TYPE_MAGNETIC_FIELD	11.0824585	18.844604	-26.202393
1560828869522	TYPE_GYROSCOPE	0.2601471	-0.047805786	-0.10360718
1560828869522	TYPE_ROTATION_VECTOR	0.026463013	0.06910651	0.1511654
1560828869522	TYPE_MAGNETIC_FIELD_UNCALIBRATED	35.620117	-20.812988	-194.40002
1560828869522	TYPE_GYROSCOPE_UNCALIBRATED	0.15020752	-0.062316895	-0.10546875
1560828869542	TYPE_ACCELEROMETER	-1.7113037	1.0662537	9.350632
1560828869542	TYPE_MAGNETIC_FIELD	9.686279	19.53888	-26.876831
1560828869542	TYPE_GYROSCOPE	0.28253174	-0.029159546	-0.083358765
1560828869542	TYPE_ROTATION_VECTOR	0.031030297	0.07350142	0.14506558
1560828869542	TYPE_MAGNETIC_FIELD_UNCALIBRATED	34.223938	-20.118713	-195.07446
1560828869542	TYPE_GYROSCOPE_UNCALIBRATED	0.26524353	-0.059661865	-0.10333252
1560828869562	TYPE_ACCELEROMETER	-1.5796204	1.0710449	9.0298
1560828869562	TYPE_MAGNETIC_FIELD	10.383606	17.45758	-26.876831
1560828869562	TYPE_GYROSCOPE	0.21647644	-0.010513306	-0.055130005
1560828869562	TYPE_ROTATION_VECTOR	0.03575149	0.077729926	0.13890886
1560828869562	TYPE_MAGNETIC_FIELD_UNCALIBRATED	34.921265	-22.200012	-195.07446
1560828869562	TYPE_GYROSCOPE_UNCALIBRATED	0.28762817	-0.041015625	-0.08308411
1560828869582	TYPE_ACCELEROMETER	-1.3150635	1.0315399	9.074097
1560828869582	TYPE_MAGNETIC_FIELD	10.383606	17.45758	-26.202393
1560828869582	TYPE_GYROSCOPE	0.107284546	0.016113281	-0.032226563
1560828869582	TYPE_ROTATION_VECTOR	0.039227787	0.08014276	0.13579777
1560828869582	TYPE_MAGNETIC_FIELD_UNCALIBRATED	34.921265	-22.200012	-194.40002
1560828869582	TYPE_GYROSCOPE_UNCALIBRATED	0.22157288	-0.022369385	-0.054855347
1560828869602	TYPE_ACCELEROMETER	-1.234848	0.9788666	9.360214
1560828869602	TYPE_MAGNETIC_FIELD	8.987427	18.844604	-24.85199
1560828869602	TYPE_GYROSCOPE	0.01727295	0.021438599	-0.043411255
1560828869602	TYPE_ROTATION_VECTOR	0.040918175	0.08022974	0.1359491
1560828869602	TYPE_MAGNETIC_FIELD_UNCALIBRATED	33.525085	-20.812988	-193.04962
1560828869602	TYPE_GYROSCOPE_UNCALIBRATED	0.11238098	0.004257202	-0.031951904
1560828869621	TYPE_ACCELEROMETER	-1.4036407	1.0937805	9.616379
1560828869621	TYPE_MAGNETIC_FIELD	8.288574	18.151855	-25.527954
1560828869621	TYPE_GYROSCOPE	-0.02053833	0.036361694	-0.07324219
1560828869621	TYPE_ROTATION_VECTOR	0.041109063	0.07948611	0.1364589
1560828869621	TYPE_MAGNETIC_FIELD_UNCALIBRATED	32.826233	-21.505737	-193.72559
1560828869621	TYPE_GYROSCOPE_UNCALIBRATED	0.022369385	0.0095825195	-0.043136597
1560828869641	TYPE_ACCELEROMETER	-1.7484131	1.242218	9.70018
1560828869641	TYPE_MAGNETIC_FIELD	10.383606	18.151855	-27.552795
1560828869641	TYPE_GYROSCOPE	-0.019470215	0.03794861	-0.090286255
1560828869641	TYPE_ROTATION_VECTOR	0.041372135	0.07974298	0.13541052
1560828869641	TYPE_MAGNETIC_FIELD_UNCALIBRATED	34.921265	-21.505737	-195.75043
1560828869641	TYPE_GYROSCOPE_UNCALIBRATED	-0.0154418945	0.024505615	-0.07296753
