#	startTime:1560828980606
#	SiteID:5cd56b61e2acfd2d33b58d20	SiteName:1088广场	FloorId:5cd56b62e2acfd2d33b58ebe	FloorName:F2
#	Brand:OPPO	Model:OPPO R9s	AndroidName:6.0.1	APILevel:23	
#	type:1	name:BMI160 Accelerometer	version:2060500	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2060500	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190612-nightly	VersionCode:263	
1560828980607	TYPE_WAYPOINT	32.939674	44.173416
1560828980878	TYPE_ACCELEROMETER	-2.4654694	1.6731873	9.387741
1560828980878	TYPE_MAGNETIC_FIELD	-16.854858	3.5827637	-32.276917
1560828980878	TYPE_GYROSCOPE	0.036453247	-0.006790161	-0.08177185
1560828980878	TYPE_ROTATION_VECTOR	0.12669523	0.042309172	-0.593649
1560828980878	TYPE_MAGNETIC_FIELD_UNCALIBRATED	7.6828003	-36.07483	-200.47455
1560828980878	TYPE_GYROSCOPE_UNCALIBRATED	0.052734375	-0.034622192	-0.10173035
1560828980898	TYPE_ACCELEROMETER	-2.3780823	1.7509918	9.403305
1560828980898	TYPE_MAGNETIC_FIELD	-16.854858	3.5827637	-32.276917
1560828980898	TYPE_GYROSCOPE	-0.0050964355	-0.02809143	-0.048217773
1560828980898	TYPE_ROTATION_VECTOR	0.12939923	0.042756744	-0.59193474
1560828980898	TYPE_MAGNETIC_FIELD_UNCALIBRATED	7.6828003	-36.07483	-200.47455
1560828980898	TYPE_GYROSCOPE_UNCALIBRATED	0.041549683	-0.01864624	-0.08149719
1560828980918	TYPE_ACCELEROMETER	-2.2919006	1.7246552	9.573288
1560828980918	TYPE_MAGNETIC_FIELD	-16.854858	3.5827637	-31.602478
1560828980918	TYPE_GYROSCOPE	-0.044509888	-9.3078613E-4	-0.025848389
1560828980918	TYPE_ROTATION_VECTOR	0.1303945	0.042957414	-0.5906087
1560828980918	TYPE_MAGNETIC_FIELD_UNCALIBRATED	7.6828003	-36.07483	-199.80011
1560828980918	TYPE_GYROSCOPE_UNCALIBRATED	0.0	-0.03994751	-0.047943115
1560828980938	TYPE_ACCELEROMETER	-2.2140808	1.7007141	9.755249
1560828980938	TYPE_MAGNETIC_FIELD	-16.854858	2.8884888	-33.62732
1560828980938	TYPE_GYROSCOPE	-0.051437378	0.028900146	-0.015182495
1560828980938	TYPE_ROTATION_VECTOR	0.1305359	0.042974655	-0.58966005
1560828980938	TYPE_MAGNETIC_FIELD_UNCALIBRATED	7.6828003	-36.769104	-201.82495
