#	startTime:1560830418965
#	SiteID:5cd56b61e2acfd2d33b58d20	SiteName:1088广场	FloorId:5cd56b62e2acfd2d33b58f29	FloorName:F3
#	Brand:OPPO	Model:OPPO R9s	AndroidName:6.0.1	APILevel:23	
#	type:1	name:BMI160 Accelerometer	version:2060500	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2060500	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190612-nightly	VersionCode:263	
1560830418965	TYPE_WAYPOINT	64.18569	68.18159
1560830419238	TYPE_ACCELEROMETER	-1.7938995	1.5462952	9.635544
1560830419238	TYPE_MAGNETIC_FIELD	-11.2854	-30.155945	-18.035889
1560830419238	TYPE_GYROSCOPE	-0.061203003	0.003692627	-0.038406372
1560830419238	TYPE_ROTATION_VECTOR	0.09938951	-0.047567006	-0.9637763
1560830419238	TYPE_MAGNETIC_FIELD_UNCALIBRATED	13.270569	-70.762634	-186.30066
1560830419238	TYPE_GYROSCOPE_UNCALIBRATED	-0.022903442	-0.023971558	-0.041015625
1560830419258	TYPE_ACCELEROMETER	-1.7938995	1.5367126	9.502655
1560830419258	TYPE_MAGNETIC_FIELD	-11.984253	-29.46167	-17.359924
1560830419258	TYPE_GYROSCOPE	-0.079315186	-0.07513428	-0.02456665
1560830419258	TYPE_ROTATION_VECTOR	0.10223096	-0.04895907	-0.9628228
1560830419258	TYPE_MAGNETIC_FIELD_UNCALIBRATED	12.571716	-70.06836	-185.6247
1560830419258	TYPE_GYROSCOPE_UNCALIBRATED	-0.05645752	-0.0047912598	-0.03781128
1560830419278	TYPE_ACCELEROMETER	-1.5999756	1.3870697	9.641525
1560830419278	TYPE_MAGNETIC_FIELD	-11.2854	-29.46167	-16.009521
1560830419278	TYPE_GYROSCOPE	-0.13204956	-0.09698486	0.0015411377
1560830419278	TYPE_ROTATION_VECTOR	0.10020536	-0.048060767	-0.9631811
1560830419278	TYPE_MAGNETIC_FIELD_UNCALIBRATED	13.270569	-70.06836	-184.27429
1560830419278	TYPE_GYROSCOPE_UNCALIBRATED	-0.0745697	-0.083618164	-0.023971558
1560830419298	TYPE_ACCELEROMETER	-1.313858	1.2350464	10.038956
1560830419298	TYPE_MAGNETIC_FIELD	-12.683105	-30.155945	-18.035889
1560830419298	TYPE_GYROSCOPE	-0.15174866	-0.051696777	0.0047302246
1560830419298	TYPE_ROTATION_VECTOR	0.10020536	-0.048060767	-0.9631811
1560830419298	TYPE_MAGNETIC_FIELD_UNCALIBRATED	11.872864	-70.762634	-186.30066
1560830419298	TYPE_GYROSCOPE_UNCALIBRATED	-0.12730408	-0.10546875	0.0021362305
1560830419318	TYPE_ACCELEROMETER	-1.3342133	1.1919403	10.2724
1560830419318	TYPE_MAGNETIC_FIELD	-11.984253	-30.85022	-18.035889
1560830419318	TYPE_GYROSCOPE	-0.10435486	-0.041046143	-0.02456665
1560830419318	TYPE_ROTATION_VECTOR	0.0928861	-0.044885542	-0.96487784
1560830419318	TYPE_MAGNETIC_FIELD_UNCALIBRATED	12.571716	-71.45691	-186.30066
1560830419318	TYPE_GYROSCOPE_UNCALIBRATED	-0.14700317	-0.060180664	0.0053253174
1560830419337	TYPE_ACCELEROMETER	-1.4946289	1.218277	10.103607
1560830419337	TYPE_MAGNETIC_FIELD	-12.683105	-28.76892	-17.359924
1560830419337	TYPE_GYROSCOPE	-0.022857666	-0.02986145	-0.028823853
1560830419337	TYPE_ROTATION_VECTOR	0.09171135	-0.04420408	-0.9651564
1560830419337	TYPE_MAGNETIC_FIELD_UNCALIBRATED	11.872864	-69.37561	-185.6247
1560830419337	TYPE_GYROSCOPE_UNCALIBRATED	-0.099609375	-0.04953003	-0.023971558
1560830419357	TYPE_ACCELEROMETER	-1.3916779	1.2410278	9.8246765
