#	startTime:1560832544796
#	SiteID:5cd56b61e2acfd2d33b58d20	SiteName:1088广场	FloorId:5cd56b63e2acfd2d33b59087	FloorName:F4
#	Brand:OPPO	Model:OPPO R9s	AndroidName:6.0.1	APILevel:23	
#	type:1	name:BMI160 Accelerometer	version:2060500	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2060500	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190612-nightly	VersionCode:263	
1560832544797	TYPE_WAYPOINT	54.829395	30.829233
1560832545034	TYPE_ACCELEROMETER	-1.2372437	1.0698395	10.4292145
1560832545034	TYPE_MAGNETIC_FIELD	-18.043518	-23.71521	-20.114136
1560832545034	TYPE_GYROSCOPE	-0.25294495	0.065475464	-0.016036987
1560832545034	TYPE_ROTATION_VECTOR	0.07493035	-0.026494753	-0.9243967
1560832545034	TYPE_MAGNETIC_FIELD_UNCALIBRATED	6.9839478	-64.51874	-188.3255
1560832545034	TYPE_GYROSCOPE_UNCALIBRATED	-0.37976074	0.123031616	-0.052734375
1560832545054	TYPE_ACCELEROMETER	-1.1618347	1.1847687	10.400482
1560832545054	TYPE_MAGNETIC_FIELD	-18.740845	-23.020935	-20.788574
1560832545054	TYPE_GYROSCOPE	-0.13417053	0.09849548	-0.014450073
1560832545054	TYPE_ROTATION_VECTOR	0.07431935	-0.02424766	-0.9245371
1560832545054	TYPE_MAGNETIC_FIELD_UNCALIBRATED	6.286621	-63.824463	-188.99994
1560832545054	TYPE_GYROSCOPE_UNCALIBRATED	-0.12942505	0.0900116	-0.0138549805
1560832545074	TYPE_ACCELEROMETER	-1.2839355	1.0758209	10.259232
1560832545074	TYPE_MAGNETIC_FIELD	-17.344666	-23.020935	-20.114136
1560832545074	TYPE_GYROSCOPE	-0.042022705	0.17306519	-0.037353516
1560832545074	TYPE_ROTATION_VECTOR	0.0742719	-0.024441011	-0.9243366
1560832545074	TYPE_MAGNETIC_FIELD_UNCALIBRATED	7.6828003	-63.824463	-188.3255
1560832545074	TYPE_GYROSCOPE_UNCALIBRATED	-0.12942505	0.0900116	-0.0138549805
1560832545094	TYPE_ACCELEROMETER	-1.4778595	1.0602722	10.055725
1560832545094	TYPE_MAGNETIC_FIELD	-17.344666	-22.328186	-20.114136
1560832545094	TYPE_GYROSCOPE	-0.0036773682	0.15176392	-0.050125122
1560832545094	TYPE_ROTATION_VECTOR	0.078667894	-0.02268187	-0.92397684
1560832545094	TYPE_MAGNETIC_FIELD_UNCALIBRATED	7.6828003	-63.131714	-188.3255
1560832545094	TYPE_GYROSCOPE_UNCALIBRATED	0.0010681152	0.14328003	-0.04953003
1560832545114	TYPE_ACCELEROMETER	-1.6083527	1.1907501	9.851013
1560832545114	TYPE_MAGNETIC_FIELD	-16.645813	-22.328186	-18.763733
1560832545114	TYPE_GYROSCOPE	-0.027114868	0.021270752	-0.042678833
1560832545114	TYPE_ROTATION_VECTOR	0.078667894	-0.02268187	-0.92397684
1560832545114	TYPE_MAGNETIC_FIELD_UNCALIBRATED	8.381653	-63.131714	-186.9751
1560832545114	TYPE_GYROSCOPE_UNCALIBRATED	-0.022369385	0.012786865	-0.04208374
1560832545133	TYPE_ACCELEROMETER	-1.760376	1.2458191	9.873764
1560832545133	TYPE_MAGNETIC_FIELD	-15.948486	-23.020935	-19.438171
1560832545133	TYPE_GYROSCOPE	-0.065460205	-0.04850769	-0.036819458
1560832545133	TYPE_ROTATION_VECTOR	0.08101637	-0.02255052	-0.9234453
1560832545133	TYPE_MAGNETIC_FIELD_UNCALIBRATED	9.0789795	-63.824463	-187.64954
1560832545133	TYPE_GYROSCOPE_UNCALIBRATED	-0.022369385	0.012786865	-0.04208374
1560832545153	TYPE_ACCELEROMETER	-1.8992462	1.321228	9.783981
1560832545153	TYPE_MAGNETIC_FIELD	-15.948486	-23.71521	-20.788574
1560832545153	TYPE_GYROSCOPE	-0.08091736	-0.019744873	-0.026168823
1560832545153	TYPE_ROTATION_VECTOR	0.08301392	-0.022259995	-0.922915
1560832545153	TYPE_MAGNETIC_FIELD_UNCALIBRATED	9.0789795	-64.51874	-188.99994
1560832545153	TYPE_GYROSCOPE_UNCALIBRATED	-0.06071472	-0.056991577	-0.036224365
1560832545173	TYPE_ACCELEROMETER	-2.0345154	1.4074249	9.815109
1560832545173	TYPE_MAGNETIC_FIELD	-17.344666	-23.020935	-22.138977
1560832545173	TYPE_GYROSCOPE	-0.12884521	-0.008026123	-0.014450073
1560832545173	TYPE_ROTATION_VECTOR	0.085570075	-0.021823728	-0.9222156
1560832545173	TYPE_MAGNETIC_FIELD_UNCALIBRATED	7.6828003	-63.824463	-190.35034
1560832545173	TYPE_GYROSCOPE_UNCALIBRATED	-0.12409973	-0.01651001	-0.0138549805
1560832545193	TYPE_ACCELEROMETER	-2.0572662	1.4421387	9.816299
1560832545193	TYPE_MAGNETIC_FIELD	-16.645813	-25.102234	-19.438171
1560832545193	TYPE_GYROSCOPE	-0.1746521	4.8828125E-4	0.010055542
1560832545193	TYPE_ROTATION_VECTOR	0.088240534	-0.021005206	-0.9212098
1560832545193	TYPE_MAGNETIC_FIELD_UNCALIBRATED	8.381653	-65.90576	-187.64954
1560832545193	TYPE_GYROSCOPE_UNCALIBRATED	-0.16990662	-0.0079956055	0.010650635
1560832545213	TYPE_ACCELEROMETER	-2.139862	1.652832	9.768417
1560832545213	TYPE_MAGNETIC_FIELD	-16.645813	-23.020935	-20.114136
1560832545213	TYPE_GYROSCOPE	-0.22631836	-0.02027893	0.033493042
1560832545213	TYPE_ROTATION_VECTOR	0.09045634	-0.019954259	-0.9204359
1560832545213	TYPE_MAGNETIC_FIELD_UNCALIBRATED	8.381653	-63.824463	-188.3255
1560832545213	TYPE_GYROSCOPE_UNCALIBRATED	-0.22157288	-0.028762817	0.034088135
1560832545233	TYPE_ACCELEROMETER	-2.1446533	1.6971283	10.07608
1560832545233	TYPE_MAGNETIC_FIELD	-15.948486	-23.020935	-20.114136
1560832545233	TYPE_GYROSCOPE	-0.2646637	-0.068740845	0.07823181
1560832545233	TYPE_ROTATION_VECTOR	0.09255272	-0.019118745	-0.91925323
1560832545233	TYPE_MAGNETIC_FIELD_UNCALIBRATED	9.0789795	-63.824463	-188.3255
1560832545233	TYPE_GYROSCOPE_UNCALIBRATED	-0.22157288	-0.028762817	0.034088135
1560832545253	TYPE_ACCELEROMETER	-1.9495239	1.6636047	10.313095
1560832545253	TYPE_MAGNETIC_FIELD	-17.344666	-23.020935	-21.463013
1560832545253	TYPE_GYROSCOPE	-0.20129395	-0.10231018	0.12297058
1560832545253	TYPE_ROTATION_VECTOR	0.09359457	-0.018239582	-0.9181315
1560832545253	TYPE_MAGNETIC_FIELD_UNCALIBRATED	7.6828003	-63.824463	-189.67438
1560832545253	TYPE_GYROSCOPE_UNCALIBRATED	-0.19654846	-0.11079407	0.123565674
1560832545272	TYPE_ACCELEROMETER	-1.7124939	1.7330322	9.952774
1560832545272	TYPE_MAGNETIC_FIELD	-16.645813	-22.328186	-20.788574
1560832545272	TYPE_GYROSCOPE	-0.069732666	-0.09591675	0.13842773
1560832545272	TYPE_ROTATION_VECTOR	0.093555816	-0.018153982	-0.917064
1560832545272	TYPE_MAGNETIC_FIELD_UNCALIBRATED	8.381653	-63.131714	-188.99994
1560832545272	TYPE_GYROSCOPE_UNCALIBRATED	-0.06498718	-0.104400635	0.13902283
1560832545292	TYPE_ACCELEROMETER	-1.6071472	1.8168335	9.396118
1560832545292	TYPE_MAGNETIC_FIELD	-16.645813	-23.71521	-20.788574
1560832545292	TYPE_GYROSCOPE	-0.015930176	-0.117752075	0.13043213
1560832545292	TYPE_ROTATION_VECTOR	0.09356808	-0.01962547	-0.9160348
1560832545292	TYPE_MAGNETIC_FIELD_UNCALIBRATED	8.381653	-64.51874	-188.99994
1560832545292	TYPE_GYROSCOPE_UNCALIBRATED	-0.011184692	-0.12623596	0.13102722
1560832545312	TYPE_ACCELEROMETER	-1.6155396	1.9090118	9.051361
1560832545312	TYPE_MAGNETIC_FIELD	-17.344666	-22.328186	-20.788574
1560832545312	TYPE_GYROSCOPE	-0.059066772	-0.12573242	0.12617493
1560832545312	TYPE_ROTATION_VECTOR	0.09363902	-0.021856517	-0.9150956
1560832545312	TYPE_MAGNETIC_FIELD_UNCALIBRATED	7.6828003	-63.131714	-188.99994
1560832545312	TYPE_GYROSCOPE_UNCALIBRATED	-0.011184692	-0.12623596	0.13102722
1560832545332	TYPE_ACCELEROMETER	-1.5796204	1.9425354	9.101639
1560832545332	TYPE_MAGNETIC_FIELD	-17.344666	-23.71521	-19.438171
1560832545332	TYPE_GYROSCOPE	-0.15600586	-0.10710144	0.13310242
1560832545332	TYPE_ROTATION_VECTOR	0.09372485	-0.0237311	-0.91395557
1560832545332	TYPE_MAGNETIC_FIELD_UNCALIBRATED	7.6828003	-64.51874	-187.64954
1560832545332	TYPE_GYROSCOPE_UNCALIBRATED	-0.15126038	-0.11558533	0.13369751
1560832545352	TYPE_ACCELEROMETER	-1.471878	1.9389343	9.475128
1560832545352	TYPE_MAGNETIC_FIELD	-17.344666	-20.939636	-20.788574
1560832545352	TYPE_GYROSCOPE	-0.23484802	-0.08099365	0.13735962
1560832545352	TYPE_ROTATION_VECTOR	0.09345626	-0.024657939	-0.9129644
1560832545352	TYPE_MAGNETIC_FIELD_UNCALIBRATED	7.6828003	-61.743164	-188.99994
1560832545352	TYPE_GYROSCOPE_UNCALIBRATED	-0.15126038	-0.11558533	0.13369751
