#	startTime:1560832839050
#	SiteID:5cd56b61e2acfd2d33b58d20	SiteName:1088广场	FloorId:5cd56b63e2acfd2d33b59087	FloorName:F4
#	Brand:OPPO	Model:OPPO R9s	AndroidName:6.0.1	APILevel:23	
#	type:1	name:BMI160 Accelerometer	version:2060500	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2060500	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190612-nightly	VersionCode:263	
1560832839050	TYPE_WAYPOINT	56.497166	48.912457
1560832839280	TYPE_ACCELEROMETER	-1.5892029	1.1069489	10.395706
1560832839280	TYPE_MAGNETIC_FIELD	-11.058044	-27.183533	-17.41333
1560832839280	TYPE_GYROSCOPE	-0.06599426	-0.17102051	-0.0597229
1560832839280	TYPE_ROTATION_VECTOR	0.072451964	-0.040921517	-0.97251284
1560832839280	TYPE_MAGNETIC_FIELD_UNCALIBRATED	13.969421	-67.98706	-185.6247
1560832839280	TYPE_GYROSCOPE_UNCALIBRATED	-0.14967346	-0.17044067	-0.035690308
1560832839300	TYPE_ACCELEROMETER	-1.4802551	1.1991272	9.8582
1560832839300	TYPE_MAGNETIC_FIELD	-10.360718	-26.490784	-20.114136
1560832839300	TYPE_GYROSCOPE	0.014968872	-0.14491272	-0.07569885
1560832839300	TYPE_ROTATION_VECTOR	0.074391566	-0.03900182	-0.9720662
1560832839300	TYPE_MAGNETIC_FIELD_UNCALIBRATED	14.666748	-67.29431	-188.3255
1560832839300	TYPE_GYROSCOPE_UNCALIBRATED	-0.06124878	-0.1795044	-0.059127808
1560832839320	TYPE_ACCELEROMETER	-1.471878	1.3068695	9.4092865
1560832839320	TYPE_MAGNETIC_FIELD	-11.058044	-27.877808	-19.438171
1560832839320	TYPE_GYROSCOPE	0.012298584	-0.18911743	-0.11830139
1560832839320	TYPE_ROTATION_VECTOR	0.07551167	-0.03980756	-0.9716853
1560832839320	TYPE_MAGNETIC_FIELD_UNCALIBRATED	13.969421	-68.681335	-187.64954
1560832839320	TYPE_GYROSCOPE_UNCALIBRATED	0.019714355	-0.1533966	-0.07510376
1560832839340	TYPE_ACCELEROMETER	-1.7855225	1.5331268	9.30394
1560832839340	TYPE_MAGNETIC_FIELD	-9.661865	-27.877808	-20.114136
1560832839340	TYPE_GYROSCOPE	-0.05215454	-0.21308899	-0.16410828
1560832839340	TYPE_ROTATION_VECTOR	0.076401874	-0.04154714	-0.97131526
1560832839340	TYPE_MAGNETIC_FIELD_UNCALIBRATED	15.365601	-68.681335	-188.3255
1560832839340	TYPE_GYROSCOPE_UNCALIBRATED	0.017044067	-0.19760132	-0.1177063
1560832839360	TYPE_ACCELEROMETER	-2.2272491	1.6420593	9.250076
1560832839360	TYPE_MAGNETIC_FIELD	-10.360718	-27.877808	-18.763733
1560832839360	TYPE_GYROSCOPE	-0.13204956	-0.229599	-0.17156982
1560832839360	TYPE_ROTATION_VECTOR	0.079147585	-0.043317735	-0.9706161
1560832839360	TYPE_MAGNETIC_FIELD_UNCALIBRATED	14.666748	-68.681335	-186.9751
1560832839360	TYPE_GYROSCOPE_UNCALIBRATED	-0.047409058	-0.22157288	-0.16351318
1560832839379	TYPE_ACCELEROMETER	-2.2679596	1.7150726	9.974319
1560832839379	TYPE_MAGNETIC_FIELD	-10.360718	-27.877808	-17.41333
1560832839379	TYPE_GYROSCOPE	-0.20288086	-0.28126526	-0.13801575
1560832839379	TYPE_ROTATION_VECTOR	0.08361722	-0.043863542	-0.9695238
1560832839379	TYPE_MAGNETIC_FIELD_UNCALIBRATED	14.666748	-68.681335	-185.6247
1560832839379	TYPE_GYROSCOPE_UNCALIBRATED	-0.12730408	-0.23808289	-0.17097473
1560832839399	TYPE_ACCELEROMETER	-1.9196014	1.8719025	10.285568
1560832839399	TYPE_MAGNETIC_FIELD	-11.058044	-26.490784	-18.763733
1560832839399	TYPE_GYROSCOPE	-0.117126465	-0.2732849	-0.09753418
1560832839399	TYPE_ROTATION_VECTOR	0.085896775	-0.043692406	-0.9687851
1560832839399	TYPE_MAGNETIC_FIELD_UNCALIBRATED	13.969421	-67.29431	-186.9751
1560832839399	TYPE_GYROSCOPE_UNCALIBRATED	-0.19813538	-0.28974915	-0.13742065
1560832839419	TYPE_ACCELEROMETER	-1.5939789	1.9880219	9.313522
1560832839419	TYPE_MAGNETIC_FIELD	-10.360718	-27.877808	-18.763733
1560832839419	TYPE_GYROSCOPE	0.03627014	-0.20669556	-0.079422
1560832839419	TYPE_ROTATION_VECTOR	0.08587532	-0.045209464	-0.96831846
1560832839419	TYPE_MAGNETIC_FIELD_UNCALIBRATED	14.666748	-68.681335	-186.9751
1560832839419	TYPE_GYROSCOPE_UNCALIBRATED	-0.11238098	-0.2817688	-0.09693909
1560832839439	TYPE_ACCELEROMETER	-1.3414001	2.1448364	8.275635
1560832839439	TYPE_MAGNETIC_FIELD	-9.661865	-27.877808	-19.438171
1560832839439	TYPE_GYROSCOPE	0.026153564	-0.17314148	-0.09007263
1560832839439	TYPE_ROTATION_VECTOR	0.085933566	-0.048889607	-0.96788085
1560832839439	TYPE_MAGNETIC_FIELD_UNCALIBRATED	15.365601	-68.681335	-187.64954
