#	startTime:1560833926418
#	SiteID:5cd56b61e2acfd2d33b58d20	SiteName:1088广场	FloorId:5cd56b63e2acfd2d33b59176	FloorName:F5
#	Brand:OPPO	Model:OPPO R9s	AndroidName:6.0.1	APILevel:23	
#	type:1	name:BMI160 Accelerometer	version:2060500	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2060500	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190612-nightly	VersionCode:263	
1560833926419	TYPE_WAYPOINT	23.108265	47.455746
1560833926639	TYPE_ACCELEROMETER	-1.4982147	1.218277	9.288376
1560833926639	TYPE_MAGNETIC_FIELD	-5.49469	-24.401855	-20.384216
1560833926639	TYPE_GYROSCOPE	0.009109497	0.009552002	0.0574646
1560833926639	TYPE_ROTATION_VECTOR	0.08661933	-0.045937937	-0.975447
1560833926639	TYPE_MAGNETIC_FIELD_UNCALIBRATED	19.555664	-67.29431	-186.9751
1560833926639	TYPE_GYROSCOPE_UNCALIBRATED	0.0138549805	0.0010681152	0.058059692
1560833926659	TYPE_ACCELEROMETER	-1.6287079	1.142868	9.558929
1560833926659	TYPE_MAGNETIC_FIELD	-5.49469	-23.013306	-20.384216
1560833926659	TYPE_GYROSCOPE	-0.119262695	0.067611694	0.056930542
1560833926659	TYPE_ROTATION_VECTOR	0.08840675	-0.043878317	-0.9750288
1560833926659	TYPE_MAGNETIC_FIELD_UNCALIBRATED	19.555664	-65.90576	-186.9751
1560833926659	TYPE_GYROSCOPE_UNCALIBRATED	-0.11451721	0.059127808	0.057525635
1560833926679	TYPE_ACCELEROMETER	-1.8022766	1.0674438	10.185013
1560833926679	TYPE_MAGNETIC_FIELD	-4.7958374	-23.70758	-21.73462
1560833926679	TYPE_GYROSCOPE	-0.19648743	0.07133484	0.05532837
1560833926679	TYPE_ROTATION_VECTOR	0.089916326	-0.04032235	-0.9747974
1560833926679	TYPE_MAGNETIC_FIELD_UNCALIBRATED	20.254517	-66.60004	-188.3255
1560833926679	TYPE_GYROSCOPE_UNCALIBRATED	-0.19174194	0.06285095	0.055923462
1560833926699	TYPE_ACCELEROMETER	-1.9411469	1.1117401	10.428024
1560833926699	TYPE_MAGNETIC_FIELD	-4.096985	-23.70758	-21.058655
1560833926699	TYPE_GYROSCOPE	-0.12884521	0.08251953	0.06864929
1560833926699	TYPE_ROTATION_VECTOR	0.09192813	-0.03799683	-0.97441494
1560833926699	TYPE_MAGNETIC_FIELD_UNCALIBRATED	20.95337	-66.60004	-187.64954
1560833926699	TYPE_GYROSCOPE_UNCALIBRATED	-0.12409973	0.074035645	0.069244385
1560833926719	TYPE_ACCELEROMETER	-1.858551	1.1991272	10.120361
1560833926719	TYPE_MAGNETIC_FIELD	-6.1920166	-24.401855	-20.384216
1560833926719	TYPE_GYROSCOPE	0.007507324	0.13365173	0.09687805
1560833926719	TYPE_ROTATION_VECTOR	0.094124354	-0.03789968	-0.97382605
1560833926719	TYPE_MAGNETIC_FIELD_UNCALIBRATED	18.858337	-67.29431	-186.9751
1560833926719	TYPE_GYROSCOPE_UNCALIBRATED	0.012252808	0.12516785	0.097473145
1560833926738	TYPE_ACCELEROMETER	-1.3677368	1.1967316	9.576889
1560833926738	TYPE_MAGNETIC_FIELD	-4.7958374	-23.013306	-20.384216
1560833926738	TYPE_GYROSCOPE	0.09059143	0.15122986	0.121917725
1560833926738	TYPE_ROTATION_VECTOR	0.09416073	-0.039493073	-0.97379345
1560833926738	TYPE_MAGNETIC_FIELD_UNCALIBRATED	20.254517	-65.90576	-186.9751
1560833926738	TYPE_GYROSCOPE_UNCALIBRATED	0.095336914	0.14274597	0.12251282
1560833926758	TYPE_ACCELEROMETER	-0.59321594	1.2398376	9.241699
1560833926758	TYPE_MAGNETIC_FIELD	-4.7958374	-23.70758	-21.058655
1560833926758	TYPE_GYROSCOPE	0.07887268	0.13790894	0.10699463
1560833926758	TYPE_ROTATION_VECTOR	0.09072691	-0.04219464	-0.9746139
1560833926758	TYPE_MAGNETIC_FIELD_UNCALIBRATED	20.254517	-66.60004	-187.64954
1560833926758	TYPE_GYROSCOPE_UNCALIBRATED	0.083618164	0.12942505	0.10758972
1560833926778	TYPE_ACCELEROMETER	-0.33703613	1.3056641	9.287186
1560833926778	TYPE_MAGNETIC_FIELD	-4.7958374	-23.70758	-21.058655
1560833926778	TYPE_GYROSCOPE	0.006439209	0.1315155	0.032424927
1560833926778	TYPE_ROTATION_VECTOR	0.08666752	-0.044380676	-0.9756905
1560833926778	TYPE_MAGNETIC_FIELD_UNCALIBRATED	20.254517	-66.60004	-187.64954
1560833926778	TYPE_GYROSCOPE_UNCALIBRATED	0.011184692	0.123031616	0.03302002
1560833926798	TYPE_ACCELEROMETER	-0.5716553	1.4457245	9.63913
1560833926798	TYPE_MAGNETIC_FIELD	-6.890869	-23.013306	-19.709778
1560833926798	TYPE_GYROSCOPE	-0.07026672	0.13951111	-0.039474487
1560833926798	TYPE_ROTATION_VECTOR	0.084167875	-0.04555044	-0.97637856
1560833926798	TYPE_MAGNETIC_FIELD_UNCALIBRATED	18.159485	-65.90576	-186.30066
1560833926798	TYPE_GYROSCOPE_UNCALIBRATED	-0.06552124	0.13102722	-0.038879395
1560833926818	TYPE_ACCELEROMETER	-0.8158722	1.3894653	10.216141
1560833926818	TYPE_MAGNETIC_FIELD	-5.49469	-23.70758	-21.73462
1560833926818	TYPE_GYROSCOPE	-0.13417053	0.15229797	-0.07569885
1560833926818	TYPE_ROTATION_VECTOR	0.084167875	-0.04555044	-0.97637856
1560833926818	TYPE_MAGNETIC_FIELD_UNCALIBRATED	19.555664	-66.60004	-188.3255
1560833926818	TYPE_GYROSCOPE_UNCALIBRATED	-0.12942505	0.14381409	-0.07510376
1560833926838	TYPE_ACCELEROMETER	-0.8852997	1.1835632	10.7285
1560833926838	TYPE_MAGNETIC_FIELD	-5.49469	-24.401855	-21.058655
1560833926838	TYPE_GYROSCOPE	-0.15228271	0.11021423	-0.093811035
1560833926838	TYPE_ROTATION_VECTOR	0.082653575	-0.04524259	-0.97704387
1560833926838	TYPE_MAGNETIC_FIELD_UNCALIBRATED	19.555664	-67.29431	-187.64954
1560833926838	TYPE_GYROSCOPE_UNCALIBRATED	-0.12942505	0.14381409	-0.07510376
1560833926858	TYPE_ACCELEROMETER	-1.0074005	1.0901947	11.122345
1560833926858	TYPE_MAGNETIC_FIELD	-4.096985	-24.401855	-21.73462
1560833926858	TYPE_GYROSCOPE	-0.13310242	0.019134521	-0.119903564
1560833926858	TYPE_ROTATION_VECTOR	0.08084405	-0.043872338	-0.9778548
1560833926858	TYPE_MAGNETIC_FIELD_UNCALIBRATED	20.95337	-67.29431	-188.3255
1560833926858	TYPE_GYROSCOPE_UNCALIBRATED	-0.14753723	0.10173035	-0.09321594
1560833926877	TYPE_ACCELEROMETER	-1.195343	1.0518799	11.406052
1560833926877	TYPE_MAGNETIC_FIELD	-4.7958374	-22.320557	-21.058655
1560833926877	TYPE_GYROSCOPE	-0.059066772	-0.019210815	-0.13694763
1560833926877	TYPE_ROTATION_VECTOR	0.07706879	-0.04143223	-0.97940737
1560833926877	TYPE_MAGNETIC_FIELD_UNCALIBRATED	20.254517	-65.21301	-187.64954
1560833926877	TYPE_GYROSCOPE_UNCALIBRATED	-0.05432129	-0.027694702	-0.13635254
1560833926897	TYPE_ACCELEROMETER	-1.1654205	0.94055176	11.366547
1560833926897	TYPE_MAGNETIC_FIELD	-5.49469	-22.320557	-20.384216
1560833926897	TYPE_GYROSCOPE	0.08047485	-0.008026123	-0.1459961
1560833926897	TYPE_ROTATION_VECTOR	0.07585493	-0.041494966	-0.97999287
1560833926897	TYPE_MAGNETIC_FIELD_UNCALIBRATED	19.555664	-65.21301	-186.9751
1560833926897	TYPE_GYROSCOPE_UNCALIBRATED	0.08522034	-0.01651001	-0.145401
1560833926917	TYPE_ACCELEROMETER	-0.98106384	0.9034424	10.773987
1560833926917	TYPE_MAGNETIC_FIELD	-4.7958374	-24.401855	-21.058655
1560833926917	TYPE_GYROSCOPE	0.23280334	-0.027740479	-0.173172
1560833926917	TYPE_ROTATION_VECTOR	0.07458766	-0.04317705	-0.98065275
1560833926917	TYPE_MAGNETIC_FIELD_UNCALIBRATED	20.254517	-67.29431	-187.64954
1560833926917	TYPE_GYROSCOPE_UNCALIBRATED	0.23754883	-0.036224365	-0.1725769
1560833926937	TYPE_ACCELEROMETER	-0.8517761	1.0063934	9.944397
1560833926937	TYPE_MAGNETIC_FIELD	-3.3981323	-23.013306	-21.058655
1560833926937	TYPE_GYROSCOPE	0.31269836	-0.12786865	-0.2285614
1560833926937	TYPE_ROTATION_VECTOR	0.07458766	-0.04317705	-0.98065275
1560833926937	TYPE_MAGNETIC_FIELD_UNCALIBRATED	21.652222	-65.90576	-187.64954
1560833926937	TYPE_GYROSCOPE_UNCALIBRATED	0.31744385	-0.13635254	-0.22796631
1560833926957	TYPE_ACCELEROMETER	-0.8158722	1.0961761	9.4487915
1560833926957	TYPE_MAGNETIC_FIELD	-2.7008057	-21.626282	-20.384216
1560833926957	TYPE_GYROSCOPE	0.3009796	-0.16195679	-0.2786255
1560833926957	TYPE_ROTATION_VECTOR	0.0707942	-0.04928189	-0.9821017
1560833926957	TYPE_MAGNETIC_FIELD_UNCALIBRATED	22.349548	-64.51874	-186.9751
1560833926957	TYPE_GYROSCOPE_UNCALIBRATED	0.3057251	-0.17044067	-0.2780304
1560833926976	TYPE_ACCELEROMETER	-0.7691803	1.261383	9.558929
1560833926976	TYPE_MAGNETIC_FIELD	-4.096985	-23.013306	-20.384216
1560833926976	TYPE_GYROSCOPE	0.23493958	-0.021881104	-0.3212433
1560833926976	TYPE_ROTATION_VECTOR	0.07013279	-0.05174602	-0.98273635
1560833926976	TYPE_MAGNETIC_FIELD_UNCALIBRATED	20.95337	-65.90576	-186.9751
1560833926976	TYPE_GYROSCOPE_UNCALIBRATED	0.23968506	-0.03036499	-0.3206482
1560833926996	TYPE_ACCELEROMETER	-0.8410034	1.3415833	9.597229
1560833926996	TYPE_MAGNETIC_FIELD	-3.3981323	-24.401855	-19.709778
1560833926996	TYPE_GYROSCOPE	0.21096802	0.086242676	-0.35639954
1560833926996	TYPE_ROTATION_VECTOR	0.07067844	-0.05383581	-0.9833415
1560833926996	TYPE_MAGNETIC_FIELD_UNCALIBRATED	21.652222	-67.29431	-186.30066
1560833926996	TYPE_GYROSCOPE_UNCALIBRATED	0.2157135	0.07775879	-0.35580444
1560833927016	TYPE_ACCELEROMETER	-0.9176178	1.4349518	9.418869
1560833927016	TYPE_MAGNETIC_FIELD	-4.096985	-25.094604	-20.384216
1560833927016	TYPE_GYROSCOPE	0.17315674	0.025527954	-0.36437988
1560833927016	TYPE_ROTATION_VECTOR	0.07086791	-0.055743333	-0.98388886
1560833927016	TYPE_MAGNETIC_FIELD_UNCALIBRATED	20.95337	-67.98706	-186.9751
1560833927016	TYPE_GYROSCOPE_UNCALIBRATED	0.17790222	0.017044067	-0.3637848
1560833927036	TYPE_ACCELEROMETER	-1.0349426	1.3296051	9.809113
1560833927036	TYPE_MAGNETIC_FIELD	-3.3981323	-23.70758	-21.058655
1560833927036	TYPE_GYROSCOPE	0.010696411	-4.5776367E-5	-0.3734436
1560833927036	TYPE_ROTATION_VECTOR	0.07068153	-0.05573324	-0.98454237
1560833927036	TYPE_MAGNETIC_FIELD_UNCALIBRATED	21.652222	-66.60004	-187.64954
1560833927036	TYPE_GYROSCOPE_UNCALIBRATED	0.0154418945	-0.008529663	-0.3728485
1560833927056	TYPE_ACCELEROMETER	-1.1031799	1.1476593	10.997833
1560833927056	TYPE_MAGNETIC_FIELD	-3.3981323	-23.70758	-20.384216
1560833927056	TYPE_GYROSCOPE	-0.1400299	0.024459839	-0.3931427
1560833927056	TYPE_ROTATION_VECTOR	0.070271984	-0.05366831	-0.98536617
1560833927056	TYPE_MAGNETIC_FIELD_UNCALIBRATED	21.652222	-66.60004	-186.9751
1560833927056	TYPE_GYROSCOPE_UNCALIBRATED	-0.13528442	0.015975952	-0.3925476
1560833927076	TYPE_ACCELEROMETER	-1.2228851	1.0542755	11.950729
1560833927076	TYPE_MAGNETIC_FIELD	-3.3981323	-25.094604	-21.73462
1560833927076	TYPE_GYROSCOPE	-0.058013916	0.012741089	-0.42562866
1560833927076	TYPE_ROTATION_VECTOR	0.070271984	-0.05366831	-0.98536617
1560833927076	TYPE_MAGNETIC_FIELD_UNCALIBRATED	21.652222	-67.98706	-188.3255
1560833927076	TYPE_GYROSCOPE_UNCALIBRATED	-0.053268433	0.004257202	-0.42503357
1560833927096	TYPE_ACCELEROMETER	-1.2767487	1.158432	11.549698
