#	startTime:1560834076116
#	SiteID:5cd56b61e2acfd2d33b58d20	SiteName:1088广场	FloorId:5cd56b63e2acfd2d33b59176	FloorName:F5
#	Brand:OPPO	Model:OPPO R9s	AndroidName:6.0.1	APILevel:23	
#	type:1	name:BMI160 Accelerometer	version:2060500	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2060500	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190612-nightly	VersionCode:263	
1560834076117	TYPE_WAYPOINT	56.580235	54.33283
1560834076342	TYPE_ACCELEROMETER	-2.1602173	2.5135498	9.697784
1560834076342	TYPE_MAGNETIC_FIELD	-16.668701	6.817627	-33.20923
1560834076342	TYPE_GYROSCOPE	-0.2337799	-0.0043029785	-0.0128479
1560834076342	TYPE_ROTATION_VECTOR	0.159159	0.0333738	-0.46265927
1560834076342	TYPE_MAGNETIC_FIELD_UNCALIBRATED	8.381653	-36.07483	-199.80011
1560834076342	TYPE_GYROSCOPE_UNCALIBRATED	-0.22903442	-0.012786865	-0.012252808
1560834076362	TYPE_ACCELEROMETER	-2.2919006	2.5446625	9.721725
1560834076362	TYPE_MAGNETIC_FIELD	-15.9713745	7.511902	-31.184387
1560834076362	TYPE_GYROSCOPE	-0.24868774	-0.120407104	0.01272583
1560834076362	TYPE_ROTATION_VECTOR	0.159159	0.0333738	-0.46265927
1560834076362	TYPE_MAGNETIC_FIELD_UNCALIBRATED	9.0789795	-35.380554	-197.77527
1560834076362	TYPE_GYROSCOPE_UNCALIBRATED	-0.24394226	-0.12889099	0.013320923
1560834076382	TYPE_ACCELEROMETER	-2.1518402	2.4213715	9.852219
1560834076382	TYPE_MAGNETIC_FIELD	-17.367554	7.511902	-32.53479
1560834076382	TYPE_GYROSCOPE	-0.24017334	-0.17367554	0.058532715
1560834076382	TYPE_ROTATION_VECTOR	0.1548779	0.03473244	-0.46377543
1560834076382	TYPE_MAGNETIC_FIELD_UNCALIBRATED	7.6828003	-35.380554	-199.12567
1560834076382	TYPE_GYROSCOPE_UNCALIBRATED	-0.23542786	-0.18215942	0.059127808
1560834076402	TYPE_ACCELEROMETER	-1.8310089	2.3112335	10.09523
1560834076402	TYPE_MAGNETIC_FIELD	-17.367554	8.898926	-31.184387
1560834076402	TYPE_GYROSCOPE	-0.20181274	-0.18006897	0.07557678
1560834076402	TYPE_ROTATION_VECTOR	0.1548779	0.03473244	-0.46377543
1560834076402	TYPE_MAGNETIC_FIELD_UNCALIBRATED	7.6828003	-33.99353	-197.77527
1560834076402	TYPE_GYROSCOPE_UNCALIBRATED	-0.23542786	-0.18215942	0.059127808
1560834076422	TYPE_ACCELEROMETER	-1.7100983	2.250183	10.377747
1560834076422	TYPE_MAGNETIC_FIELD	-18.066406	7.511902	-31.858826
1560834076422	TYPE_GYROSCOPE	-0.09635925	-0.20404053	0.03135681
1560834076422	TYPE_ROTATION_VECTOR	0.14630803	0.030064488	-0.46364284
1560834076422	TYPE_MAGNETIC_FIELD_UNCALIBRATED	6.9839478	-35.380554	-198.4497
1560834076422	TYPE_GYROSCOPE_UNCALIBRATED	-0.09161377	-0.21252441	0.031951904
1560834076441	TYPE_ACCELEROMETER	-1.9231873	2.3100433	10.218521
1560834076441	TYPE_MAGNETIC_FIELD	-15.9713745	7.511902	-31.858826
1560834076441	TYPE_GYROSCOPE	0.103378296	-0.19657898	-0.018707275
1560834076441	TYPE_ROTATION_VECTOR	0.14553468	0.027967928	-0.46469417
1560834076441	TYPE_MAGNETIC_FIELD_UNCALIBRATED	9.0789795	-35.380554	-198.4497
1560834076441	TYPE_GYROSCOPE_UNCALIBRATED	0.10812378	-0.20506287	-0.018112183
1560834076461	TYPE_ACCELEROMETER	-2.1171112	2.439331	9.772003
1560834076461	TYPE_MAGNETIC_FIELD	-15.9713745	7.511902	-31.858826
1560834076461	TYPE_GYROSCOPE	0.31376648	-0.115615845	-0.027755737
1560834076461	TYPE_ROTATION_VECTOR	0.14553468	0.027967928	-0.46469417
1560834076461	TYPE_MAGNETIC_FIELD_UNCALIBRATED	9.0789795	-35.380554	-198.4497
1560834076461	TYPE_GYROSCOPE_UNCALIBRATED	0.31851196	-0.12409973	-0.027160645
1560834076481	TYPE_ACCELEROMETER	-2.4307556	2.5709991	9.18782
1560834076481	TYPE_MAGNETIC_FIELD	-16.668701	9.593201	-30.508423
1560834076481	TYPE_GYROSCOPE	0.4602356	-5.645752E-4	-0.011779785
1560834076481	TYPE_ROTATION_VECTOR	0.15454295	0.026306568	-0.46630967
1560834076481	TYPE_MAGNETIC_FIELD_UNCALIBRATED	8.381653	-33.299255	-197.0993
1560834076481	TYPE_GYROSCOPE_UNCALIBRATED	0.46498108	-0.009048462	-0.011184692
1560834076501	TYPE_ACCELEROMETER	-2.704895	2.463272	7.8087616
1560834076501	TYPE_MAGNETIC_FIELD	-18.066406	8.204651	-30.508423
1560834076501	TYPE_GYROSCOPE	0.45491028	0.04524231	0.06011963
1560834076501	TYPE_ROTATION_VECTOR	0.15454295	0.026306568	-0.46630967
1560834076501	TYPE_MAGNETIC_FIELD_UNCALIBRATED	6.9839478	-34.687805	-197.0993
1560834076501	TYPE_GYROSCOPE_UNCALIBRATED	0.46498108	-0.009048462	-0.011184692
1560834076521	TYPE_ACCELEROMETER	-2.0800018	2.384262	6.700241
1560834076521	TYPE_MAGNETIC_FIELD	-17.367554	7.511902	-32.53479
1560834076521	TYPE_GYROSCOPE	0.03627014	0.0031585693	0.1751709
1560834076521	TYPE_ROTATION_VECTOR	0.16206641	0.027591454	-0.4671807
1560834076521	TYPE_MAGNETIC_FIELD_UNCALIBRATED	7.6828003	-35.380554	-199.12567
1560834076521	TYPE_GYROSCOPE_UNCALIBRATED	0.041015625	-0.0053253174	0.17576599
1560834076541	TYPE_ACCELEROMETER	-1.4180145	2.044281	7.7177887
