#	startTime:1560999122290
#	SiteID:5cd56b63e2acfd2d33b591c2	SiteName:缤谷广场	FloorId:5cd56b64e2acfd2d33b59245	FloorName:F1
1560999122291	TYPE_WAYPOINT	110.89562	46.038628
1560999122494	TYPE_ACCELEROMETER	-0.85183716	1.8845367	9.284256
1560999122494	TYPE_MAGNETIC_FIELD	21.240234	-37.55951	-26.64032
1560999122494	TYPE_GYROSCOPE	-0.15402222	-0.048934937	-0.07098389
1560999122494	TYPE_ROTATION_VECTOR	-0.030911991	0.115307614	0.9670356
1560999122494	TYPE_MAGNETIC_FIELD_UNCALIBRATED	78.17993	-35.758972	22.499084
1560999122494	TYPE_GYROSCOPE_UNCALIBRATED	-0.11824036	-0.031951904	-0.0703125
1560999122514	TYPE_ACCELEROMETER	-0.7704315	1.7959595	9.602676
1560999122514	TYPE_MAGNETIC_FIELD	21.71936	-37.379456	-26.759338
1560999122514	TYPE_GYROSCOPE	-0.21368408	-0.10646057	-0.060333252
1560999122514	TYPE_ROTATION_VECTOR	-0.02820938	0.112174585	0.96678966
1560999122514	TYPE_MAGNETIC_FIELD_UNCALIBRATED	78.65906	-35.57892	22.380066
1560999122514	TYPE_GYROSCOPE_UNCALIBRATED	-0.15872192	-0.057525635	-0.0745697
1560999122534	TYPE_ACCELEROMETER	-0.83987427	1.8510284	9.925903
1560999122534	TYPE_MAGNETIC_FIELD	21.71936	-37.080383	-27.000427
1560999122534	TYPE_GYROSCOPE	-0.20729065	-0.114974976	-0.060333252
1560999122534	TYPE_ROTATION_VECTOR	-0.023705404	0.10430269	0.96671176
1560999122534	TYPE_MAGNETIC_FIELD_UNCALIBRATED	78.65906	-35.279846	22.138977
1560999122534	TYPE_GYROSCOPE_UNCALIBRATED	-0.21838379	-0.11505127	-0.06391907
1560999122554	TYPE_ACCELEROMETER	-0.93803406	1.9827118	9.755905
1560999122554	TYPE_MAGNETIC_FIELD	21.71936	-36.95984	-27.23999
1560999122554	TYPE_GYROSCOPE	-0.1486969	-0.10646057	-0.062454224
1560999122554	TYPE_ROTATION_VECTOR	-0.023705404	0.10430269	0.96671176
1560999122554	TYPE_MAGNETIC_FIELD_UNCALIBRATED	78.65906	-35.1593	21.899414
1560999122554	TYPE_GYROSCOPE_UNCALIBRATED	-0.21199036	-0.123565674	-0.06391907
1560999122574	TYPE_ACCELEROMETER	-0.98831177	2.1239624	9.597885
1560999122574	TYPE_MAGNETIC_FIELD	21.780396	-37.01935	-27.059937
1560999122574	TYPE_GYROSCOPE	-0.14762878	-0.11604309	-0.061401367
1560999122574	TYPE_ROTATION_VECTOR	-0.022916745	0.10343354	0.9664667
1560999122574	TYPE_MAGNETIC_FIELD_UNCALIBRATED	78.72009	-35.21881	22.079468
1560999122574	TYPE_GYROSCOPE_UNCALIBRATED	-0.1533966	-0.11505127	-0.06604004
1560999122593	TYPE_ACCELEROMETER	-0.8542328	2.1646729	9.909134
1560999122593	TYPE_MAGNETIC_FIELD	21.780396	-36.90033	-27.000427
1560999122593	TYPE_GYROSCOPE	-0.19236755	-0.15438843	-0.057128906
1560999122593	TYPE_ROTATION_VECTOR	-0.02227286	0.103700496	0.9660959
1560999122593	TYPE_MAGNETIC_FIELD_UNCALIBRATED	78.72009	-35.099792	22.138977
1560999122593	TYPE_GYROSCOPE_UNCALIBRATED	-0.15232849	-0.12463379	-0.06498718
1560999122613	TYPE_ACCELEROMETER	-0.6435394	2.0401611	10.098282
1560999122613	TYPE_MAGNETIC_FIELD	22.019958	-36.90033	-27.000427
1560999122613	TYPE_GYROSCOPE	-0.18704224	-0.18954468	-0.064590454
1560999122613	TYPE_ROTATION_VECTOR	-0.020499276	0.102963924	0.96571463
1560999122613	TYPE_MAGNETIC_FIELD_UNCALIBRATED	78.959656	-35.099792	22.138977
1560999122613	TYPE_GYROSCOPE_UNCALIBRATED	-0.19706726	-0.16297913	-0.06071472
1560999122633	TYPE_ACCELEROMETER	-0.54777527	1.992279	10.083908
1560999122633	TYPE_MAGNETIC_FIELD	22.259521	-36.59973	-27.360535
1560999122633	TYPE_GYROSCOPE	-0.13911438	-0.19700623	-0.08589172
1560999122633	TYPE_ROTATION_VECTOR	-0.014734173	0.0994546	0.964872
1560999122633	TYPE_MAGNETIC_FIELD_UNCALIBRATED	79.19922	-34.799194	21.77887
1560999122633	TYPE_GYROSCOPE_UNCALIBRATED	-0.19174194	-0.19813538	-0.06817627
1560999122653	TYPE_ACCELEROMETER	-0.5525665	2.023407	9.933075
1560999122653	TYPE_MAGNETIC_FIELD	22.439575	-36.36017	-27.180481
1560999122653	TYPE_GYROSCOPE	-0.11035156	-0.22151184	-0.10081482
1560999122653	TYPE_ROTATION_VECTOR	-0.011880324	0.09838295	0.96433103
1560999122653	TYPE_MAGNETIC_FIELD_UNCALIBRATED	79.37927	-34.55963	21.958923
1560999122653	TYPE_GYROSCOPE_UNCALIBRATED	-0.14381409	-0.20559692	-0.08947754
1560999122673	TYPE_ACCELEROMETER	-0.50468445	2.11438	10.014481
1560999122673	TYPE_MAGNETIC_FIELD	22.56012	-36.180115	-27.23999
1560999122673	TYPE_GYROSCOPE	-0.10395813	-0.22683716	-0.101882935
1560999122673	TYPE_ROTATION_VECTOR	-0.011880324	0.09838295	0.96433103
1560999122673	TYPE_MAGNETIC_FIELD_UNCALIBRATED	79.49982	-34.379578	21.899414
1560999122673	TYPE_GYROSCOPE_UNCALIBRATED	-0.11505127	-0.23010254	-0.104400635
1560999122692	TYPE_ACCELEROMETER	-0.55496216	2.2245178	10.002518
1560999122692	TYPE_MAGNETIC_FIELD	22.439575	-36.120605	-27.2995
1560999122692	TYPE_GYROSCOPE	-0.07519531	-0.20019531	-0.09442139
1560999122692	TYPE_ROTATION_VECTOR	-0.008962884	0.09762121	0.9637193
1560999122692	TYPE_MAGNETIC_FIELD_UNCALIBRATED	79.37927	-34.32007	21.839905
