#	startTime:1560999722202
#	SiteID:5cd56b63e2acfd2d33b591c2	SiteName:缤谷广场	FloorId:5cd56b64e2acfd2d33b59245	FloorName:F1
1560999722202	TYPE_WAYPOINT	125.988945	39.80213
1560999722396	TYPE_ACCELEROMETER	-0.12878418	1.5397797	10.440643
1560999722396	TYPE_MAGNETIC_FIELD	27.2995	-14.100647	-21.96045
1560999722396	TYPE_GYROSCOPE	-0.11035156	-0.008453369	-0.010269165
1560999722396	TYPE_ROTATION_VECTOR	0.020438798	0.08343838	0.9552963
1560999722396	TYPE_MAGNETIC_FIELD_UNCALIBRATED	82.97882	-11.880493	26.69983
1560999722396	TYPE_GYROSCOPE_UNCALIBRATED	-0.09587097	0.04899597	0.003189087
1560999722416	TYPE_ACCELEROMETER	-0.15991211	1.568512	10.3424835
1560999722416	TYPE_MAGNETIC_FIELD	28.979492	-10.980225	-22.380066
1560999722416	TYPE_GYROSCOPE	-0.030456543	-0.0063171387	-0.016647339
1560999722416	TYPE_ROTATION_VECTOR	0.01836901	0.07812623	0.9535297
1560999722416	TYPE_MAGNETIC_FIELD_UNCALIBRATED	84.65881	-8.760071	26.280212
1560999722416	TYPE_GYROSCOPE_UNCALIBRATED	-0.11505127	-0.017044067	-0.0138549805
1560999722436	TYPE_ACCELEROMETER	-0.14794922	1.7049713	9.980957
1560999722436	TYPE_MAGNETIC_FIELD	29.100037	-10.740662	-22.56012
1560999722436	TYPE_GYROSCOPE	0.016418457	0.010726929	-0.012390137
1560999722436	TYPE_ROTATION_VECTOR	0.01836901	0.07812623	0.9535297
1560999722436	TYPE_MAGNETIC_FIELD_UNCALIBRATED	84.77936	-8.520508	26.100159
1560999722436	TYPE_GYROSCOPE_UNCALIBRATED	-0.03515625	-0.014907837	-0.020233154
1560999722456	TYPE_ACCELEROMETER	-0.10006714	1.7600403	9.844498
1560999722456	TYPE_MAGNETIC_FIELD	29.519653	-10.740662	-22.439575
1560999722456	TYPE_GYROSCOPE	0.004699707	0.02456665	0.005722046
1560999722456	TYPE_ROTATION_VECTOR	0.018599436	0.078993894	0.9519081
1560999722456	TYPE_MAGNETIC_FIELD_UNCALIBRATED	85.198975	-8.520508	26.220703
1560999722456	TYPE_GYROSCOPE_UNCALIBRATED	0.01171875	0.0021362305	-0.015975952
1560999722476	TYPE_ACCELEROMETER	-0.11442566	1.8222961	9.95462
1560999722476	TYPE_MAGNETIC_FIELD	29.820251	-10.679626	-22.680664
1560999722476	TYPE_GYROSCOPE	-0.018737793	0.021377563	0.01423645
1560999722476	TYPE_ROTATION_VECTOR	0.019251	0.07995976	0.9502031
1560999722476	TYPE_MAGNETIC_FIELD_UNCALIBRATED	85.49957	-8.459473	25.979614
1560999722476	TYPE_GYROSCOPE_UNCALIBRATED	0.0	0.015975952	0.0021362305
1560999722495	TYPE_ACCELEROMETER	-0.2532959	1.7959595	10.007294
1560999722495	TYPE_MAGNETIC_FIELD	30.000305	-10.679626	-22.680664
1560999722495	TYPE_GYROSCOPE	-0.020874023	0.0054016113	0.013168335
1560999722495	TYPE_ROTATION_VECTOR	0.019801328	0.08074751	0.9485253
1560999722495	TYPE_MAGNETIC_FIELD_UNCALIBRATED	85.67963	-8.459473	25.979614
1560999722495	TYPE_GYROSCOPE_UNCALIBRATED	-0.0234375	0.012786865	0.010650635
1560999722515	TYPE_ACCELEROMETER	-0.19104004	1.6930084	10.141373
1560999722515	TYPE_MAGNETIC_FIELD	30.239868	-10.499573	-22.320557
1560999722515	TYPE_GYROSCOPE	-0.017669678	-0.005264282	0.022766113
1560999722515	TYPE_ROTATION_VECTOR	0.019599989	0.08132631	0.94702613
1560999722515	TYPE_MAGNETIC_FIELD_UNCALIBRATED	85.91919	-8.279419	26.339722
1560999722515	TYPE_GYROSCOPE_UNCALIBRATED	-0.02557373	-0.003189087	0.0095825195
1560999722535	TYPE_ACCELEROMETER	0.03161621	1.5852661	10.0504
1560999722535	TYPE_MAGNETIC_FIELD	30.299377	-10.740662	-22.140503
1560999722535	TYPE_GYROSCOPE	0.01109314	6.1035156E-5	0.018493652
1560999722535	TYPE_ROTATION_VECTOR	0.020743031	0.08038777	0.94415396
1560999722535	TYPE_MAGNETIC_FIELD_UNCALIBRATED	85.9787	-8.520508	26.519775
1560999722535	TYPE_GYROSCOPE_UNCALIBRATED	-0.022369385	-0.0138549805	0.019180298
1560999722555	TYPE_ACCELEROMETER	0.04119873	1.5613251	9.787033
1560999722555	TYPE_MAGNETIC_FIELD	30.419922	-10.499573	-21.71936
1560999722555	TYPE_GYROSCOPE	0.033462524	0.016052246	0.0025177002
1560999722555	TYPE_ROTATION_VECTOR	0.020743031	0.08038777	0.94415396
1560999722555	TYPE_MAGNETIC_FIELD_UNCALIBRATED	86.09924	-8.279419	26.940918
1560999722555	TYPE_GYROSCOPE_UNCALIBRATED	0.0063934326	-0.008529663	0.014907837
