#	startTime:1561000100356
#	SiteID:5cd56b63e2acfd2d33b591c2	SiteName:缤谷广场	FloorId:5cd56b64e2acfd2d33b59245	FloorName:F1
1561000100356	TYPE_WAYPOINT	44.773163	65.408295
1561000100561	TYPE_ACCELEROMETER	-0.463974	1.7887726	9.913925
1561000100561	TYPE_MAGNETIC_FIELD	14.219666	-23.339844	-18.539429
1561000100561	TYPE_GYROSCOPE	0.0015106201	-0.0031280518	-0.0028076172
1561000100561	TYPE_ROTATION_VECTOR	0.049997427	0.07957628	0.7151253
1561000100561	TYPE_MAGNETIC_FIELD_UNCALIBRATED	69.89899	-21.11969	30.12085
1561000100561	TYPE_GYROSCOPE_UNCALIBRATED	-0.015975952	0.0	-0.0053253174
1561000100581	TYPE_ACCELEROMETER	-0.4927063	1.8414459	10.000122
1561000100581	TYPE_MAGNETIC_FIELD	12.30011	-26.460266	-17.520142
1561000100581	TYPE_GYROSCOPE	-0.014480591	-0.029754639	0.005722046
1561000100581	TYPE_ROTATION_VECTOR	0.04857643	0.080253325	0.72068614
1561000100581	TYPE_MAGNETIC_FIELD_UNCALIBRATED	67.97943	-24.240112	31.140137
1561000100581	TYPE_GYROSCOPE_UNCALIBRATED	-0.003189087	-0.01171875	-0.0063934326
1561000100601	TYPE_ACCELEROMETER	-0.463974	1.8534241	10.067154
1561000100601	TYPE_MAGNETIC_FIELD	12.719727	-26.579285	-17.460632
1561000100601	TYPE_GYROSCOPE	-0.007019043	-0.018035889	0.011047363
1561000100601	TYPE_ROTATION_VECTOR	0.04857643	0.080253325	0.72068614
1561000100601	TYPE_MAGNETIC_FIELD_UNCALIBRATED	68.39905	-24.35913	31.199646
1561000100601	TYPE_GYROSCOPE_UNCALIBRATED	-0.019180298	-0.038345337	0.0021362305
1561000100621	TYPE_ACCELEROMETER	-0.48791504	1.8797607	9.837311
1561000100621	TYPE_MAGNETIC_FIELD	12.719727	-26.460266	-17.280579
1561000100621	TYPE_GYROSCOPE	0.019607544	0.011779785	0.005722046
1561000100621	TYPE_ROTATION_VECTOR	0.04760988	0.0806884	0.72615695
1561000100621	TYPE_MAGNETIC_FIELD_UNCALIBRATED	68.39905	-24.240112	31.3797
