#	startTime:1561000707941
#	SiteID:5cd56b63e2acfd2d33b591c2	SiteName:缤谷广场	FloorId:5cd56b64e2acfd2d33b59245	FloorName:F1
1561000707942	TYPE_WAYPOINT	61.915054	67.84663
1561000708148	TYPE_ACCELEROMETER	-1.1798401	2.74646	9.224396
1561000708148	TYPE_MAGNETIC_FIELD	5.52063	-30.419922	6.6604614
1561000708148	TYPE_GYROSCOPE	-0.02192688	0.027770996	0.02809143
1561000708148	TYPE_ROTATION_VECTOR	0.023498813	0.15927008	0.8320666
1561000708148	TYPE_MAGNETIC_FIELD_UNCALIBRATED	63.059998	-22.619629	77.101135
1561000708148	TYPE_GYROSCOPE_UNCALIBRATED	-0.026626587	0.019180298	0.024505615
1561000708168	TYPE_ACCELEROMETER	-1.3187103	2.806305	9.545212
1561000708168	TYPE_MAGNETIC_FIELD	5.340576	-30.360413	6.7199707
1561000708168	TYPE_GYROSCOPE	-0.05921936	-0.0031280518	0.019561768
1561000708168	TYPE_ROTATION_VECTOR	0.021242535	0.1581924	0.8368245
1561000708168	TYPE_MAGNETIC_FIELD_UNCALIBRATED	62.879944	-22.56012	77.160645
1561000708168	TYPE_GYROSCOPE_UNCALIBRATED	-0.06391907	-0.01171875	0.015975952
1561000708188	TYPE_ACCELEROMETER	-1.2444916	2.8470154	9.739151
1561000708188	TYPE_MAGNETIC_FIELD	5.4595947	-30.180359	7.260132
1561000708188	TYPE_GYROSCOPE	-0.051757813	-0.014846802	0.02381897
1561000708188	TYPE_ROTATION_VECTOR	0.021242535	0.1581924	0.8368245
1561000708188	TYPE_MAGNETIC_FIELD_UNCALIBRATED	62.998962	-22.380066	77.700806
1561000708188	TYPE_GYROSCOPE_UNCALIBRATED	-0.06391907	-0.01171875	0.015975952
1561000708208	TYPE_ACCELEROMETER	-1.0649261	2.8326416	9.629013
1561000708208	TYPE_MAGNETIC_FIELD	5.6396484	-30.180359	7.4401855
1561000708208	TYPE_GYROSCOPE	-0.029388428	-9.918213E-4	0.020629883
1561000708208	TYPE_ROTATION_VECTOR	0.019980984	0.15567505	0.8459436
1561000708208	TYPE_MAGNETIC_FIELD_UNCALIBRATED	63.179016	-22.380066	77.88086
1561000708208	TYPE_GYROSCOPE_UNCALIBRATED	-0.034088135	-0.0095825195	0.017044067
1561000708228	TYPE_ACCELEROMETER	-0.9643707	2.8398285	9.779846
1561000708228	TYPE_MAGNETIC_FIELD	5.760193	-30.299377	7.4401855
1561000708228	TYPE_GYROSCOPE	-0.02406311	0.004333496	0.01637268
1561000708228	TYPE_ROTATION_VECTOR	0.020131186	0.15428399	0.8502832
1561000708228	TYPE_MAGNETIC_FIELD_UNCALIBRATED	63.29956	-22.499084	77.88086
1561000708228	TYPE_GYROSCOPE_UNCALIBRATED	-0.028762817	-0.004257202	0.012786865
1561000708247	TYPE_ACCELEROMETER	-1.0242157	2.861374	9.834915
1561000708247	TYPE_MAGNETIC_FIELD	6.059265	-30.360413	7.319641
1561000708247	TYPE_GYROSCOPE	-6.2561035E-4	-0.0020599365	0.015304565
1561000708247	TYPE_ROTATION_VECTOR	0.020131186	0.15428399	0.8502832
1561000708247	TYPE_MAGNETIC_FIELD_UNCALIBRATED	63.598633	-22.56012	77.760315
1561000708247	TYPE_GYROSCOPE_UNCALIBRATED	-0.028762817	-0.004257202	0.012786865
1561000708267	TYPE_ACCELEROMETER	-1.1439362	2.9236298	9.688873
1561000708267	TYPE_MAGNETIC_FIELD	6.239319	-30.299377	7.260132
1561000708267	TYPE_GYROSCOPE	0.027069092	-0.011642456	0.01637268
1561000708267	TYPE_ROTATION_VECTOR	0.019915637	0.1535428	0.85430604
1561000708267	TYPE_MAGNETIC_FIELD_UNCALIBRATED	63.778687	-22.499084	77.700806
1561000708267	TYPE_GYROSCOPE_UNCALIBRATED	-0.0053253174	-0.010650635	0.01171875
1561000708287	TYPE_ACCELEROMETER	-1.0577393	2.9236298	9.494934
1561000708287	TYPE_MAGNETIC_FIELD	6.1203003	-30.299377	7.260132
1561000708287	TYPE_GYROSCOPE	0.027069092	-0.019104004	0.02381897
1561000708287	TYPE_ROTATION_VECTOR	0.019412344	0.15390952	0.85795075
1561000708287	TYPE_MAGNETIC_FIELD_UNCALIBRATED	63.659668	-22.499084	77.700806
1561000708287	TYPE_GYROSCOPE_UNCALIBRATED	0.022369385	-0.020233154	0.012786865
1561000708307	TYPE_ACCELEROMETER	-1.0481567	2.8518066	9.384811
1561000708307	TYPE_MAGNETIC_FIELD	5.9402466	-30.599976	7.020569
1561000708307	TYPE_GYROSCOPE	0.017486572	-0.011642456	0.022766113
1561000708307	TYPE_ROTATION_VECTOR	0.019282594	0.15429676	0.86149627
1561000708307	TYPE_MAGNETIC_FIELD_UNCALIBRATED	63.479614	-22.799683	77.46124
1561000708307	TYPE_GYROSCOPE_UNCALIBRATED	0.012786865	-0.020233154	0.019180298
1561000708327	TYPE_ACCELEROMETER	-1.0553436	2.801529	9.332138
1561000708327	TYPE_MAGNETIC_FIELD	6.239319	-30.659485	7.2006226
1561000708327	TYPE_GYROSCOPE	0.0015106201	-0.015914917	0.020629883
1561000708327	TYPE_ROTATION_VECTOR	0.018833341	0.15448742	0.8649757
1561000708327	TYPE_MAGNETIC_FIELD_UNCALIBRATED	63.778687	-22.859192	77.6413
1561000708327	TYPE_GYROSCOPE_UNCALIBRATED	0.012786865	-0.020233154	0.019180298
1561000708347	TYPE_ACCELEROMETER	-1.1199951	2.7919464	9.442261
1561000708347	TYPE_MAGNETIC_FIELD	6.3598633	-30.72052	6.9595337
1561000708347	TYPE_GYROSCOPE	-0.018737793	-0.029754639	0.015304565
1561000708347	TYPE_ROTATION_VECTOR	0.018185591	0.15444201	0.86832947
1561000708347	TYPE_MAGNETIC_FIELD_UNCALIBRATED	63.89923	-22.920227	77.40021
1561000708347	TYPE_GYROSCOPE_UNCALIBRATED	-0.003189087	-0.024505615	0.017044067
1561000708366	TYPE_ACCELEROMETER	-1.1942139	2.7991333	9.724777
1561000708366	TYPE_MAGNETIC_FIELD	6.1798096	-30.659485	6.9595337
1561000708366	TYPE_GYROSCOPE	-0.018737793	-0.037216187	0.01637268
1561000708366	TYPE_ROTATION_VECTOR	0.017306425	0.15414602	0.8715436
1561000708366	TYPE_MAGNETIC_FIELD_UNCALIBRATED	63.719177	-22.859192	77.40021
1561000708366	TYPE_GYROSCOPE_UNCALIBRATED	-0.0234375	-0.038345337	0.01171875
1561000708386	TYPE_ACCELEROMETER	-1.1511078	2.8685608	9.6744995
1561000708386	TYPE_MAGNETIC_FIELD	6.239319	-30.479431	7.020569
1561000708386	TYPE_GYROSCOPE	0.010025024	-0.040405273	0.019561768
1561000708386	TYPE_ROTATION_VECTOR	0.015671313	0.15366769	0.8775828
1561000708386	TYPE_MAGNETIC_FIELD_UNCALIBRATED	63.778687	-22.679138	77.46124
1561000708386	TYPE_GYROSCOPE_UNCALIBRATED	0.0053253174	-0.04899597	0.015975952
1561000708406	TYPE_ACCELEROMETER	-1.052948	2.8398285	9.408752
1561000708406	TYPE_MAGNETIC_FIELD	6.4193726	-30.659485	7.260132
1561000708406	TYPE_GYROSCOPE	0.027069092	-0.026565552	0.020629883
1561000708406	TYPE_ROTATION_VECTOR	0.015671313	0.15366769	0.8775828
1561000708406	TYPE_MAGNETIC_FIELD_UNCALIBRATED	63.95874	-22.859192	77.700806
1561000708406	TYPE_GYROSCOPE_UNCALIBRATED	0.0053253174	-0.04899597	0.015975952
1561000708426	TYPE_ACCELEROMETER	-1.072113	2.8134918	9.315369
1561000708426	TYPE_MAGNETIC_FIELD	6.4193726	-30.72052	7.56073
1561000708426	TYPE_GYROSCOPE	0.018554688	0.0054016113	0.013168335
1561000708426	TYPE_ROTATION_VECTOR	0.015278663	0.15388578	0.88038754
1561000708426	TYPE_MAGNETIC_FIELD_UNCALIBRATED	63.95874	-22.920227	78.0014
1561000708426	TYPE_GYROSCOPE_UNCALIBRATED	0.0138549805	-0.003189087	0.0095825195
1561000708446	TYPE_ACCELEROMETER	-1.0314026	2.7799683	9.32016
1561000708446	TYPE_MAGNETIC_FIELD	6.7199707	-30.78003	7.739258
1561000708446	TYPE_GYROSCOPE	-0.0027618408	0.02670288	0.009979248
1561000708446	TYPE_ROTATION_VECTOR	0.014482079	0.15419814	0.8830743
1561000708446	TYPE_MAGNETIC_FIELD_UNCALIBRATED	64.25934	-22.979736	78.17993
1561000708446	TYPE_GYROSCOPE_UNCALIBRATED	0.0138549805	-0.003189087	0.0095825195
1561000708465	TYPE_ACCELEROMETER	-1.1511078	2.8087006	9.494934
1561000708465	TYPE_MAGNETIC_FIELD	7.1395874	-30.599976	7.9193115
1561000708465	TYPE_GYROSCOPE	-0.022994995	0.0128479	0.001449585
1561000708465	TYPE_ROTATION_VECTOR	0.013487899	0.1542769	0.8856891
1561000708465	TYPE_MAGNETIC_FIELD_UNCALIBRATED	64.678955	-22.799683	78.359985
1561000708465	TYPE_GYROSCOPE_UNCALIBRATED	-0.007461548	0.018112183	0.0063934326
1561000708485	TYPE_ACCELEROMETER	-1.1750641	2.8326416	9.700836
1561000708485	TYPE_MAGNETIC_FIELD	7.080078	-30.479431	7.800293
1561000708485	TYPE_GYROSCOPE	-0.027252197	-0.032958984	0.005722046
1561000708485	TYPE_ROTATION_VECTOR	0.011501905	0.15378469	0.89050907
1561000708485	TYPE_MAGNETIC_FIELD_UNCALIBRATED	64.619446	-22.679138	78.24097
1561000708485	TYPE_GYROSCOPE_UNCALIBRATED	-0.027694702	0.004257202	-0.0021362305
1561000708505	TYPE_ACCELEROMETER	-1.1343536	2.830246	9.523666
1561000708505	TYPE_MAGNETIC_FIELD	6.9595337	-30.659485	8.099365
1561000708505	TYPE_GYROSCOPE	-6.2561035E-4	-0.037216187	0.009979248
1561000708505	TYPE_ROTATION_VECTOR	0.010962792	0.15369554	0.8927905
1561000708505	TYPE_MAGNETIC_FIELD_UNCALIBRATED	64.4989	-22.859192	78.54004
1561000708505	TYPE_GYROSCOPE_UNCALIBRATED	-0.031951904	-0.041549683	0.0021362305
1561000708525	TYPE_ACCELEROMETER	-1.0840759	2.8470154	9.38002
1561000708525	TYPE_MAGNETIC_FIELD	7.3806763	-30.659485	8.099365
1561000708525	TYPE_GYROSCOPE	0.0068359375	0.0011291504	0.01423645
1561000708525	TYPE_ROTATION_VECTOR	0.010962792	0.15369554	0.8927905
1561000708525	TYPE_MAGNETIC_FIELD_UNCALIBRATED	64.920044	-22.859192	78.54004
1561000708525	TYPE_GYROSCOPE_UNCALIBRATED	-0.0053253174	-0.045806885	0.0063934326
1561000708545	TYPE_ACCELEROMETER	-0.92845154	2.8158875	9.274673
1561000708545	TYPE_MAGNETIC_FIELD	7.260132	-30.659485	8.1604
1561000708545	TYPE_GYROSCOPE	0.0015106201	0.013916016	0.015304565
1561000708545	TYPE_ROTATION_VECTOR	0.009717423	0.15398805	0.8971818
1561000708545	TYPE_MAGNETIC_FIELD_UNCALIBRATED	64.7995	-22.859192	78.601074
1561000708545	TYPE_GYROSCOPE_UNCALIBRATED	-0.003189087	0.0053253174	0.01171875
1561000708565	TYPE_ACCELEROMETER	-0.9452057	2.8110962	9.157364
1561000708565	TYPE_MAGNETIC_FIELD	7.1395874	-30.479431	8.399963
1561000708565	TYPE_GYROSCOPE	-0.019805908	0.0021972656	0.0035858154
1561000708565	TYPE_ROTATION_VECTOR	0.009717423	0.15398805	0.8971818
1561000708565	TYPE_MAGNETIC_FIELD_UNCALIBRATED	64.678955	-22.679138	78.84064
1561000708565	TYPE_GYROSCOPE_UNCALIBRATED	-0.003189087	0.0053253174	0.01171875
1561000708584	TYPE_ACCELEROMETER	-1.0409851	2.801529	9.329742
1561000708584	TYPE_MAGNETIC_FIELD	7.1395874	-30.479431	8.1604
1561000708584	TYPE_GYROSCOPE	-0.061340332	-0.009521484	3.9672852E-4
1561000708584	TYPE_ROTATION_VECTOR	0.0082838405	0.15339962	0.9013827
1561000708584	TYPE_MAGNETIC_FIELD_UNCALIBRATED	64.678955	-22.679138	78.601074
1561000708584	TYPE_GYROSCOPE_UNCALIBRATED	-0.06604004	-0.018112183	-0.003189087
1561000708604	TYPE_ACCELEROMETER	-1.1343536	2.7847595	9.609863
1561000708604	TYPE_MAGNETIC_FIELD	7.020569	-30.599976	8.1604
1561000708604	TYPE_GYROSCOPE	-0.0783844	-0.004196167	0.0025177002
1561000708604	TYPE_ROTATION_VECTOR	0.0082838405	0.15339962	0.9013827
1561000708604	TYPE_MAGNETIC_FIELD_UNCALIBRATED	64.55994	-22.799683	78.601074
1561000708604	TYPE_GYROSCOPE_UNCALIBRATED	-0.08308411	-0.012786865	-0.0010681152
1561000708624	TYPE_ACCELEROMETER	-1.1606903	2.7799683	9.629013
1561000708624	TYPE_MAGNETIC_FIELD	6.77948	-30.479431	8.21991
1561000708624	TYPE_GYROSCOPE	-0.04324341	0.016052246	0.005722046
1561000708624	TYPE_ROTATION_VECTOR	0.007163892	0.15265469	0.9034893
1561000708624	TYPE_MAGNETIC_FIELD_UNCALIBRATED	64.31885	-22.679138	78.66058
1561000708624	TYPE_GYROSCOPE_UNCALIBRATED	-0.08308411	-0.012786865	-0.0010681152
1561000708644	TYPE_ACCELEROMETER	-1.076889	2.7871552	9.020889
1561000708644	TYPE_MAGNETIC_FIELD	6.7199707	-30.419922	8.21991
1561000708644	TYPE_GYROSCOPE	0.017486572	0.07144165	0.007843018
1561000708644	TYPE_ROTATION_VECTOR	0.005990059	0.15231282	0.90551144
1561000708644	TYPE_MAGNETIC_FIELD_UNCALIBRATED	64.25934	-22.619629	78.66058
1561000708644	TYPE_GYROSCOPE_UNCALIBRATED	-0.047943115	0.007461548	0.0021362305
1561000708664	TYPE_ACCELEROMETER	-0.92126465	2.7799683	8.319382
