#	startTime:1561001596742
#	SiteID:5cd56b63e2acfd2d33b591c2	SiteName:缤谷广场	FloorId:5cd56b64e2acfd2d33b592cd	FloorName:F2
#	Brand:LeEco	Model:Le X820	AndroidName:6.0.1	APILevel:23	
#	type:1	name:BMI160 Accelerometer	version:2061200	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:78.4532
#	type:4	name:BMI160 Gyroscope	version:2061200	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09915 Magnetometer	version:1	vendor:AKM	resolution:0.14953613	power:0.9	maximumRange:4911.9995
#	VersionName:v20190612-nightly	VersionCode:263	
1561001596742	TYPE_WAYPOINT	17.73423	79.97132
1561001596953	TYPE_ACCELEROMETER	-0.27005005	2.2029724	9.389587
1561001596953	TYPE_MAGNETIC_FIELD	18.539429	-22.860718	-21.11969
1561001596953	TYPE_GYROSCOPE	0.008956909	0.07676697	0.027023315
1561001596953	TYPE_ROTATION_VECTOR	0.035962917	0.097189814	0.91932994
1561001596953	TYPE_MAGNETIC_FIELD_UNCALIBRATED	77.27966	-24.301147	32.87964
1561001596953	TYPE_GYROSCOPE_UNCALIBRATED	0.100128174	0.12463379	-0.0063934326
1561001596973	TYPE_ACCELEROMETER	0.012466431	2.071289	9.684082
1561001596973	TYPE_MAGNETIC_FIELD	18.719482	-22.860718	-21.180725
1561001596973	TYPE_GYROSCOPE	-0.0783844	0.017120361	0.02809143
1561001596973	TYPE_ROTATION_VECTOR	0.03428699	0.10097493	0.9189215
1561001596973	TYPE_MAGNETIC_FIELD_UNCALIBRATED	77.45972	-24.301147	32.818604
1561001596973	TYPE_GYROSCOPE_UNCALIBRATED	0.004257202	0.06817627	0.0234375
1561001596993	TYPE_ACCELEROMETER	0.13935852	2.0329895	9.880402
1561001596993	TYPE_MAGNETIC_FIELD	18.659973	-22.860718	-20.939636
1561001596993	TYPE_GYROSCOPE	-0.069869995	0.019241333	-0.023040771
1561001596993	TYPE_ROTATION_VECTOR	0.03533974	0.09960891	0.91875476
1561001596993	TYPE_MAGNETIC_FIELD_UNCALIBRATED	77.40021	-24.301147	33.059692
1561001596993	TYPE_GYROSCOPE_UNCALIBRATED	-0.0745697	0.010650635	-0.026626587
1561001597013	TYPE_ACCELEROMETER	0.04838562	2.09523	9.854065
1561001597013	TYPE_MAGNETIC_FIELD	18.659973	-23.10028	-21.000671
1561001597013	TYPE_GYROSCOPE	-0.028320313	0.025634766	-0.059265137
1561001597013	TYPE_ROTATION_VECTOR	0.037267175	0.09720309	0.91801214
1561001597013	TYPE_MAGNETIC_FIELD_UNCALIBRATED	77.40021	-24.54071	32.998657
1561001597013	TYPE_GYROSCOPE_UNCALIBRATED	-0.03302002	0.017044067	-0.06285095
1561001597033	TYPE_ACCELEROMETER	0.06034851	2.0856628	9.810974
1561001597033	TYPE_MAGNETIC_FIELD	18.840027	-23.039246	-21.000671
1561001597033	TYPE_GYROSCOPE	-0.018737793	0.0128479	-0.050735474
1561001597033	TYPE_ROTATION_VECTOR	0.037267175	0.09720309	0.91801214
1561001597033	TYPE_MAGNETIC_FIELD_UNCALIBRATED	77.58026	-24.479675	32.998657
1561001597033	TYPE_GYROSCOPE_UNCALIBRATED	-0.03302002	0.017044067	-0.06285095
