#	startTime:1561001636150
#	SiteID:5cd56b63e2acfd2d33b591c2	SiteName:缤谷广场	FloorId:5cd56b64e2acfd2d33b592cd	FloorName:F2
#	Brand:LeEco	Model:Le X820	AndroidName:6.0.1	APILevel:23	
#	type:1	name:BMI160 Accelerometer	version:2061200	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:78.4532
#	type:4	name:BMI160 Gyroscope	version:2061200	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09915 Magnetometer	version:1	vendor:AKM	resolution:0.14953613	power:0.9	maximumRange:4911.9995
#	VersionName:v20190612-nightly	VersionCode:263	
1561001636151	TYPE_WAYPOINT	16.775059	76.27582
1561001636342	TYPE_ACCELEROMETER	-0.40652466	2.6698456	9.444656
1561001636342	TYPE_MAGNETIC_FIELD	-21.839905	-0.059509277	-20.100403
1561001636342	TYPE_GYROSCOPE	-0.020874023	0.04800415	0.005722046
1561001636342	TYPE_ROTATION_VECTOR	0.11233593	-0.076263875	-0.63174874
1561001636342	TYPE_MAGNETIC_FIELD_UNCALIBRATED	36.90033	-1.499939	33.898926
1561001636342	TYPE_GYROSCOPE_UNCALIBRATED	0.030899048	0.08203125	0.014907837
1561001636362	TYPE_ACCELEROMETER	-0.39933777	2.763214	9.583527
1561001636362	TYPE_MAGNETIC_FIELD	-21.780396	0.18005371	-19.979858
1561001636362	TYPE_GYROSCOPE	-0.05496216	0.037353516	0.03981018
1561001636362	TYPE_ROTATION_VECTOR	0.114133105	-0.07464991	-0.63134444
1561001636362	TYPE_MAGNETIC_FIELD_UNCALIBRATED	36.95984	-1.260376	34.01947
1561001636362	TYPE_GYROSCOPE_UNCALIBRATED	-0.02557373	0.039413452	0.0021362305
1561001636382	TYPE_ACCELEROMETER	-0.06175232	2.6459045	9.736755
1561001636382	TYPE_MAGNETIC_FIELD	-21.780396	0.18005371	-19.979858
1561001636382	TYPE_GYROSCOPE	-0.056015015	0.044815063	0.09413147
1561001636382	TYPE_ROTATION_VECTOR	0.11535503	-0.073833264	-0.63017136
1561001636382	TYPE_MAGNETIC_FIELD_UNCALIBRATED	36.95984	-1.260376	34.01947
1561001636382	TYPE_GYROSCOPE_UNCALIBRATED	-0.059661865	0.028762817	0.036224365
1561001636402	TYPE_ACCELEROMETER	0.08908081	2.6075897	9.901947
1561001636402	TYPE_MAGNETIC_FIELD	-21.479797	0.059509277	-19.500732
1561001636402	TYPE_GYROSCOPE	-0.030456543	0.0789032	0.104782104
1561001636402	TYPE_ROTATION_VECTOR	0.11332419	-0.07460756	-0.62902415
1561001636402	TYPE_MAGNETIC_FIELD_UNCALIBRATED	37.260437	-1.3809204	34.498596
1561001636402	TYPE_GYROSCOPE_UNCALIBRATED	-0.06071472	0.036224365	0.090545654
1561001636422	TYPE_ACCELEROMETER	-0.12161255	2.6961823	9.825333
1561001636422	TYPE_MAGNETIC_FIELD	-21.11969	-0.059509277	-19.439697
1561001636422	TYPE_GYROSCOPE	0.014282227	0.1023407	0.09413147
1561001636422	TYPE_ROTATION_VECTOR	0.11117971	-0.07548403	-0.62678695
1561001636422	TYPE_MAGNETIC_FIELD_UNCALIBRATED	37.620544	-1.499939	34.55963
1561001636422	TYPE_GYROSCOPE_UNCALIBRATED	-0.03515625	0.0703125	0.10119629
1561001636441	TYPE_ACCELEROMETER	-0.24371338	2.7536316	9.679291
1561001636441	TYPE_MAGNETIC_FIELD	-20.759583	-0.12054443	-19.320679
1561001636441	TYPE_GYROSCOPE	0.021743774	0.0874176	0.11010742
1561001636441	TYPE_ROTATION_VECTOR	0.11218759	-0.075304195	-0.6253173
1561001636441	TYPE_MAGNETIC_FIELD_UNCALIBRATED	37.98065	-1.5609741	34.67865
1561001636441	TYPE_GYROSCOPE_UNCALIBRATED	0.0095825195	0.09375	0.090545654
1561001636461	TYPE_ACCELEROMETER	-0.15512085	2.66745	9.672104
1561001636461	TYPE_MAGNETIC_FIELD	-20.46051	0.0	-19.439697
1561001636461	TYPE_GYROSCOPE	-0.01020813	0.037353516	0.13142395
1561001636461	TYPE_ROTATION_VECTOR	0.11218759	-0.075304195	-0.6253173
1561001636461	TYPE_MAGNETIC_FIELD_UNCALIBRATED	38.279724	-1.4404297	34.55963
1561001636461	TYPE_GYROSCOPE_UNCALIBRATED	0.017044067	0.078826904	0.10652161
1561001636481	TYPE_ACCELEROMETER	-0.13597107	2.6794128	9.736755
1561001636481	TYPE_MAGNETIC_FIELD	-20.280457	0.059509277	-19.500732
1561001636481	TYPE_GYROSCOPE	-0.03578186	0.010726929	0.1324768
1561001636481	TYPE_ROTATION_VECTOR	0.11137893	-0.07552748	-0.62268496
1561001636481	TYPE_MAGNETIC_FIELD_UNCALIBRATED	38.459778	-1.3809204	34.498596
1561001636481	TYPE_GYROSCOPE_UNCALIBRATED	-0.014907837	0.028762817	0.12783813
1561001636501	TYPE_ACCELEROMETER	-0.0809021	2.5932312	9.8085785
1561001636501	TYPE_MAGNETIC_FIELD	-20.159912	0.48065186	-19.500732
1561001636501	TYPE_GYROSCOPE	-0.032577515	0.042678833	0.1559143
1561001636501	TYPE_ROTATION_VECTOR	0.11137893	-0.07552748	-0.62268496
1561001636501	TYPE_MAGNETIC_FIELD_UNCALIBRATED	38.580322	-0.95977783	34.498596
1561001636501	TYPE_GYROSCOPE_UNCALIBRATED	-0.040481567	0.0021362305	0.12889099
1561001636521	TYPE_ACCELEROMETER	0.005279541	2.4208527	9.901947
1561001636521	TYPE_MAGNETIC_FIELD	-20.039368	0.5996704	-19.92035
1561001636521	TYPE_GYROSCOPE	-0.008087158	0.06291199	0.16763306
1561001636521	TYPE_ROTATION_VECTOR	0.10939653	-0.07503854	-0.6202389
1561001636521	TYPE_MAGNETIC_FIELD_UNCALIBRATED	38.700867	-0.8407593	34.07898
1561001636521	TYPE_GYROSCOPE_UNCALIBRATED	-0.03727722	0.034088135	0.15232849
1561001636541	TYPE_ACCELEROMETER	0.005279541	2.4400024	9.482971
1561001636541	TYPE_MAGNETIC_FIELD	-19.979858	0.8407593	-19.92035
1561001636541	TYPE_GYROSCOPE	0.02067566	0.0639801	0.14419556
1561001636541	TYPE_ROTATION_VECTOR	0.1090326	-0.07506584	-0.61885333
1561001636541	TYPE_MAGNETIC_FIELD_UNCALIBRATED	38.760376	-0.5996704	34.07898
1561001636541	TYPE_GYROSCOPE_UNCALIBRATED	-0.012786865	0.05432129	0.16404724
1561001636560	TYPE_ACCELEROMETER	-0.2868042	2.564499	9.372833
1561001636560	TYPE_MAGNETIC_FIELD	-20.280457	1.0803223	-20.039368
1561001636560	TYPE_GYROSCOPE	-0.009155273	0.07463074	0.14526367
1561001636560	TYPE_ROTATION_VECTOR	0.1096111	-0.07432731	-0.61728114
1561001636560	TYPE_MAGNETIC_FIELD_UNCALIBRATED	38.459778	-0.36010742	33.95996
1561001636560	TYPE_GYROSCOPE_UNCALIBRATED	0.015975952	0.055389404	0.14060974
1561001636580	TYPE_ACCELEROMETER	-0.3514557	2.5429535	9.640991
1561001636580	TYPE_MAGNETIC_FIELD	-20.339966	1.1398315	-19.979858
1561001636580	TYPE_GYROSCOPE	-0.044296265	0.06611633	0.19000244
1561001636580	TYPE_ROTATION_VECTOR	0.10968656	-0.07324827	-0.61566186
1561001636580	TYPE_MAGNETIC_FIELD_UNCALIBRATED	38.40027	-0.30059814	34.01947
1561001636580	TYPE_GYROSCOPE_UNCALIBRATED	-0.0138549805	0.06604004	0.14167786
1561001636600	TYPE_ACCELEROMETER	-0.27005005	2.5716858	9.6744995
1561001636600	TYPE_MAGNETIC_FIELD	-20.52002	1.1993408	-19.979858
1561001636600	TYPE_GYROSCOPE	-0.04536438	0.07463074	0.21237183
1561001636600	TYPE_ROTATION_VECTOR	0.10968656	-0.07324827	-0.61566186
1561001636600	TYPE_MAGNETIC_FIELD_UNCALIBRATED	38.220215	-0.24108887	34.01947
1561001636600	TYPE_GYROSCOPE_UNCALIBRATED	-0.04899597	0.057525635	0.18641663
1561001636620	TYPE_ACCELEROMETER	-0.32511902	2.447174	9.571548
1561001636620	TYPE_MAGNETIC_FIELD	-20.52002	0.90026855	-20.100403
1561001636620	TYPE_GYROSCOPE	-0.042175293	0.06825256	0.21557617
1561001636620	TYPE_ROTATION_VECTOR	0.109688476	-0.07240992	-0.6137341
1561001636620	TYPE_MAGNETIC_FIELD_UNCALIBRATED	38.220215	-0.54016113	33.898926
1561001636620	TYPE_GYROSCOPE_UNCALIBRATED	-0.050064087	0.06604004	0.20878601
1561001636640	TYPE_ACCELEROMETER	-0.3442688	2.4280243	9.394379
1561001636640	TYPE_MAGNETIC_FIELD	-20.46051	0.95977783	-20.100403
1561001636640	TYPE_GYROSCOPE	-0.061340332	0.07676697	0.22090149
1561001636640	TYPE_ROTATION_VECTOR	0.10943816	-0.070338435	-0.61034065
1561001636640	TYPE_MAGNETIC_FIELD_UNCALIBRATED	38.279724	-0.48065186	33.898926
1561001636640	TYPE_GYROSCOPE_UNCALIBRATED	-0.046875	0.059661865	0.21199036
1561001636659	TYPE_ACCELEROMETER	-0.33468628	2.4519653	9.473389
1561001636659	TYPE_MAGNETIC_FIELD	-20.280457	0.7797241	-20.219421
1561001636659	TYPE_GYROSCOPE	-0.0783844	0.13215637	0.25178528
1561001636659	TYPE_ROTATION_VECTOR	0.10943816	-0.070338435	-0.61034065
1561001636659	TYPE_MAGNETIC_FIELD_UNCALIBRATED	38.459778	-0.66070557	33.779907
1561001636659	TYPE_GYROSCOPE_UNCALIBRATED	-0.06604004	0.06817627	0.21731567
1561001636679	TYPE_ACCELEROMETER	-0.384964	2.4878845	9.480576
