#	startTime:1561003540091
#	SiteID:5cd56b63e2acfd2d33b591c2	SiteName:缤谷广场	FloorId:5cd56b64e2acfd2d33b592cd	FloorName:F2
#	Brand:LeEco	Model:Le X820	AndroidName:6.0.1	APILevel:23	
#	type:1	name:BMI160 Accelerometer	version:2061200	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:78.4532
#	type:4	name:BMI160 Gyroscope	version:2061200	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09915 Magnetometer	version:1	vendor:AKM	resolution:0.14953613	power:0.9	maximumRange:4911.9995
#	VersionName:v20190612-nightly	VersionCode:263	
1561003540091	TYPE_WAYPOINT	65.31122	53.44735
1561003540302	TYPE_ACCELEROMETER	-0.701004	1.7672272	9.684082
1561003540302	TYPE_MAGNETIC_FIELD	39.779663	-26.519775	-24.119568
1561003540302	TYPE_GYROSCOPE	-0.07093811	-0.046798706	0.044067383
1561003540302	TYPE_ROTATION_VECTOR	0.023856435	0.096026406	0.8390685
1561003540302	TYPE_MAGNETIC_FIELD_UNCALIBRATED	97.01996	-23.519897	22.740173
1561003540302	TYPE_GYROSCOPE_UNCALIBRATED	0.036224365	-0.0021362305	0.067108154
1561003540322	TYPE_ACCELEROMETER	-0.69381714	1.6858215	10.158127
1561003540322	TYPE_MAGNETIC_FIELD	39.419556	-27.2995	-24.659729
1561003540322	TYPE_GYROSCOPE	-0.102890015	-0.044677734	0.046203613
1561003540322	TYPE_ROTATION_VECTOR	0.021842968	0.093383186	0.8406498
1561003540322	TYPE_MAGNETIC_FIELD_UNCALIBRATED	96.65985	-24.299622	22.200012
1561003540322	TYPE_GYROSCOPE_UNCALIBRATED	-0.07563782	-0.055389404	0.040481567
1561003540342	TYPE_ACCELEROMETER	-0.5525665	1.726532	10.036026
1561003540342	TYPE_MAGNETIC_FIELD	39.720154	-27.600098	-24.719238
1561003540342	TYPE_GYROSCOPE	-0.03364563	-0.0063171387	0.060043335
1561003540342	TYPE_ROTATION_VECTOR	0.021842968	0.093383186	0.8406498
1561003540342	TYPE_MAGNETIC_FIELD_UNCALIBRATED	96.96045	-24.60022	22.140503
1561003540342	TYPE_GYROSCOPE_UNCALIBRATED	-0.10758972	-0.053268433	0.042617798
1561003540362	TYPE_ACCELEROMETER	-0.5621338	1.8438416	9.720001
1561003540362	TYPE_MAGNETIC_FIELD	39.179993	-27.720642	-24.719238
