#	startTime:1561006650719
#	SiteID:5cd56b63e2acfd2d33b591c2	SiteName:缤谷广场	FloorId:5cd56b64e2acfd2d33b59354	FloorName:F3
#	Brand:LeEco	Model:Le X820	AndroidName:6.0.1	APILevel:23	
#	type:1	name:BMI160 Accelerometer	version:2061200	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:78.4532
#	type:4	name:BMI160 Gyroscope	version:2061200	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09915 Magnetometer	version:1	vendor:AKM	resolution:0.14953613	power:0.9	maximumRange:4911.9995
#	VersionName:v20190612-nightly	VersionCode:263	
1561006650719	TYPE_WAYPOINT	33.679264	69.16531
1561006650924	TYPE_ACCELEROMETER	-0.2748413	2.023407	9.889984
1561006650924	TYPE_MAGNETIC_FIELD	-21.180725	-11.160278	-38.09967
1561006650924	TYPE_GYROSCOPE	-0.03791809	-0.0137786865	0.033416748
1561006650924	TYPE_ROTATION_VECTOR	0.08214882	-0.06765954	-0.7524398
1561006650924	TYPE_MAGNETIC_FIELD_UNCALIBRATED	31.91986	-4.1397095	2.7008057
1561006650924	TYPE_GYROSCOPE_UNCALIBRATED	-0.042617798	-0.022369385	0.029830933
1561006650944	TYPE_ACCELEROMETER	-0.19822693	2.011444	9.89238
1561006650944	TYPE_MAGNETIC_FIELD	-21.11969	-11.399841	-38.09967
1561006650944	TYPE_GYROSCOPE	-0.025131226	0.0032653809	0.031280518
1561006650944	TYPE_ROTATION_VECTOR	0.080049515	-0.067985006	-0.7534998
1561006650944	TYPE_MAGNETIC_FIELD_UNCALIBRATED	31.980896	-4.3792725	2.7008057
1561006650944	TYPE_GYROSCOPE_UNCALIBRATED	-0.029830933	-0.0053253174	0.027694702
1561006650964	TYPE_ACCELEROMETER	-0.23413086	2.0641022	9.803787
1561006650964	TYPE_MAGNETIC_FIELD	-21.000671	-11.579895	-37.680054
1561006650964	TYPE_GYROSCOPE	-0.0059509277	0.016052246	0.02381897
