#	startTime:1561007168200
#	SiteID:5cd56b63e2acfd2d33b591c2	SiteName:缤谷广场	FloorId:5cd56b64e2acfd2d33b59354	FloorName:F3
#	Brand:LeEco	Model:Le X820	AndroidName:6.0.1	APILevel:23	
#	type:1	name:BMI160 Accelerometer	version:2061200	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:78.4532
#	type:4	name:BMI160 Gyroscope	version:2061200	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09915 Magnetometer	version:1	vendor:AKM	resolution:0.14953613	power:0.9	maximumRange:4911.9995
#	VersionName:v20190612-nightly	VersionCode:263	
1561007168201	TYPE_WAYPOINT	107.986984	42.198967
1561007168454	TYPE_ACCELEROMETER	-1.076889	1.3769684	9.710419
1561007168454	TYPE_MAGNETIC_FIELD	19.259644	-22.200012	-30.72052
1561007168454	TYPE_GYROSCOPE	-0.0059509277	0.02456665	0.015304565
1561007168454	TYPE_ROTATION_VECTOR	0.07149661	0.054995738	-0.028435327
1561007168454	TYPE_MAGNETIC_FIELD_UNCALIBRATED	72.36023	-15.179443	10.079956
1561007168454	TYPE_GYROSCOPE_UNCALIBRATED	0.012786865	0.010650635	0.02130127
1561007168474	TYPE_ACCELEROMETER	-1.0673218	1.4296417	9.607468
1561007168474	TYPE_MAGNETIC_FIELD	19.200134	-22.259521	-30.72052
1561007168474	TYPE_GYROSCOPE	-0.05496216	0.013916016	0.007843018
1561007168474	TYPE_ROTATION_VECTOR	0.07149661	0.054995738	-0.028435327
1561007168474	TYPE_MAGNETIC_FIELD_UNCALIBRATED	72.30072	-15.238953	10.079956
1561007168474	TYPE_GYROSCOPE_UNCALIBRATED	-0.010650635	0.015975952	0.01171875
1561007168494	TYPE_ACCELEROMETER	-1.029007	1.4511871	9.5954895
1561007168494	TYPE_MAGNETIC_FIELD	19.500732	-22.079468	-31.140137
1561007168494	TYPE_GYROSCOPE	-0.091171265	0.007522583	0.0025177002
1561007168494	TYPE_ROTATION_VECTOR	0.07137898	0.055000532	-0.020342713
1561007168494	TYPE_MAGNETIC_FIELD_UNCALIBRATED	72.60132	-15.058899	9.660339
1561007168494	TYPE_GYROSCOPE_UNCALIBRATED	-0.059661865	0.0053253174	0.004257202
1561007168514	TYPE_ACCELEROMETER	-0.95957947	1.4272461	9.664932
1561007168514	TYPE_MAGNETIC_FIELD	19.500732	-22.140503	-31.199646
1561007168514	TYPE_GYROSCOPE	-0.10076904	0.0096588135	0.001449585
1561007168514	TYPE_ROTATION_VECTOR	0.0704835	0.05466453	-0.011212556
1561007168514	TYPE_MAGNETIC_FIELD_UNCALIBRATED	72.60132	-15.119934	9.60083
1561007168514	TYPE_GYROSCOPE_UNCALIBRATED	-0.09587097	-0.0010681152	-0.0010681152
1561007168534	TYPE_ACCELEROMETER	-1.1654816	1.3530273	9.992935
1561007168534	TYPE_MAGNETIC_FIELD	19.380188	-22.079468	-31.019592
1561007168534	TYPE_GYROSCOPE	-0.06666565	0.004333496	0.024887085
1561007168534	TYPE_ROTATION_VECTOR	0.06887516	0.0554988	-0.0045280447
1561007168534	TYPE_MAGNETIC_FIELD_UNCALIBRATED	72.480774	-15.058899	9.780884
1561007168534	TYPE_GYROSCOPE_UNCALIBRATED	-0.10546875	0.0010681152	-0.0021362305
1561007168553	TYPE_ACCELEROMETER	-1.187027	1.3099365	10.086304
1561007168553	TYPE_MAGNETIC_FIELD	19.200134	-21.780396	-31.019592
1561007168553	TYPE_GYROSCOPE	-0.028320313	0.029891968	0.034484863
1561007168553	TYPE_ROTATION_VECTOR	0.06679899	0.05719579	0.0100105945
1561007168553	TYPE_MAGNETIC_FIELD_UNCALIBRATED	72.30072	-14.759827	9.780884
1561007168553	TYPE_GYROSCOPE_UNCALIBRATED	-0.07136536	-0.004257202	0.02130127
1561007168573	TYPE_ACCELEROMETER	-1.187027	1.3841553	10.083908
1561007168573	TYPE_MAGNETIC_FIELD	19.02008	-21.839905	-30.839539
1561007168573	TYPE_GYROSCOPE	-0.011276245	0.029891968	0.031280518
1561007168573	TYPE_ROTATION_VECTOR	0.06679899	0.05719579	0.0100105945
1561007168573	TYPE_MAGNETIC_FIELD_UNCALIBRATED	72.12067	-14.819336	9.9609375
1561007168573	TYPE_GYROSCOPE_UNCALIBRATED	-0.03302002	0.02130127	0.030899048
1561007168593	TYPE_ACCELEROMETER	-1.1774445	1.4152832	10.024063
1561007168593	TYPE_MAGNETIC_FIELD	19.200134	-21.659851	-30.599976
1561007168593	TYPE_GYROSCOPE	-0.027252197	-0.008453369	0.021697998
1561007168593	TYPE_ROTATION_VECTOR	0.06649579	0.058082253	0.017757619
1561007168593	TYPE_MAGNETIC_FIELD_UNCALIBRATED	72.30072	-14.639282	10.2005005
1561007168593	TYPE_GYROSCOPE_UNCALIBRATED	-0.015975952	0.02130127	0.027694702
1561007168613	TYPE_ACCELEROMETER	-1.1439362	1.3626099	10.052795
1561007168613	TYPE_MAGNETIC_FIELD	18.960571	-21.539307	-30.72052
1561007168613	TYPE_GYROSCOPE	-0.036849976	-0.030822754	0.019561768
1561007168613	TYPE_ROTATION_VECTOR	0.065742865	0.058472186	0.026104903
1561007168613	TYPE_MAGNETIC_FIELD_UNCALIBRATED	72.06116	-14.518738	10.079956
