#	startTime:1561007598092
#	SiteID:5cd56b63e2acfd2d33b591c2	SiteName:缤谷广场	FloorId:5cd56b64e2acfd2d33b59354	FloorName:F3
#	Brand:LeEco	Model:Le X820	AndroidName:6.0.1	APILevel:23	
#	type:1	name:BMI160 Accelerometer	version:2061200	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:78.4532
#	type:4	name:BMI160 Gyroscope	version:2061200	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09915 Magnetometer	version:1	vendor:AKM	resolution:0.14953613	power:0.9	maximumRange:4911.9995
#	VersionName:v20190612-nightly	VersionCode:263	
1561007598092	TYPE_WAYPOINT	117.29492	39.875782
1561007598282	TYPE_ACCELEROMETER	-0.99549866	1.5038605	9.593109
1561007598282	TYPE_MAGNETIC_FIELD	-10.800171	24.180603	-29.100037
1561007598282	TYPE_GYROSCOPE	-0.06880188	-0.004196167	-0.024108887
1561007598282	TYPE_ROTATION_VECTOR	0.07417607	0.050992895	0.1396117
1561007598282	TYPE_MAGNETIC_FIELD_UNCALIBRATED	46.31958	25.320435	21.11969
1561007598282	TYPE_GYROSCOPE_UNCALIBRATED	-0.018112183	0.050064087	-0.041549683
1561007598302	TYPE_ACCELEROMETER	-0.9260559	1.4703522	9.842102
1561007598302	TYPE_MAGNETIC_FIELD	-15.119934	24.240112	-29.100037
1561007598302	TYPE_GYROSCOPE	-0.10714722	-0.065979004	-0.0070648193
1561007598302	TYPE_ROTATION_VECTOR	0.07293942	0.052933767	0.13081172
1561007598302	TYPE_MAGNETIC_FIELD_UNCALIBRATED	41.999817	25.379944	21.11969
1561007598302	TYPE_GYROSCOPE_UNCALIBRATED	-0.111846924	-0.0745697	-0.010650635
1561007598322	TYPE_ACCELEROMETER	-0.8470459	1.4248505	9.916321
1561007598322	TYPE_MAGNETIC_FIELD	-19.439697	24.240112	-29.100037
1561007598322	TYPE_GYROSCOPE	-0.10714722	-0.06277466	0.0046539307
1561007598322	TYPE_ROTATION_VECTOR	0.07139572	0.052331254	0.12281559
1561007598322	TYPE_MAGNETIC_FIELD_UNCALIBRATED	37.680054	25.379944	21.11969
1561007598322	TYPE_GYROSCOPE_UNCALIBRATED	-0.111846924	-0.0745697	-0.010650635
1561007598342	TYPE_ACCELEROMETER	-0.8853607	1.4009094	9.947449
1561007598342	TYPE_MAGNETIC_FIELD	-19.439697	24.240112	-28.799438
1561007598342	TYPE_GYROSCOPE	-0.093307495	-0.030822754	0.011047363
1561007598342	TYPE_ROTATION_VECTOR	0.06998094	0.050858736	0.11469444
1561007598342	TYPE_MAGNETIC_FIELD_UNCALIBRATED	37.680054	25.379944	21.420288
1561007598342	TYPE_GYROSCOPE_UNCALIBRATED	-0.111846924	-0.07136536	0.0010681152
1561007598361	TYPE_ACCELEROMETER	-0.90930176	1.355423	9.91153
1561007598361	TYPE_MAGNETIC_FIELD	-18.899536	24.360657	-28.619385
1561007598361	TYPE_GYROSCOPE	-0.0741272	-0.005264282	0.022766113
1561007598361	TYPE_ROTATION_VECTOR	0.06880296	0.05006593	0.106544204
1561007598361	TYPE_MAGNETIC_FIELD_UNCALIBRATED	37.979126	25.320435	21.420288
1561007598361	TYPE_GYROSCOPE_UNCALIBRATED	-0.078826904	-0.0138549805	0.019180298
1561007598381	TYPE_ACCELEROMETER	-0.890152	1.3578186	9.796616
1561007598381	TYPE_MAGNETIC_FIELD	-18.899536	24.360657	-28.619385
1561007598381	TYPE_GYROSCOPE	-0.072006226	0.010726929	0.024887085
1561007598381	TYPE_ROTATION_VECTOR	0.06778105	0.0496846	0.09869363
1561007598381	TYPE_MAGNETIC_FIELD_UNCALIBRATED	38.220215	25.500488	21.600342
1561007598381	TYPE_GYROSCOPE_UNCALIBRATED	-0.078826904	-0.0138549805	0.019180298
1561007598401	TYPE_ACCELEROMETER	-0.86621094	1.3817596	9.6744995
1561007598401	TYPE_MAGNETIC_FIELD	-19.02008	24.479675	-28.379822
1561007598401	TYPE_GYROSCOPE	-0.093307495	0.011779785	0.027023315
1561007598401	TYPE_ROTATION_VECTOR	0.06709632	0.049387395	0.09121812
1561007598401	TYPE_MAGNETIC_FIELD_UNCALIBRATED	38.09967	25.619507	21.839905
