#	startTime:1561004263421
#	SiteID:5cd56b63e2acfd2d33b591c2	SiteName:缤谷广场	FloorId:5cd56b64e2acfd2d33b593ba	FloorName:F4
#	Brand:LeEco	Model:Le X820	AndroidName:6.0.1	APILevel:23	
#	type:1	name:BMI160 Accelerometer	version:2061200	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:78.4532
#	type:4	name:BMI160 Gyroscope	version:2061200	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09915 Magnetometer	version:1	vendor:AKM	resolution:0.14953613	power:0.9	maximumRange:4911.9995
#	VersionName:v20190612-nightly	VersionCode:263	
1561004263421	TYPE_WAYPOINT	109.93777	43.48434
1561004263640	TYPE_ACCELEROMETER	-0.31314087	1.8175049	9.839706
1561004263640	TYPE_MAGNETIC_FIELD	30.059814	7.9803467	-28.320313
1561004263640	TYPE_GYROSCOPE	-6.2561035E-4	-0.009521484	-0.0113220215
1561004263640	TYPE_ROTATION_VECTOR	0.06878013	0.0629134	0.53841645
1561004263640	TYPE_MAGNETIC_FIELD_UNCALIBRATED	87.30011	10.980225	18.539429
1561004263640	TYPE_GYROSCOPE_UNCALIBRATED	0.045806885	-0.0010681152	-0.010650635
1561004263660	TYPE_ACCELEROMETER	-0.3658142	1.7432861	9.87323
1561004263660	TYPE_MAGNETIC_FIELD	30.119324	7.6797485	-28.140259
1561004263660	TYPE_GYROSCOPE	0.015350342	0.007522583	-0.00920105
1561004263660	TYPE_ROTATION_VECTOR	0.0686516	0.0627674	0.5384805
1561004263660	TYPE_MAGNETIC_FIELD_UNCALIBRATED	87.35962	10.679626	18.719482
1561004263660	TYPE_GYROSCOPE_UNCALIBRATED	-0.0053253174	-0.018112183	-0.014907837
1561004263680	TYPE_ACCELEROMETER	-0.46876526	1.8079224	9.777451
1561004263680	TYPE_MAGNETIC_FIELD	29.87976	7.6797485	-28.140259
1561004263680	TYPE_GYROSCOPE	0.040924072	0.03842163	0.0025177002
1561004263680	TYPE_ROTATION_VECTOR	0.06763603	0.06289145	0.53898257
1561004263680	TYPE_MAGNETIC_FIELD_UNCALIBRATED	87.120056	10.679626	18.719482
1561004263680	TYPE_GYROSCOPE_UNCALIBRATED	0.010650635	-0.0010681152	-0.012786865
1561004263700	TYPE_ACCELEROMETER	-0.4136963	1.8677826	9.643387
1561004263700	TYPE_MAGNETIC_FIELD	29.87976	7.3806763	-28.08075
1561004263700	TYPE_GYROSCOPE	0.03665161	0.035217285	0.018493652
1561004263700	TYPE_ROTATION_VECTOR	0.067154296	0.064369485	0.5386433
1561004263700	TYPE_MAGNETIC_FIELD_UNCALIBRATED	87.120056	10.380554	18.778992
1561004263700	TYPE_GYROSCOPE_UNCALIBRATED	0.036224365	0.029830933	-0.0010681152
1561004263720	TYPE_ACCELEROMETER	-0.31074524	1.8845367	9.629013
1561004263720	TYPE_MAGNETIC_FIELD	29.760742	7.2006226	-27.720642
1561004263720	TYPE_GYROSCOPE	-0.003829956	0.010726929	0.017440796
1561004263720	TYPE_ROTATION_VECTOR	0.0675297	0.06546097	0.53838384
1561004263720	TYPE_MAGNETIC_FIELD_UNCALIBRATED	87.00104	10.2005005	19.1391
1561004263720	TYPE_GYROSCOPE_UNCALIBRATED	0.031951904	0.026626587	0.014907837
1561004263739	TYPE_ACCELEROMETER	-0.19104004	1.834259	9.772675
1561004263739	TYPE_MAGNETIC_FIELD	29.640198	7.1395874	-27.420044
1561004263739	TYPE_GYROSCOPE	-0.03791809	0.0032653809	0.01423645
1561004263739	TYPE_ROTATION_VECTOR	0.06826623	0.06458495	0.53913254
1561004263739	TYPE_MAGNETIC_FIELD_UNCALIBRATED	86.88049	10.139465	19.439697
1561004263739	TYPE_GYROSCOPE_UNCALIBRATED	-0.008529663	0.0021362305	0.0138549805
1561004263759	TYPE_ACCELEROMETER	-0.16949463	1.8558197	9.87323
1561004263759	TYPE_MAGNETIC_FIELD	29.460144	7.080078	-27.360535
1561004263759	TYPE_GYROSCOPE	-0.032577515	0.021377563	0.013168335
1561004263759	TYPE_ROTATION_VECTOR	0.06840995	0.06388954	0.5397501
1561004263759	TYPE_MAGNETIC_FIELD_UNCALIBRATED	86.70044	10.079956	19.499207
1561004263759	TYPE_GYROSCOPE_UNCALIBRATED	-0.042617798	-0.0053253174	0.010650635
1561004263779	TYPE_ACCELEROMETER	-0.21498108	1.8510284	9.803787
1561004263779	TYPE_MAGNETIC_FIELD	29.460144	7.1395874	-27.119446
1561004263779	TYPE_GYROSCOPE	-0.018737793	0.0362854	0.01637268
1561004263779	TYPE_ROTATION_VECTOR	0.06840995	0.06388954	0.5397501
1561004263779	TYPE_MAGNETIC_FIELD_UNCALIBRATED	86.70044	10.139465	19.740295
1561004263779	TYPE_GYROSCOPE_UNCALIBRATED	-0.03727722	0.012786865	0.0095825195
1561004263799	TYPE_ACCELEROMETER	-0.19104004	1.8462372	9.947449
1561004263799	TYPE_MAGNETIC_FIELD	29.3396	7.020569	-27.180481
1561004263799	TYPE_GYROSCOPE	-0.034713745	0.039489746	0.015304565
1561004263799	TYPE_ROTATION_VECTOR	0.06824951	0.06334048	0.540799
1561004263799	TYPE_MAGNETIC_FIELD_UNCALIBRATED	86.579895	10.020447	19.67926
1561004263799	TYPE_GYROSCOPE_UNCALIBRATED	-0.0234375	0.027694702	0.012786865
1561004263819	TYPE_ACCELEROMETER	-0.22695923	1.750473	10.086304
1561004263819	TYPE_MAGNETIC_FIELD	29.220581	7.2006226	-27.540588
1561004263819	TYPE_GYROSCOPE	-0.038970947	0.027770996	0.007843018
1561004263819	TYPE_ROTATION_VECTOR	0.06824951	0.06334048	0.540799
1561004263819	TYPE_MAGNETIC_FIELD_UNCALIBRATED	86.46088	10.2005005	19.319153
1561004263819	TYPE_GYROSCOPE_UNCALIBRATED	-0.039413452	0.030899048	0.01171875
1561004263839	TYPE_ACCELEROMETER	-0.28440857	1.7001953	10.165314
1561004263839	TYPE_MAGNETIC_FIELD	29.460144	7.3806763	-27.659607
1561004263839	TYPE_GYROSCOPE	-0.02192688	0.022445679	0.0046539307
1561004263839	TYPE_ROTATION_VECTOR	0.06760044	0.06281634	0.54147696
1561004263839	TYPE_MAGNETIC_FIELD_UNCALIBRATED	86.70044	10.380554	19.200134
1561004263839	TYPE_GYROSCOPE_UNCALIBRATED	-0.043670654	0.019180298	0.004257202
1561004263858	TYPE_ACCELEROMETER	-0.20062256	1.707367	9.945053
1561004263858	TYPE_MAGNETIC_FIELD	29.519653	7.739258	-27.23999
1561004263858	TYPE_GYROSCOPE	0.012161255	0.008590698	0.005722046
1561004263858	TYPE_ROTATION_VECTOR	0.066864766	0.062463094	0.5421057
1561004263858	TYPE_MAGNETIC_FIELD_UNCALIBRATED	86.75995	10.739136	19.619751
1561004263858	TYPE_GYROSCOPE_UNCALIBRATED	-0.026626587	0.0138549805	0.0010681152
1561004263878	TYPE_ACCELEROMETER	-0.09048462	1.7528687	9.746338
1561004263878	TYPE_MAGNETIC_FIELD	29.640198	7.800293	-27.420044
1561004263878	TYPE_GYROSCOPE	0.010025024	0.004333496	-0.001739502
1561004263878	TYPE_ROTATION_VECTOR	0.066814944	0.062091988	0.54259634
1561004263878	TYPE_MAGNETIC_FIELD_UNCALIBRATED	86.88049	10.800171	19.439697
