#	startTime:1561004429898
#	SiteID:5cd56b63e2acfd2d33b591c2	SiteName:缤谷广场	FloorId:5cd56b64e2acfd2d33b593ba	FloorName:F4
#	Brand:LeEco	Model:Le X820	AndroidName:6.0.1	APILevel:23	
#	type:1	name:BMI160 Accelerometer	version:2061200	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:78.4532
#	type:4	name:BMI160 Gyroscope	version:2061200	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09915 Magnetometer	version:1	vendor:AKM	resolution:0.14953613	power:0.9	maximumRange:4911.9995
#	VersionName:v20190612-nightly	VersionCode:263	
1561004429898	TYPE_WAYPOINT	51.9413	51.063896
1561004430097	TYPE_ACCELEROMETER	-0.16230774	1.513443	9.885193
1561004430097	TYPE_MAGNETIC_FIELD	25.439453	-8.700562	-18.780518
1561004430097	TYPE_GYROSCOPE	-0.08477783	0.06930542	-0.0028076172
1561004430097	TYPE_ROTATION_VECTOR	0.035446897	0.06509265	0.8250476
1561004430097	TYPE_MAGNETIC_FIELD_UNCALIBRATED	82.67975	-5.7006836	28.079224
1561004430097	TYPE_GYROSCOPE_UNCALIBRATED	-0.08947754	0.06071472	-0.0063934326
1561004430117	TYPE_ACCELEROMETER	-0.23413086	1.5948486	10.043213
1561004430117	TYPE_MAGNETIC_FIELD	25.320435	-7.800293	-19.140625
1561004430117	TYPE_GYROSCOPE	-0.09863281	0.0639801	-0.00920105
1561004430117	TYPE_ROTATION_VECTOR	0.034566913	0.065989435	0.8237908
1561004430117	TYPE_MAGNETIC_FIELD_UNCALIBRATED	82.56073	-4.800415	27.719116
1561004430117	TYPE_GYROSCOPE_UNCALIBRATED	-0.10333252	0.055389404	-0.012786865
1561004430137	TYPE_ACCELEROMETER	-0.27963257	1.6379395	10.095886
1561004430137	TYPE_MAGNETIC_FIELD	25.379944	-7.9803467	-19.380188
1561004430137	TYPE_GYROSCOPE	-0.10076904	0.039489746	-0.016647339
1561004430137	TYPE_ROTATION_VECTOR	0.034566913	0.065989435	0.8237908
1561004430137	TYPE_MAGNETIC_FIELD_UNCALIBRATED	82.62024	-4.9804688	27.479553
1561004430137	TYPE_GYROSCOPE_UNCALIBRATED	-0.10333252	0.055389404	-0.012786865
1561004430157	TYPE_ACCELEROMETER	-0.3730011	1.5421753	10.203629
1561004430157	TYPE_MAGNETIC_FIELD	25.439453	-7.9803467	-19.439697
1561004430157	TYPE_GYROSCOPE	-0.091171265	0.018173218	-0.024108887
1561004430157	TYPE_ROTATION_VECTOR	0.032425158	0.066991955	0.8216698
1561004430157	TYPE_MAGNETIC_FIELD_UNCALIBRATED	82.67975	-4.9804688	27.420044
1561004430157	TYPE_GYROSCOPE_UNCALIBRATED	-0.09587097	0.0095825195	-0.027694702
1561004430177	TYPE_ACCELEROMETER	-0.41609192	1.4775238	10.320938
1561004430177	TYPE_MAGNETIC_FIELD	25.559998	-7.8598022	-19.140625
1561004430177	TYPE_GYROSCOPE	-0.05921936	0.0011291504	-0.0113220215
1561004430177	TYPE_ROTATION_VECTOR	0.031066945	0.0669178	0.821081
