#	startTime:1561005110544
#	SiteID:5cd56b63e2acfd2d33b591c2	SiteName:缤谷广场	FloorId:5cd56b65e2acfd2d33b59424	FloorName:F5
#	Brand:LeEco	Model:Le X820	AndroidName:6.0.1	APILevel:23	
#	type:1	name:BMI160 Accelerometer	version:2061200	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:78.4532
#	type:4	name:BMI160 Gyroscope	version:2061200	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09915 Magnetometer	version:1	vendor:AKM	resolution:0.14953613	power:0.9	maximumRange:4911.9995
#	VersionName:v20190612-nightly	VersionCode:263	
1561005110545	TYPE_WAYPOINT	119.31644	55.95548
1561005110769	TYPE_ACCELEROMETER	-0.6100311	1.2668457	9.389587
1561005110769	TYPE_MAGNETIC_FIELD	18.539429	-25.79956	-25.680542
1561005110769	TYPE_GYROSCOPE	-0.17852783	0.0320282	-0.078445435
1561005110769	TYPE_ROTATION_VECTOR	-0.018343253	0.07626401	0.9652427
1561005110769	TYPE_MAGNETIC_FIELD_UNCALIBRATED	75.779724	-22.799683	21.1792
1561005110769	TYPE_GYROSCOPE_UNCALIBRATED	-0.17364502	-0.0063934326	-0.07670593
1561005110789	TYPE_ACCELEROMETER	-0.46636963	1.2093811	9.332138
1561005110789	TYPE_MAGNETIC_FIELD	18.539429	-25.680542	-25.740051
1561005110789	TYPE_GYROSCOPE	-0.16041565	0.08848572	-0.07312012
1561005110789	TYPE_ROTATION_VECTOR	-0.017787196	0.0742097	0.96467507
1561005110789	TYPE_MAGNETIC_FIELD_UNCALIBRATED	75.779724	-22.680664	21.11969
1561005110789	TYPE_GYROSCOPE_UNCALIBRATED	-0.16511536	0.07989502	-0.07670593
1561005110809	TYPE_ACCELEROMETER	-0.5717163	1.2476807	9.097504
1561005110809	TYPE_MAGNETIC_FIELD	18.780518	-26.159668	-25.920105
1561005110809	TYPE_GYROSCOPE	-0.17852783	0.11405945	-0.090164185
1561005110809	TYPE_ROTATION_VECTOR	-0.017130146	0.07117232	0.9632499
1561005110809	TYPE_MAGNETIC_FIELD_UNCALIBRATED	76.02081	-23.15979	20.939636
1561005110809	TYPE_GYROSCOPE_UNCALIBRATED	-0.18322754	0.10546875	-0.09375
1561005110829	TYPE_ACCELEROMETER	-0.5070801	1.2524719	8.98497
1561005110829	TYPE_MAGNETIC_FIELD	18.840027	-26.220703	-26.220703
1561005110829	TYPE_GYROSCOPE	-0.24884033	0.115112305	-0.0954895
1561005110829	TYPE_ROTATION_VECTOR	-0.01738671	0.069808535	0.962498
1561005110829	TYPE_MAGNETIC_FIELD_UNCALIBRATED	76.08032	-23.220825	20.639038
1561005110829	TYPE_GYROSCOPE_UNCALIBRATED	-0.25354004	0.10652161	-0.09907532
1561005110849	TYPE_ACCELEROMETER	-0.66270447	1.2381134	8.908356
1561005110849	TYPE_MAGNETIC_FIELD	18.719482	-26.159668	-26.220703
1561005110849	TYPE_GYROSCOPE	-0.3479004	0.0874176	-0.111465454
1561005110849	TYPE_ROTATION_VECTOR	-0.018893663	0.06786649	0.96199536
1561005110849	TYPE_MAGNETIC_FIELD_UNCALIBRATED	75.95978	-23.15979	20.639038
1561005110849	TYPE_GYROSCOPE_UNCALIBRATED	-0.3526001	0.078826904	-0.11505127
1561005110868	TYPE_ACCELEROMETER	-0.598053	1.1950073	9.375229
1561005110868	TYPE_MAGNETIC_FIELD	18.960571	-26.280212	-26.04065
1561005110868	TYPE_GYROSCOPE	-0.41500854	0.08848572	-0.09761047
1561005110868	TYPE_ROTATION_VECTOR	-0.019965474	0.064755835	0.96150655
1561005110868	TYPE_MAGNETIC_FIELD_UNCALIBRATED	76.20087	-23.280334	20.819092
1561005110868	TYPE_GYROSCOPE_UNCALIBRATED	-0.41970825	0.07989502	-0.10119629
1561005110888	TYPE_ACCELEROMETER	-0.44482422	1.216568	9.451843
1561005110888	TYPE_MAGNETIC_FIELD	19.02008	-26.100159	-26.04065
1561005110888	TYPE_GYROSCOPE	-0.3766632	0.14068604	-0.08589172
1561005110888	TYPE_ROTATION_VECTOR	-0.02046305	0.062219977	0.9607833
1561005110888	TYPE_MAGNETIC_FIELD_UNCALIBRATED	76.260376	-23.10028	20.819092
1561005110888	TYPE_GYROSCOPE_UNCALIBRATED	-0.38136292	0.13209534	-0.08947754
1561005110908	TYPE_ACCELEROMETER	-0.380188	1.3482361	9.480576
1561005110908	TYPE_MAGNETIC_FIELD	19.07959	-25.979614	-26.339722
1561005110908	TYPE_GYROSCOPE	-0.34043884	0.22590637	-0.08589172
1561005110908	TYPE_ROTATION_VECTOR	-0.02119703	0.06091277	0.9598228
1561005110908	TYPE_MAGNETIC_FIELD_UNCALIBRATED	76.319885	-22.979736	20.52002
1561005110908	TYPE_GYROSCOPE_UNCALIBRATED	-0.34513855	0.21731567	-0.08947754
1561005110928	TYPE_ACCELEROMETER	-0.5693207	1.5517426	9.55719
1561005110928	TYPE_MAGNETIC_FIELD	19.320679	-25.860596	-26.339722
1561005110928	TYPE_GYROSCOPE	-0.3681488	0.27383423	-0.11253357
1561005110928	TYPE_ROTATION_VECTOR	-0.023092946	0.060541987	0.9587819
1561005110928	TYPE_MAGNETIC_FIELD_UNCALIBRATED	76.560974	-22.860718	20.52002
1561005110928	TYPE_GYROSCOPE_UNCALIBRATED	-0.3728485	0.26524353	-0.116119385
1561005110948	TYPE_ACCELEROMETER	-0.5022888	1.805542	10.66571
1561005110948	TYPE_MAGNETIC_FIELD	19.619751	-25.619507	-26.159668
1561005110948	TYPE_GYROSCOPE	-0.46614075	0.29408264	-0.12850952
1561005110948	TYPE_ROTATION_VECTOR	-0.024553664	0.059619583	0.95747054
1561005110948	TYPE_MAGNETIC_FIELD_UNCALIBRATED	76.86005	-22.619629	20.700073
1561005110948	TYPE_GYROSCOPE_UNCALIBRATED	-0.47084045	0.28549194	-0.13209534
1561005110968	TYPE_ACCELEROMETER	-0.4424286	1.7528687	11.920273
1561005110968	TYPE_MAGNETIC_FIELD	19.979858	-25.019836	-26.460266
1561005110968	TYPE_GYROSCOPE	-0.454422	0.2589264	-0.17964172
1561005110968	TYPE_ROTATION_VECTOR	-0.025361454	0.057801142	0.9560098
1561005110968	TYPE_MAGNETIC_FIELD_UNCALIBRATED	77.22015	-22.019958	20.399475
1561005110968	TYPE_GYROSCOPE_UNCALIBRATED	-0.4591217	0.2503357	-0.18322754
1561005110987	TYPE_ACCELEROMETER	-1.0697174	1.5397797	13.210739
1561005110987	TYPE_MAGNETIC_FIELD	20.159912	-24.60022	-26.339722
1561005110987	TYPE_GYROSCOPE	-0.3713379	0.19181824	-0.21905518
1561005110987	TYPE_ROTATION_VECTOR	-0.027676431	0.055912014	0.9550209
1561005110987	TYPE_MAGNETIC_FIELD_UNCALIBRATED	77.40021	-21.600342	20.52002
1561005110987	TYPE_GYROSCOPE_UNCALIBRATED	-0.3760376	0.18322754	-0.22264099
1561005111007	TYPE_ACCELEROMETER	-1.6993866	1.1399536	14.908234
1561005111007	TYPE_MAGNETIC_FIELD	20.52002	-24.119568	-26.159668
1561005111007	TYPE_GYROSCOPE	-0.27120972	0.06291199	-0.20307922
1561005111007	TYPE_ROTATION_VECTOR	-0.027676431	0.055912014	0.9550209
1561005111007	TYPE_MAGNETIC_FIELD_UNCALIBRATED	77.760315	-21.11969	20.700073
1561005111007	TYPE_GYROSCOPE_UNCALIBRATED	-0.3760376	0.18322754	-0.22264099
1561005111027	TYPE_ACCELEROMETER	-2.1255493	0.9603882	16.569809
1561005111027	TYPE_MAGNETIC_FIELD	20.759583	-23.75946	-26.159668
1561005111027	TYPE_GYROSCOPE	-0.016601563	-0.112854004	-0.18815613
1561005111027	TYPE_ROTATION_VECTOR	-0.031736903	0.052201137	0.95454806
1561005111027	TYPE_MAGNETIC_FIELD_UNCALIBRATED	77.99988	-20.759583	20.700073
1561005111027	TYPE_GYROSCOPE_UNCALIBRATED	-0.02130127	-0.1214447	-0.19174194
1561005111047	TYPE_ACCELEROMETER	-2.096817	1.1878357	16.248978
1561005111047	TYPE_MAGNETIC_FIELD	20.880127	-23.519897	-26.339722
1561005111047	TYPE_GYROSCOPE	0.4968567	-0.2609253	-0.12530518
1561005111047	TYPE_ROTATION_VECTOR	-0.029840289	0.055859234	0.9542657
1561005111047	TYPE_MAGNETIC_FIELD_UNCALIBRATED	78.12042	-20.52002	20.52002
1561005111047	TYPE_GYROSCOPE_UNCALIBRATED	0.49215698	-0.269516	-0.12889099
1561005111067	TYPE_ACCELEROMETER	-1.5796814	1.4535828	13.893082
1561005111067	TYPE_MAGNETIC_FIELD	20.880127	-23.460388	-26.220703
1561005111067	TYPE_GYROSCOPE	1.0348053	-0.32270813	-0.037963867
1561005111067	TYPE_ROTATION_VECTOR	-0.024796635	0.06479731	0.9536097
1561005111067	TYPE_MAGNETIC_FIELD_UNCALIBRATED	78.12042	-20.46051	20.639038
1561005111067	TYPE_GYROSCOPE_UNCALIBRATED	1.0301056	-0.33129883	-0.041549683
1561005111087	TYPE_ACCELEROMETER	-0.9643707	1.4966888	10.924271
1561005111087	TYPE_MAGNETIC_FIELD	20.880127	-23.579407	-26.04065
1561005111087	TYPE_GYROSCOPE	1.3266907	-0.30992126	0.06324768
1561005111087	TYPE_ROTATION_VECTOR	-0.024796635	0.06479731	0.9536097
1561005111087	TYPE_MAGNETIC_FIELD_UNCALIBRATED	78.12042	-20.579529	20.819092
1561005111087	TYPE_GYROSCOPE_UNCALIBRATED	1.321991	-0.31851196	0.059661865
1561005111106	TYPE_ACCELEROMETER	-0.06414795	1.0872803	8.237991
1561005111106	TYPE_MAGNETIC_FIELD	20.759583	-23.75946	-26.280212
1561005111106	TYPE_GYROSCOPE	1.3235016	-0.31524658	0.13993835
1561005111106	TYPE_ROTATION_VECTOR	-0.010058194	0.087262504	0.95166934
1561005111106	TYPE_MAGNETIC_FIELD_UNCALIBRATED	77.99988	-20.759583	20.579529
1561005111106	TYPE_GYROSCOPE_UNCALIBRATED	1.3188019	-0.32383728	0.13635254
1561005111126	TYPE_ACCELEROMETER	0.08428955	0.9555969	6.140671
1561005111126	TYPE_MAGNETIC_FIELD	20.219421	-24.180603	-25.860596
1561005111126	TYPE_GYROSCOPE	1.0912628	-0.370636	0.097335815
1561005111126	TYPE_ROTATION_VECTOR	-0.0022945933	0.09582844	0.9505895
1561005111126	TYPE_MAGNETIC_FIELD_UNCALIBRATED	77.45972	-21.180725	20.999146
1561005111126	TYPE_GYROSCOPE_UNCALIBRATED	1.0865631	-0.37922668	0.09375
1561005111146	TYPE_ACCELEROMETER	0.44581604	0.97953796	4.462326
1561005111146	TYPE_MAGNETIC_FIELD	20.280457	-24.719238	-25.320435
1561005111146	TYPE_GYROSCOPE	0.77275085	-0.38342285	0.08241272
1561005111146	TYPE_ROTATION_VECTOR	-0.0022945933	0.09582844	0.9505895
1561005111146	TYPE_MAGNETIC_FIELD_UNCALIBRATED	77.52075	-21.71936	21.539307
1561005111146	TYPE_GYROSCOPE_UNCALIBRATED	0.76805115	-0.39201355	0.078826904
1561005111166	TYPE_ACCELEROMETER	1.0036621	0.7832184	2.860611
1561005111166	TYPE_MAGNETIC_FIELD	20.159912	-25.2594	-25.079346
1561005111166	TYPE_GYROSCOPE	0.37860107	-0.30245972	0.085617065
1561005111166	TYPE_ROTATION_VECTOR	0.0053136377	0.10173093	0.9494279
1561005111166	TYPE_MAGNETIC_FIELD_UNCALIBRATED	77.40021	-22.259521	21.780396
1561005111166	TYPE_GYROSCOPE_UNCALIBRATED	0.76805115	-0.39201355	0.078826904
1561005111186	TYPE_ACCELEROMETER	1.7865753	0.050582886	1.8861694
1561005111186	TYPE_MAGNETIC_FIELD	19.92035	-25.500488	-24.54071
1561005111186	TYPE_GYROSCOPE	-0.1401825	-0.15652466	0.040863037
1561005111186	TYPE_ROTATION_VECTOR	0.012015567	0.104034595	0.94838136
1561005111186	TYPE_MAGNETIC_FIELD_UNCALIBRATED	77.160645	-22.50061	22.31903
1561005111186	TYPE_GYROSCOPE_UNCALIBRATED	0.37390137	-0.31105042	0.08203125
1561005111205	TYPE_ACCELEROMETER	1.872757	-0.5431824	1.8358917
1561005111205	TYPE_MAGNETIC_FIELD	19.560242	-25.979614	-24.240112
1561005111205	TYPE_GYROSCOPE	-0.6696167	0.049072266	-0.12530518
1561005111205	TYPE_ROTATION_VECTOR	0.016878955	0.10042641	0.9477135
1561005111205	TYPE_MAGNETIC_FIELD_UNCALIBRATED	76.80054	-22.979736	22.619629
1561005111205	TYPE_GYROSCOPE_UNCALIBRATED	-0.1448822	-0.16511536	0.03727722
1561005111225	TYPE_ACCELEROMETER	0.90789795	-0.7059784	2.8079376
1561005111225	TYPE_MAGNETIC_FIELD	19.560242	-26.159668	-24.119568
1561005111225	TYPE_GYROSCOPE	-0.9977112	0.34521484	-0.26486206
1561005111225	TYPE_ROTATION_VECTOR	0.012445538	0.0803044	0.94744986
1561005111225	TYPE_MAGNETIC_FIELD_UNCALIBRATED	76.80054	-23.15979	22.740173
1561005111225	TYPE_GYROSCOPE_UNCALIBRATED	-1.0024109	0.33662415	-0.26844788
1561005111245	TYPE_ACCELEROMETER	-0.21258545	-0.13137817	3.2005768
1561005111245	TYPE_MAGNETIC_FIELD	19.619751	-25.979614	-24.180603
1561005111245	TYPE_GYROSCOPE	-1.0317993	0.6317749	-0.2563324
1561005111245	TYPE_ROTATION_VECTOR	0.002596391	0.071548	0.9476465
1561005111245	TYPE_MAGNETIC_FIELD_UNCALIBRATED	76.86005	-22.979736	22.679138
1561005111245	TYPE_GYROSCOPE_UNCALIBRATED	-1.036499	0.6231842	-0.2599182
1561005111265	TYPE_ACCELEROMETER	0.48173523	0.014678955	3.2508545
1561005111265	TYPE_MAGNETIC_FIELD	20.159912	-25.19989	-23.640442
1561005111265	TYPE_GYROSCOPE	-1.216095	0.7787781	-0.31599426
1561005111265	TYPE_ROTATION_VECTOR	-0.022015529	0.04343604	0.9463027
1561005111265	TYPE_MAGNETIC_FIELD_UNCALIBRATED	77.40021	-22.200012	23.2193
1561005111265	TYPE_GYROSCOPE_UNCALIBRATED	-1.2207947	0.7701874	-0.31958008
1561005111285	TYPE_ACCELEROMETER	-0.8422699	-0.3444519	6.035324
1561005111285	TYPE_MAGNETIC_FIELD	20.159912	-25.19989	-23.640442
1561005111285	TYPE_GYROSCOPE	-2.0150452	0.67863464	-0.7176056
1561005111285	TYPE_ROTATION_VECTOR	-0.022015529	0.04343604	0.9463027
1561005111285	TYPE_MAGNETIC_FIELD_UNCALIBRATED	77.40021	-22.200012	23.2193
1561005111285	TYPE_GYROSCOPE_UNCALIBRATED	-1.2207947	0.7701874	-0.31958008
1561005111305	TYPE_ACCELEROMETER	-3.2675934	-1.807312	13.359177
1561005111305	TYPE_MAGNETIC_FIELD	20.339966	-24.180603	-24.180603
1561005111305	TYPE_GYROSCOPE	-2.7894897	0.632843	-0.8699341
1561005111305	TYPE_ROTATION_VECTOR	-0.022015529	0.04343604	0.9463027
1561005111305	TYPE_MAGNETIC_FIELD_UNCALIBRATED	77.58026	-21.180725	22.679138
1561005111305	TYPE_GYROSCOPE_UNCALIBRATED	-2.0197449	0.67004395	-0.7211914
1561005111324	TYPE_ACCELEROMETER	-5.175766	-3.1887665	20.50827
1561005111324	TYPE_MAGNETIC_FIELD	20.640564	-22.979736	-24.719238
1561005111324	TYPE_GYROSCOPE	-2.6414185	0.62431335	-0.5727234
1561005111324	TYPE_ROTATION_VECTOR	-0.062437415	-0.008432718	0.94530207
1561005111324	TYPE_MAGNETIC_FIELD_UNCALIBRATED	77.88086	-19.979858	22.140503
1561005111324	TYPE_GYROSCOPE_UNCALIBRATED	-2.6461182	0.61572266	-0.5763092
1561005111344	TYPE_ACCELEROMETER	-4.9315643	-3.1360931	23.302307
1561005111344	TYPE_MAGNETIC_FIELD	20.939636	-21.899414	-25.320435
1561005111344	TYPE_GYROSCOPE	-1.645401	0.3665161	-0.17111206
1561005111344	TYPE_ROTATION_VECTOR	-0.074590184	-0.023540242	0.9451643
1561005111344	TYPE_MAGNETIC_FIELD_UNCALIBRATED	78.17993	-18.899536	21.539307
1561005111344	TYPE_GYROSCOPE_UNCALIBRATED	-1.6501007	0.35792542	-0.17469788
1561005111364	TYPE_ACCELEROMETER	-5.0704193	-1.6085968	22.071686
1561005111364	TYPE_MAGNETIC_FIELD	21.479797	-20.700073	-25.680542
1561005111364	TYPE_GYROSCOPE	-0.641922	-0.0105896	-0.031570435
1561005111364	TYPE_ROTATION_VECTOR	-0.07919271	-0.02771201	0.9454291
1561005111364	TYPE_MAGNETIC_FIELD_UNCALIBRATED	78.72009	-17.700195	21.1792
1561005111364	TYPE_GYROSCOPE_UNCALIBRATED	-0.6466217	-0.019180298	-0.03515625
1561005111384	TYPE_ACCELEROMETER	-5.42955	-0.41629028	20.948807
1561005111384	TYPE_MAGNETIC_FIELD	21.71936	-19.859314	-26.159668
1561005111384	TYPE_GYROSCOPE	-0.13591003	-0.52297974	0.0067749023
1561005111384	TYPE_ROTATION_VECTOR	-0.07919271	-0.02771201	0.9454291
1561005111384	TYPE_MAGNETIC_FIELD_UNCALIBRATED	78.959656	-16.859436	20.700073
1561005111384	TYPE_GYROSCOPE_UNCALIBRATED	-0.6466217	-0.019180298	-0.03515625
1561005111404	TYPE_ACCELEROMETER	-4.172592	-0.33728027	19.20343
1561005111404	TYPE_MAGNETIC_FIELD	21.96045	-19.200134	-26.579285
1561005111404	TYPE_GYROSCOPE	0.35836792	-0.92671204	0.17295837
1561005111404	TYPE_ROTATION_VECTOR	-0.069646485	-0.023962308	0.9477885
1561005111404	TYPE_MAGNETIC_FIELD_UNCALIBRATED	79.200745	-16.200256	20.280457
1561005111404	TYPE_GYROSCOPE_UNCALIBRATED	0.3536682	-0.93530273	0.16937256
1561005111424	TYPE_ACCELEROMETER	-2.5852356	-0.7658386	15.688736
1561005111424	TYPE_MAGNETIC_FIELD	21.539307	-18.600464	-27.420044
1561005111424	TYPE_GYROSCOPE	1.1083069	-0.87983704	0.3519287
1561005111424	TYPE_ROTATION_VECTOR	-0.069646485	-0.023962308	0.9477885
1561005111424	TYPE_MAGNETIC_FIELD_UNCALIBRATED	78.7796	-15.600586	19.439697
1561005111424	TYPE_GYROSCOPE_UNCALIBRATED	0.3536682	-0.93530273	0.16937256
1561005111443	TYPE_ACCELEROMETER	-2.0752716	-0.6940155	11.316925
1561005111443	TYPE_MAGNETIC_FIELD	21.359253	-18.47992	-27.659607
1561005111443	TYPE_GYROSCOPE	1.6366882	-0.6412201	0.48509216
1561005111443	TYPE_ROTATION_VECTOR	-0.049484205	-0.0016045814	0.95184386
1561005111443	TYPE_MAGNETIC_FIELD_UNCALIBRATED	78.59955	-15.4800415	19.200134
1561005111443	TYPE_GYROSCOPE_UNCALIBRATED	1.6319885	-0.6498108	0.48150635
1561005111463	TYPE_ACCELEROMETER	-1.3713837	-0.6940155	8.237991
1561005111463	TYPE_MAGNETIC_FIELD	21.11969	-18.659973	-27.780151
1561005111463	TYPE_GYROSCOPE	1.6334839	-0.4888916	0.5766907
1561005111463	TYPE_ROTATION_VECTOR	-0.0409998	0.0120411515	0.9537834
1561005111463	TYPE_MAGNETIC_FIELD_UNCALIBRATED	78.359985	-15.660095	19.07959
1561005111463	TYPE_GYROSCOPE_UNCALIBRATED	1.6287842	-0.4974823	0.57310486
1561005111483	TYPE_ACCELEROMETER	-0.8278961	-0.8113251	6.3728943
1561005111483	TYPE_MAGNETIC_FIELD	20.820618	-19.320679	-27.720642
1561005111483	TYPE_GYROSCOPE	1.302185	-0.38981628	0.54367065
1561005111483	TYPE_ROTATION_VECTOR	-0.0409998	0.0120411515	0.9537834
1561005111483	TYPE_MAGNETIC_FIELD_UNCALIBRATED	78.06091	-16.3208	19.1391
1561005111483	TYPE_GYROSCOPE_UNCALIBRATED	1.2974854	-0.39840698	0.54008484
1561005111503	TYPE_ACCELEROMETER	-0.54777527	-1.0172272	5.599579
1561005111503	TYPE_MAGNETIC_FIELD	20.280457	-20.100403	-27.720642
1561005111503	TYPE_GYROSCOPE	0.9314728	-0.28115845	0.42436218
1561005111503	TYPE_ROTATION_VECTOR	-0.034109354	0.02244668	0.95533913
1561005111503	TYPE_MAGNETIC_FIELD_UNCALIBRATED	77.52075	-17.100525	19.1391
1561005111503	TYPE_GYROSCOPE_UNCALIBRATED	1.2974854	-0.39840698	0.54008484
1561005111523	TYPE_ACCELEROMETER	-0.62438965	-1.2327118	4.639496
1561005111523	TYPE_MAGNETIC_FIELD	19.92035	-20.759583	-27.720642
1561005111523	TYPE_GYROSCOPE	0.7013855	-0.14694214	0.30825806
1561005111523	TYPE_ROTATION_VECTOR	-0.026575012	0.034026124	0.9573306
1561005111523	TYPE_MAGNETIC_FIELD_UNCALIBRATED	77.160645	-17.759705	19.1391
1561005111523	TYPE_GYROSCOPE_UNCALIBRATED	0.6966858	-0.15553284	0.30467224
1561005111542	TYPE_ACCELEROMETER	-0.7081909	-1.2303162	3.710556
1561005111542	TYPE_MAGNETIC_FIELD	19.07959	-21.299744	-27.420044
1561005111542	TYPE_GYROSCOPE	0.5064392	0.011779785	0.21876526
1561005111542	TYPE_ROTATION_VECTOR	-0.026161378	0.037469093	0.9579858
1561005111542	TYPE_MAGNETIC_FIELD_UNCALIBRATED	76.319885	-18.299866	19.439697
1561005111542	TYPE_GYROSCOPE_UNCALIBRATED	0.5017395	0.003189087	0.21517944
1561005111562	TYPE_ACCELEROMETER	-0.6579132	-0.8041382	2.5182343
1561005111562	TYPE_MAGNETIC_FIELD	18.659973	-21.899414	-26.939392
1561005111562	TYPE_GYROSCOPE	0.2869873	0.095947266	0.1473999
1561005111562	TYPE_ROTATION_VECTOR	-0.027052376	0.039593417	0.9584129
1561005111562	TYPE_MAGNETIC_FIELD_UNCALIBRATED	75.90027	-18.899536	19.92035
1561005111562	TYPE_GYROSCOPE_UNCALIBRATED	0.2822876	0.08735657	0.14381409
1561005111582	TYPE_ACCELEROMETER	-0.4807434	-0.006881714	1.6371765
1561005111582	TYPE_MAGNETIC_FIELD	18.539429	-22.56012	-26.879883
1561005111582	TYPE_GYROSCOPE	-0.017669678	0.21737671	0.12289429
1561005111582	TYPE_ROTATION_VECTOR	-0.027052376	0.039593417	0.9584129
1561005111582	TYPE_MAGNETIC_FIELD_UNCALIBRATED	75.779724	-19.560242	19.979858
1561005111582	TYPE_GYROSCOPE_UNCALIBRATED	-0.022369385	0.20878601	0.11930847
