#	startTime:1561005491332
#	SiteID:5cd56b63e2acfd2d33b591c2	SiteName:缤谷广场	FloorId:5cd56b65e2acfd2d33b59424	FloorName:F5
#	Brand:LeEco	Model:Le X820	AndroidName:6.0.1	APILevel:23	
#	type:1	name:BMI160 Accelerometer	version:2061200	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:78.4532
#	type:4	name:BMI160 Gyroscope	version:2061200	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09915 Magnetometer	version:1	vendor:AKM	resolution:0.14953613	power:0.9	maximumRange:4911.9995
#	VersionName:v20190612-nightly	VersionCode:263	
1561005491332	TYPE_WAYPOINT	118.1761	36.99449
1561005491543	TYPE_ACCELEROMETER	1.4298401	1.0106659	9.662537
1561005491543	TYPE_MAGNETIC_FIELD	-13.020325	20.939636	-28.08075
1561005491543	TYPE_GYROSCOPE	0.007888794	0.030960083	0.020629883
1561005491543	TYPE_ROTATION_VECTOR	0.052447703	-0.0684118	0.033187732
1561005491543	TYPE_MAGNETIC_FIELD_UNCALIBRATED	40.08026	27.960205	12.719727
1561005491543	TYPE_GYROSCOPE_UNCALIBRATED	0.052200317	0.042617798	0.020233154
1561005491563	TYPE_ACCELEROMETER	1.381958	0.90052795	9.839706
1561005491563	TYPE_MAGNETIC_FIELD	-13.319397	21.000671	-28.439331
1561005491563	TYPE_GYROSCOPE	-0.044296265	-0.008453369	0.0067749023
1561005491563	TYPE_ROTATION_VECTOR	0.052447703	-0.0684118	0.033187732
1561005491563	TYPE_MAGNETIC_FIELD_UNCALIBRATED	39.78119	28.02124	12.361145
1561005491563	TYPE_GYROSCOPE_UNCALIBRATED	0.003189087	0.022369385	0.017044067
1561005491583	TYPE_ACCELEROMETER	1.2502747	0.79039	10.074341
1561005491583	TYPE_MAGNETIC_FIELD	-13.439941	21.11969	-28.379822
1561005491583	TYPE_GYROSCOPE	-0.040039063	-0.004196167	0.009979248
1561005491583	TYPE_ROTATION_VECTOR	0.050484914	-0.06887751	0.023884863
1561005491583	TYPE_MAGNETIC_FIELD_UNCALIBRATED	39.660645	28.140259	12.420654
1561005491583	TYPE_GYROSCOPE_UNCALIBRATED	-0.04899597	-0.017044067	0.003189087
1561005491603	TYPE_ACCELEROMETER	1.3125153	0.80236816	10.088699
1561005491603	TYPE_MAGNETIC_FIELD	-13.74054	21.359253	-28.439331
1561005491603	TYPE_GYROSCOPE	-6.2561035E-4	0.011779785	0.017440796
1561005491603	TYPE_ROTATION_VECTOR	0.047563665	-0.0681556	0.0109710945
1561005491603	TYPE_MAGNETIC_FIELD_UNCALIBRATED	39.360046	28.379822	12.361145
1561005491603	TYPE_GYROSCOPE_UNCALIBRATED	-0.04473877	-0.012786865	0.0063934326
1561005491623	TYPE_ACCELEROMETER	1.386734	0.87179565	9.8875885
1561005491623	TYPE_MAGNETIC_FIELD	-13.800049	21.11969	-28.73993
1561005491623	TYPE_GYROSCOPE	0.0025634766	0.0032653809	0.008911133
1561005491623	TYPE_ROTATION_VECTOR	0.045800187	-0.06792868	0.0012265946
1561005491623	TYPE_MAGNETIC_FIELD_UNCALIBRATED	39.300537	28.140259	12.060547
1561005491623	TYPE_GYROSCOPE_UNCALIBRATED	-0.0053253174	0.003189087	0.0138549805
1561005491642	TYPE_ACCELEROMETER	1.2957611	0.8239136	10.014481
1561005491642	TYPE_MAGNETIC_FIELD	-13.800049	21.06018	-28.919983
1561005491642	TYPE_GYROSCOPE	-0.03364563	-0.021240234	-0.001739502
1561005491642	TYPE_ROTATION_VECTOR	0.045082077	-0.068399064	-0.0056600333
1561005491642	TYPE_MAGNETIC_FIELD_UNCALIBRATED	39.300537	28.08075	11.880493
1561005491642	TYPE_GYROSCOPE_UNCALIBRATED	-0.0021362305	-0.0053253174	0.0053253174
1561005491662	TYPE_ACCELEROMETER	1.3436432	0.7688446	10.105469
1561005491662	TYPE_MAGNETIC_FIELD	-14.039612	21.06018	-28.919983
1561005491662	TYPE_GYROSCOPE	-0.038970947	-0.028686523	0.0025177002
1561005491662	TYPE_ROTATION_VECTOR	0.042118262	-0.068865396	-0.021662697
1561005491662	TYPE_MAGNETIC_FIELD_UNCALIBRATED	39.060974	28.08075	11.880493
1561005491662	TYPE_GYROSCOPE_UNCALIBRATED	-0.043670654	-0.03727722	-0.0010681152
1561005491682	TYPE_ACCELEROMETER	1.4130707	0.8957367	9.988144
1561005491682	TYPE_MAGNETIC_FIELD	-13.980103	20.640564	-28.68042
1561005491682	TYPE_GYROSCOPE	-0.013412476	-0.009521484	0.0046539307
1561005491682	TYPE_ROTATION_VECTOR	0.042118262	-0.068865396	-0.021662697
1561005491682	TYPE_MAGNETIC_FIELD_UNCALIBRATED	39.120483	27.661133	12.120056
1561005491682	TYPE_GYROSCOPE_UNCALIBRATED	-0.043670654	-0.03727722	-0.0010681152
1561005491702	TYPE_ACCELEROMETER	1.3244934	0.92207336	9.925903
1561005491702	TYPE_MAGNETIC_FIELD	-13.980103	20.640564	-28.68042
1561005491702	TYPE_GYROSCOPE	0.007888794	-0.004196167	-0.0049438477
