#	startTime:1561010990951
#	SiteID:5cd56b63e2acfd2d33b591c2	SiteName:缤谷广场	FloorId:5cd56b65e2acfd2d33b59432	FloorName:F6
#	Brand:LeEco	Model:Le X820	AndroidName:6.0.1	APILevel:23	
#	type:1	name:BMI160 Accelerometer	version:2061200	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:78.4532
#	type:4	name:BMI160 Gyroscope	version:2061200	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09915 Magnetometer	version:1	vendor:AKM	resolution:0.14953613	power:0.9	maximumRange:4911.9995
#	VersionName:v20190612-nightly	VersionCode:263	
1561010990951	TYPE_WAYPOINT	103.504745	15.446827
1561010991150	TYPE_ACCELEROMETER	-0.21737671	1.1686707	9.882797
1561010991150	TYPE_MAGNETIC_FIELD	-12.539673	-0.90026855	-33.47931
1561010991150	TYPE_GYROSCOPE	-0.0016937256	0.08102417	-0.12425232
1561010991150	TYPE_ROTATION_VECTOR	0.025522247	-0.050077833	-0.969617
1561010991150	TYPE_MAGNETIC_FIELD_UNCALIBRATED	42.660522	1.979065	13.74054
1561010991150	TYPE_GYROSCOPE_UNCALIBRATED	0.017044067	0.0745697	-0.1257019
1561010991170	TYPE_ACCELEROMETER	-0.19822693	1.2021942	9.942657
1561010991170	TYPE_MAGNETIC_FIELD	-13.499451	1.6799927	-34.01947
1561010991170	TYPE_GYROSCOPE	-0.04324341	0.07676697	-0.1306305
1561010991170	TYPE_ROTATION_VECTOR	0.026309839	-0.050802108	-0.9679842
1561010991170	TYPE_MAGNETIC_FIELD_UNCALIBRATED	41.700745	4.559326	13.200378
1561010991170	TYPE_GYROSCOPE_UNCALIBRATED	-0.0063934326	0.07243347	-0.12783813
1561010991190	TYPE_ACCELEROMETER	-0.14794922	1.1495209	9.99054
1561010991190	TYPE_MAGNETIC_FIELD	-13.619995	1.6799927	-34.199524
1561010991190	TYPE_GYROSCOPE	-0.029388428	0.079956055	-0.13383484
1561010991190	TYPE_ROTATION_VECTOR	0.026908787	-0.051076874	-0.9660815
1561010991190	TYPE_MAGNETIC_FIELD_UNCALIBRATED	41.5802	4.559326	13.020325
1561010991190	TYPE_GYROSCOPE_UNCALIBRATED	-0.047943115	0.06817627	-0.13421631
1561010991210	TYPE_ACCELEROMETER	-0.07373047	1.1734619	9.901947
1561010991210	TYPE_MAGNETIC_FIELD	-13.380432	1.499939	-33.779907
1561010991210	TYPE_GYROSCOPE	0.0068359375	0.09700012	-0.13702393
1561010991210	TYPE_ROTATION_VECTOR	0.027019594	-0.05086133	-0.9645014
1561010991210	TYPE_MAGNETIC_FIELD_UNCALIBRATED	41.819763	4.3792725	13.439941
1561010991210	TYPE_GYROSCOPE_UNCALIBRATED	-0.034088135	0.07136536	-0.13742065
1561010991230	TYPE_ACCELEROMETER	-0.15991211	1.2309265	9.957016
1561010991230	TYPE_MAGNETIC_FIELD	-13.139343	1.499939	-33.659363
1561010991230	TYPE_GYROSCOPE	-0.003829956	0.12576294	-0.13490295
1561010991230	TYPE_ROTATION_VECTOR	0.028185042	-0.051390093	-0.9611399
1561010991230	TYPE_MAGNETIC_FIELD_UNCALIBRATED	42.060852	4.3792725	13.560486
1561010991230	TYPE_GYROSCOPE_UNCALIBRATED	0.0021362305	0.088409424	-0.14060974
1561010991249	TYPE_ACCELEROMETER	-0.2532959	1.2093811	10.052795
1561010991249	TYPE_MAGNETIC_FIELD	-12.840271	1.499939	-33.720398
1561010991249	TYPE_GYROSCOPE	-0.040039063	0.11299133	-0.12850952
1561010991249	TYPE_ROTATION_VECTOR	0.028185042	-0.051390093	-0.9611399
1561010991249	TYPE_MAGNETIC_FIELD_UNCALIBRATED	42.359924	4.3792725	13.499451
1561010991249	TYPE_GYROSCOPE_UNCALIBRATED	-0.008529663	0.11717224	-0.13848877
1561010991269	TYPE_ACCELEROMETER	-0.20301819	1.1830444	10.095886
1561010991269	TYPE_MAGNETIC_FIELD	-12.840271	1.5594482	-33.599854
1561010991269	TYPE_GYROSCOPE	-0.05921936	0.084228516	-0.12530518
1561010991269	TYPE_ROTATION_VECTOR	0.029551923	-0.050810874	-0.9590434
1561010991269	TYPE_MAGNETIC_FIELD_UNCALIBRATED	42.359924	4.4387817	13.619995
1561010991269	TYPE_GYROSCOPE_UNCALIBRATED	-0.04473877	0.104400635	-0.13209534
1561010991289	TYPE_ACCELEROMETER	-0.10484314	1.1519165	9.992935
1561010991289	TYPE_MAGNETIC_FIELD	-12.719727	1.3793945	-33.95996
1561010991289	TYPE_GYROSCOPE	-0.02619934	0.09274292	-0.12850952
1561010991289	TYPE_ROTATION_VECTOR	0.030521752	-0.04967507	-0.95549655
1561010991289	TYPE_MAGNETIC_FIELD_UNCALIBRATED	42.48047	4.258728	13.259888
1561010991289	TYPE_GYROSCOPE_UNCALIBRATED	-0.06391907	0.07563782	-0.12889099
1561010991309	TYPE_ACCELEROMETER	-0.0521698	1.2045898	9.705627
1561010991309	TYPE_MAGNETIC_FIELD	-12.719727	1.1993408	-33.299255
1561010991309	TYPE_GYROSCOPE	0.01109314	0.12683105	-0.14129639
1561010991309	TYPE_ROTATION_VECTOR	0.030521752	-0.04967507	-0.95549655
1561010991309	TYPE_MAGNETIC_FIELD_UNCALIBRATED	42.48047	4.0786743	13.920593
1561010991309	TYPE_GYROSCOPE_UNCALIBRATED	-0.030899048	0.08415222	-0.13209534
1561010991329	TYPE_ACCELEROMETER	-0.15272522	1.2572632	9.571548
1561010991329	TYPE_MAGNETIC_FIELD	-12.480164	1.0192871	-33.47931
1561010991329	TYPE_GYROSCOPE	-0.014480591	0.15133667	-0.14874268
1561010991329	TYPE_ROTATION_VECTOR	0.031244054	-0.049883027	-0.9538077
1561010991329	TYPE_MAGNETIC_FIELD_UNCALIBRATED	42.72003	3.8986206	13.74054
1561010991329	TYPE_GYROSCOPE_UNCALIBRATED	0.0063934326	0.11824036	-0.1448822
1561010991349	TYPE_ACCELEROMETER	-0.21977234	1.2524719	9.605072
1561010991349	TYPE_MAGNETIC_FIELD	-12.480164	0.72021484	-33.36029
1561010991349	TYPE_GYROSCOPE	-0.0783844	0.1577301	-0.14555359
1561010991349	TYPE_ROTATION_VECTOR	0.03266274	-0.049800094	-0.9517961
1561010991349	TYPE_MAGNETIC_FIELD_UNCALIBRATED	42.72003	3.5995483	13.859558
1561010991349	TYPE_GYROSCOPE_UNCALIBRATED	-0.019180298	0.14274597	-0.15232849
1561010991368	TYPE_ACCELEROMETER	-0.30595398	1.1997986	9.57634
1561010991368	TYPE_MAGNETIC_FIELD	-12.600708	0.66070557	-33.47931
1561010991368	TYPE_GYROSCOPE	-0.10714722	0.16412354	-0.13597107
1561010991368	TYPE_ROTATION_VECTOR	0.03413805	-0.048944652	-0.9496883
1561010991368	TYPE_MAGNETIC_FIELD_UNCALIBRATED	42.599487	3.540039	13.74054
1561010991368	TYPE_GYROSCOPE_UNCALIBRATED	-0.08308411	0.1491394	-0.1491394
1561010991388	TYPE_ACCELEROMETER	-0.17668152	1.0800934	9.39917
1561010991388	TYPE_MAGNETIC_FIELD	-12.780762	0.7797241	-33.36029
1561010991388	TYPE_GYROSCOPE	-0.08798218	0.189682	-0.123184204
1561010991388	TYPE_ROTATION_VECTOR	0.035749212	-0.04754064	-0.9474364
1561010991388	TYPE_MAGNETIC_FIELD_UNCALIBRATED	42.419434	3.6590576	13.859558
1561010991388	TYPE_GYROSCOPE_UNCALIBRATED	-0.111846924	0.15553284	-0.13955688
1561010991408	TYPE_ACCELEROMETER	-0.23892212	0.99150085	9.212418
1561010991408	TYPE_MAGNETIC_FIELD	-12.719727	0.90026855	-33.47931
1561010991408	TYPE_GYROSCOPE	-0.079452515	0.23336792	-0.14767456
1561010991408	TYPE_ROTATION_VECTOR	0.038809884	-0.04442564	-0.9436385
1561010991408	TYPE_MAGNETIC_FIELD_UNCALIBRATED	42.48047	3.779602	13.74054
1561010991408	TYPE_GYROSCOPE_UNCALIBRATED	-0.092681885	0.18109131	-0.12677002
1561010991428	TYPE_ACCELEROMETER	-0.5860901	1.0178375	9.30101
1561010991428	TYPE_MAGNETIC_FIELD	-12.539673	0.90026855	-33.720398
1561010991428	TYPE_GYROSCOPE	-0.14123535	0.2589264	-0.1700592
1561010991428	TYPE_ROTATION_VECTOR	0.038809884	-0.04442564	-0.9436385
1561010991428	TYPE_MAGNETIC_FIELD_UNCALIBRATED	42.660522	3.779602	13.499451
1561010991428	TYPE_GYROSCOPE_UNCALIBRATED	-0.08415222	0.22477722	-0.15126038
1561010991448	TYPE_ACCELEROMETER	-0.78240967	0.98672485	9.7535095
1561010991448	TYPE_MAGNETIC_FIELD	-12.30011	0.90026855	-33.4198
1561010991448	TYPE_GYROSCOPE	-0.20835876	0.24613953	-0.1508789
1561010991448	TYPE_ROTATION_VECTOR	0.041571468	-0.041778408	-0.9411634
1561010991448	TYPE_MAGNETIC_FIELD_UNCALIBRATED	42.900085	3.779602	13.800049
1561010991448	TYPE_GYROSCOPE_UNCALIBRATED	-0.14593506	0.2503357	-0.17364502
1561010991467	TYPE_ACCELEROMETER	-0.8685913	0.98672485	9.992935
1561010991467	TYPE_MAGNETIC_FIELD	-11.999512	1.0192871	-33.599854
1561010991467	TYPE_GYROSCOPE	-0.22113037	0.19714355	-0.14448547
1561010991467	TYPE_ROTATION_VECTOR	0.04417854	-0.0383048	-0.93851525
