#	startTime:1561011049198
#	SiteID:5cd56b63e2acfd2d33b591c2	SiteName:缤谷广场	FloorId:5cd56b65e2acfd2d33b59432	FloorName:F6
#	Brand:LeEco	Model:Le X820	AndroidName:6.0.1	APILevel:23	
#	type:1	name:BMI160 Accelerometer	version:2061200	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:78.4532
#	type:4	name:BMI160 Gyroscope	version:2061200	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09915 Magnetometer	version:1	vendor:AKM	resolution:0.14953613	power:0.9	maximumRange:4911.9995
#	VersionName:v20190612-nightly	VersionCode:263	
1561011049198	TYPE_WAYPOINT	6.976339	55.768936
1561011049408	TYPE_ACCELEROMETER	-0.3945465	0.8526459	9.968994
1561011049408	TYPE_MAGNETIC_FIELD	0.0	8.099365	-32.699585
1561011049408	TYPE_GYROSCOPE	-0.102890015	0.018173218	-0.0070648193
1561011049408	TYPE_ROTATION_VECTOR	0.05780327	0.022471638	-0.048092607
1561011049408	TYPE_MAGNETIC_FIELD_UNCALIBRATED	55.200195	10.978699	14.520264
1561011049408	TYPE_GYROSCOPE_UNCALIBRATED	-0.10758972	0.0095825195	-0.010650635
1561011049428	TYPE_ACCELEROMETER	-0.15512085	0.77363586	9.959412
1561011049428	TYPE_MAGNETIC_FIELD	0.12054443	8.099365	-32.580566
1561011049428	TYPE_GYROSCOPE	-0.07305908	0.033096313	-0.026245117
1561011049428	TYPE_ROTATION_VECTOR	0.053367946	0.021578107	-0.04520749
1561011049428	TYPE_MAGNETIC_FIELD_UNCALIBRATED	55.32074	10.978699	14.639282
1561011049428	TYPE_GYROSCOPE_UNCALIBRATED	-0.07775879	0.024505615	-0.029830933
1561011049448	TYPE_ACCELEROMETER	-0.12638855	0.8694	9.856461
1561011049448	TYPE_MAGNETIC_FIELD	0.12054443	7.8598022	-32.460022
1561011049448	TYPE_GYROSCOPE	-0.049621582	0.051208496	-0.036895752
1561011049448	TYPE_ROTATION_VECTOR	0.04973903	0.01918781	-0.036260147
1561011049448	TYPE_MAGNETIC_FIELD_UNCALIBRATED	55.32074	10.739136	14.759827
1561011049448	TYPE_GYROSCOPE_UNCALIBRATED	-0.07775879	0.024505615	-0.029830933
1561011049468	TYPE_ACCELEROMETER	-0.1383667	0.9603882	9.73436
1561011049468	TYPE_MAGNETIC_FIELD	0.12054443	7.800293	-32.400513
1561011049468	TYPE_GYROSCOPE	-0.0741272	0.04586792	-0.017715454
1561011049468	TYPE_ROTATION_VECTOR	0.04773233	0.016556386	-0.024369752
1561011049468	TYPE_MAGNETIC_FIELD_UNCALIBRATED	55.32074	10.679626	14.819336
1561011049468	TYPE_GYROSCOPE_UNCALIBRATED	-0.078826904	0.03727722	-0.02130127
1561011049488	TYPE_ACCELEROMETER	-0.13597107	1.0346069	9.540436
1561011049488	TYPE_MAGNETIC_FIELD	0.12054443	7.9803467	-32.460022
1561011049488	TYPE_GYROSCOPE	-0.11567688	0.025634766	0.0025177002
1561011049488	TYPE_ROTATION_VECTOR	0.047455844	0.01567193	-0.020472147
1561011049488	TYPE_MAGNETIC_FIELD_UNCALIBRATED	55.32074	10.85968	14.759827
1561011049488	TYPE_GYROSCOPE_UNCALIBRATED	-0.12037659	0.017044067	-0.0010681152
1561011049507	TYPE_ACCELEROMETER	-0.08329773	1.1160126	9.119049
1561011049507	TYPE_MAGNETIC_FIELD	0.5996704	7.800293	-32.76062
1561011049507	TYPE_GYROSCOPE	-0.1529541	0.019241333	0.018493652
1561011049507	TYPE_ROTATION_VECTOR	0.047455844	0.01567193	-0.020472147
1561011049507	TYPE_MAGNETIC_FIELD_UNCALIBRATED	55.799866	10.679626	14.4592285
1561011049507	TYPE_GYROSCOPE_UNCALIBRATED	-0.12037659	0.017044067	-0.0010681152
1561011049527	TYPE_ACCELEROMETER	0.14894104	1.0992432	8.561203
1561011049527	TYPE_MAGNETIC_FIELD	0.4196167	7.8598022	-32.51953
1561011049527	TYPE_GYROSCOPE	-0.20089722	0.020309448	0.021697998
1561011049527	TYPE_ROTATION_VECTOR	0.047455035	0.014765912	-0.016175801
1561011049527	TYPE_MAGNETIC_FIELD_UNCALIBRATED	55.619812	10.739136	14.700317
1561011049527	TYPE_GYROSCOPE_UNCALIBRATED	-0.15765381	0.010650635	0.014907837
1561011049547	TYPE_ACCELEROMETER	0.4146881	1.0393982	7.924347
1561011049547	TYPE_MAGNETIC_FIELD	0.4196167	7.8598022	-32.27997
1561011049547	TYPE_GYROSCOPE	-0.25309753	0.016052246	-0.013458252
1561011049547	TYPE_ROTATION_VECTOR	0.045984216	0.010650134	-5.2888505E-4
1561011049547	TYPE_MAGNETIC_FIELD_UNCALIBRATED	55.619812	10.739136	14.93988
1561011049547	TYPE_GYROSCOPE_UNCALIBRATED	-0.25779724	0.007461548	-0.017044067
1561011049567	TYPE_ACCELEROMETER	0.75227356	1.0322113	7.134262
1561011049567	TYPE_MAGNETIC_FIELD	0.18005371	8.099365	-32.51953
1561011049567	TYPE_GYROSCOPE	-0.292511	0.02670288	-0.047546387
1561011049567	TYPE_ROTATION_VECTOR	0.044852	0.007382105	0.010686721
1561011049567	TYPE_MAGNETIC_FIELD_UNCALIBRATED	55.38025	10.978699	14.700317
1561011049567	TYPE_GYROSCOPE_UNCALIBRATED	-0.2972107	0.018112183	-0.051132202
1561011049587	TYPE_ACCELEROMETER	1.2646332	1.142334	5.9587097
1561011049587	TYPE_MAGNETIC_FIELD	0.18005371	7.9803467	-32.460022
1561011049587	TYPE_GYROSCOPE	-0.33085632	0.08102417	-0.0954895
1561011049587	TYPE_ROTATION_VECTOR	0.04429999	0.0031610704	0.025958532
1561011049587	TYPE_MAGNETIC_FIELD_UNCALIBRATED	55.38025	10.85968	14.759827
1561011049587	TYPE_GYROSCOPE_UNCALIBRATED	-0.33555603	0.07243347	-0.09907532
1561011049607	TYPE_ACCELEROMETER	1.2694244	1.3506317	4.6251373
1561011049607	TYPE_MAGNETIC_FIELD	0.0	8.520508	-32.460022
1561011049607	TYPE_GYROSCOPE	-0.45336914	0.30899048	-0.20307922
1561011049607	TYPE_ROTATION_VECTOR	0.04429999	0.0031610704	0.025958532
1561011049607	TYPE_MAGNETIC_FIELD_UNCALIBRATED	55.200195	11.399841	14.759827
1561011049607	TYPE_GYROSCOPE_UNCALIBRATED	-0.33555603	0.07243347	-0.09907532
1561011049626	TYPE_ACCELEROMETER	0.14414978	1.0250244	5.13031
1561011049626	TYPE_MAGNETIC_FIELD	0.12054443	8.700562	-32.159424
1561011049626	TYPE_GYROSCOPE	-0.93273926	0.7564087	-0.26593018
1561011049626	TYPE_ROTATION_VECTOR	0.036946077	0.008038644	0.037312128
1561011049626	TYPE_MAGNETIC_FIELD_UNCALIBRATED	55.32074	11.579895	15.060425
1561011049626	TYPE_GYROSCOPE_UNCALIBRATED	-0.93743896	0.747818	-0.269516
1561011049646	TYPE_ACCELEROMETER	-0.65312195	-0.33009338	9.066376
1561011049646	TYPE_MAGNETIC_FIELD	0.36010742	8.880615	-32.400513
1561011049646	TYPE_GYROSCOPE	-1.5367432	1.06427	-0.23184204
1561011049646	TYPE_ROTATION_VECTOR	0.01866848	0.019178052	0.031978156
1561011049646	TYPE_MAGNETIC_FIELD_UNCALIBRATED	55.560303	11.759949	14.819336
1561011049646	TYPE_GYROSCOPE_UNCALIBRATED	-1.5414429	1.0556793	-0.23542786
1561011049666	TYPE_ACCELEROMETER	-1.5988312	-1.4745178	13.893082
1561011049666	TYPE_MAGNETIC_FIELD	0.36010742	9.4192505	-31.97937
1561011049666	TYPE_GYROSCOPE	-1.6400757	0.9236603	-0.28616333
1561011049666	TYPE_ROTATION_VECTOR	0.01866848	0.019178052	0.031978156
1561011049666	TYPE_MAGNETIC_FIELD_UNCALIBRATED	55.560303	12.298584	15.2404785
1561011049666	TYPE_GYROSCOPE_UNCALIBRATED	-1.5414429	1.0556793	-0.23542786
1561011049686	TYPE_ACCELEROMETER	-2.7480469	-1.0292053	16.193909
1561011049686	TYPE_MAGNETIC_FIELD	0.7797241	9.779358	-32.099915
1561011049686	TYPE_GYROSCOPE	-1.2927856	0.34947205	-0.40014648
1561011049686	TYPE_ROTATION_VECTOR	-0.0029129223	0.030455023	0.021559367
1561011049686	TYPE_MAGNETIC_FIELD_UNCALIBRATED	55.97992	12.658691	15.119934
1561011049686	TYPE_GYROSCOPE_UNCALIBRATED	-1.6447754	0.9150696	-0.28974915
1561011049706	TYPE_ACCELEROMETER	-3.3872986	-0.8233032	17.410172
1561011049706	TYPE_MAGNETIC_FIELD	0.7797241	10.26001	-31.799316
1561011049706	TYPE_GYROSCOPE	-1.0669556	-0.21298218	-0.3735199
1561011049706	TYPE_ROTATION_VECTOR	-0.026555726	0.04273682	-0.017818667
1561011049706	TYPE_MAGNETIC_FIELD_UNCALIBRATED	55.97992	13.139343	15.420532
1561011049706	TYPE_GYROSCOPE_UNCALIBRATED	-1.0716553	-0.22157288	-0.3771057
1561011049725	TYPE_ACCELEROMETER	-3.4495544	-1.6756287	20.12999
1561011049725	TYPE_MAGNETIC_FIELD	1.1993408	11.160278	-31.559753
1561011049725	TYPE_GYROSCOPE	-0.9380646	-0.5410919	-0.21586609
1561011049725	TYPE_ROTATION_VECTOR	-0.026555726	0.04273682	-0.017818667
1561011049725	TYPE_MAGNETIC_FIELD_UNCALIBRATED	56.399536	14.039612	15.660095
1561011049725	TYPE_GYROSCOPE_UNCALIBRATED	-1.0716553	-0.22157288	-0.3771057
1561011049745	TYPE_ACCELEROMETER	-2.7336884	-2.2765808	21.628754
1561011049745	TYPE_MAGNETIC_FIELD	1.5594482	11.819458	-31.260681
1561011049745	TYPE_GYROSCOPE	-0.26693726	-0.6699829	0.0067749023
1561011049745	TYPE_ROTATION_VECTOR	-0.035766426	0.04278756	-0.033872627
1561011049745	TYPE_MAGNETIC_FIELD_UNCALIBRATED	56.759644	14.6987915	15.9591675
1561011049745	TYPE_GYROSCOPE_UNCALIBRATED	-0.9427643	-0.5496826	-0.2194519
1561011049765	TYPE_ACCELEROMETER	-2.2404785	-1.6229553	19.066956
1561011049765	TYPE_MAGNETIC_FIELD	1.8005371	12.179565	-31.019592
1561011049765	TYPE_GYROSCOPE	0.8856659	-0.5954132	0.23048401
1561011049765	TYPE_ROTATION_VECTOR	-0.03129479	0.035410676	-0.045552246
1561011049765	TYPE_MAGNETIC_FIELD_UNCALIBRATED	57.000732	15.058899	16.200256
1561011049765	TYPE_GYROSCOPE_UNCALIBRATED	0.8809662	-0.6040039	0.2268982
1561011049785	TYPE_ACCELEROMETER	-1.5294037	-0.87597656	14.790909
1561011049785	TYPE_MAGNETIC_FIELD	1.6799927	12.780762	-31.080627
