#	startTime:1561011285708
#	SiteID:5cd56b63e2acfd2d33b591c2	SiteName:缤谷广场	FloorId:5cd56b65e2acfd2d33b59432	FloorName:F6
#	Brand:LeEco	Model:Le X820	AndroidName:6.0.1	APILevel:23	
#	type:1	name:BMI160 Accelerometer	version:2061200	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:78.4532
#	type:4	name:BMI160 Gyroscope	version:2061200	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09915 Magnetometer	version:1	vendor:AKM	resolution:0.14953613	power:0.9	maximumRange:4911.9995
#	VersionName:v20190612-nightly	VersionCode:263	
1561011285709	TYPE_WAYPOINT	15.549011	56.23978
1561011285913	TYPE_ACCELEROMETER	0.04598999	1.7145538	9.375229
1561011285913	TYPE_MAGNETIC_FIELD	3.0593872	5.4000854	-34.01947
1561011285913	TYPE_GYROSCOPE	-0.1955719	0.1342926	-0.03475952
1561011285913	TYPE_ROTATION_VECTOR	0.09790943	0.0141750295	0.16748452
1561011285913	TYPE_MAGNETIC_FIELD_UNCALIBRATED	58.259583	8.279419	13.200378
1561011285913	TYPE_GYROSCOPE_UNCALIBRATED	-0.1800232	0.13528442	-0.0053253174
1561011285933	TYPE_ACCELEROMETER	-0.12878418	1.6834259	9.533249
1561011285933	TYPE_MAGNETIC_FIELD	2.8793335	5.580139	-34.01947
1561011285933	TYPE_GYROSCOPE	-0.22859192	0.12257385	-0.060333252
1561011285933	TYPE_ROTATION_VECTOR	0.09790943	0.0141750295	0.16748452
1561011285933	TYPE_MAGNETIC_FIELD_UNCALIBRATED	58.07953	8.459473	13.200378
1561011285933	TYPE_GYROSCOPE_UNCALIBRATED	-0.23329163	0.113983154	-0.06391907
1561011285953	TYPE_ACCELEROMETER	-0.15751648	1.6451263	9.906738
1561011285953	TYPE_MAGNETIC_FIELD	3.0593872	5.7006836	-34.01947
1561011285953	TYPE_GYROSCOPE	-0.26374817	0.14707947	-0.04222107
1561011285953	TYPE_ROTATION_VECTOR	0.093369655	0.016005851	0.1638616
1561011285953	TYPE_MAGNETIC_FIELD_UNCALIBRATED	58.259583	8.580017	13.200378
1561011285953	TYPE_GYROSCOPE_UNCALIBRATED	-0.23329163	0.113983154	-0.06391907
1561011285973	TYPE_ACCELEROMETER	0.02204895	1.5780792	10.160522
1561011285973	TYPE_MAGNETIC_FIELD	3.1204224	5.819702	-33.659363
1561011285973	TYPE_GYROSCOPE	-0.24777222	0.1619873	-0.026245117
1561011285973	TYPE_ROTATION_VECTOR	0.08447065	0.01794489	0.16459686
1561011285973	TYPE_MAGNETIC_FIELD_UNCALIBRATED	58.320618	8.699036	13.560486
1561011285973	TYPE_GYROSCOPE_UNCALIBRATED	-0.25247192	0.1533966	-0.029830933
1561011285993	TYPE_ACCELEROMETER	-0.07373047	1.6930084	10.136581
1561011285993	TYPE_MAGNETIC_FIELD	3.3599854	5.999756	-33.90045
1561011285993	TYPE_GYROSCOPE	-0.20196533	0.16091919	-0.043289185
1561011285993	TYPE_ROTATION_VECTOR	0.08205907	0.018963609	0.16452147
1561011285993	TYPE_MAGNETIC_FIELD_UNCALIBRATED	58.56018	8.879089	13.319397
1561011285993	TYPE_GYROSCOPE_UNCALIBRATED	-0.25247192	0.1533966	-0.029830933
1561011286012	TYPE_ACCELEROMETER	-0.04020691	1.8222961	10.079132
1561011286012	TYPE_MAGNETIC_FIELD	3.4805298	6.059265	-33.36029
1561011286012	TYPE_GYROSCOPE	-0.17745972	0.14068604	-0.048614502
1561011286012	TYPE_ROTATION_VECTOR	0.08097966	0.01969899	0.16432555
1561011286012	TYPE_MAGNETIC_FIELD_UNCALIBRATED	58.680725	8.938599	13.859558
1561011286012	TYPE_GYROSCOPE_UNCALIBRATED	-0.20666504	0.15232849	-0.046875
1561011286032	TYPE_ACCELEROMETER	0.08908081	1.8965149	10.11264
1561011286032	TYPE_MAGNETIC_FIELD	3.6605835	6.300354	-33.36029
1561011286032	TYPE_GYROSCOPE	-0.16360474	0.13642883	-0.06565857
1561011286032	TYPE_ROTATION_VECTOR	0.08046416	0.019917762	0.16547295
1561011286032	TYPE_MAGNETIC_FIELD_UNCALIBRATED	58.86078	9.1796875	13.859558
1561011286032	TYPE_GYROSCOPE_UNCALIBRATED	-0.18215942	0.13209534	-0.052200317
1561011286052	TYPE_ACCELEROMETER	0.14414978	1.9180603	10.373611
1561011286052	TYPE_MAGNETIC_FIELD	3.7200928	6.1798096	-33.180237
1561011286052	TYPE_GYROSCOPE	-0.1678772	0.189682	-0.08270264
1561011286052	TYPE_ROTATION_VECTOR	0.079678155	0.020472594	0.16722386
1561011286052	TYPE_MAGNETIC_FIELD_UNCALIBRATED	58.920288	9.059143	14.039612
1561011286052	TYPE_GYROSCOPE_UNCALIBRATED	-0.16830444	0.12783813	-0.069244385
1561011286072	TYPE_ACCELEROMETER	0.06274414	1.7408905	11.027222
1561011286072	TYPE_MAGNETIC_FIELD	4.2007446	6.300354	-33.120728
1561011286072	TYPE_GYROSCOPE	-0.14762878	0.25360107	-0.090164185
1561011286072	TYPE_ROTATION_VECTOR	0.079678155	0.020472594	0.16722386
1561011286072	TYPE_MAGNETIC_FIELD_UNCALIBRATED	59.40094	9.1796875	14.099121
1561011286072	TYPE_GYROSCOPE_UNCALIBRATED	-0.15232849	0.24501038	-0.09375
1561011286092	TYPE_ACCELEROMETER	-0.41130066	1.731308	11.419876
1561011286092	TYPE_MAGNETIC_FIELD	4.6203613	6.3598633	-33.059692
1561011286092	TYPE_GYROSCOPE	-0.032577515	0.20246887	-0.11679077
1561011286092	TYPE_ROTATION_VECTOR	0.077719286	0.021833627	0.16939017
1561011286092	TYPE_MAGNETIC_FIELD_UNCALIBRATED	59.820557	9.239197	14.160156
1561011286092	TYPE_GYROSCOPE_UNCALIBRATED	-0.15232849	0.24501038	-0.09375
1561011286112	TYPE_ACCELEROMETER	-0.74409485	2.0928345	11.415085
