#	startTime:1560930385391
#	SiteID:5cd56b64e2acfd2d33b59246	SiteName:百盛优客城市广场	FloorId:5cd56b65e2acfd2d33b59532	FloorName:B1
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2061700	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:78.4532
#	type:4	name:BMI160 Gyroscope	version:2061700	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560930385391	TYPE_WAYPOINT	36.68159	59.757893
1560930385565	TYPE_ACCELEROMETER	0.6751709	0.88345337	10.675751
1560930385565	TYPE_MAGNETIC_FIELD	4.44	14.759999	-16.08
1560930385565	TYPE_GYROSCOPE	-0.023864746	0.099349976	0.02897644
1560930385565	TYPE_ROTATION_VECTOR	0.05198907	-0.02157906	0.15305407
1560930385565	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-35.88	41.879997	-197.64
1560930385565	TYPE_GYROSCOPE_UNCALIBRATED	-0.069244385	0.12623596	0.047943115
1560930385565	TYPE_ACCELEROMETER_UNCALIBRATED	0.6392517	1.0606384	10.611099
1560930385585	TYPE_ACCELEROMETER	0.5171509	0.6177063	10.941498
1560930385585	TYPE_MAGNETIC_FIELD	4.44	14.759999	-16.08
1560930385585	TYPE_GYROSCOPE	-0.024398804	0.059402466	7.4768066E-4
1560930385585	TYPE_ROTATION_VECTOR	0.045134723	-0.02542161	0.12707053
1560930385585	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-35.88	41.879997	-197.64
1560930385585	TYPE_GYROSCOPE_UNCALIBRATED	-0.024505615	0.09854126	0.029830933
1560930385585	TYPE_ACCELEROMETER_UNCALIBRATED	0.6751709	0.88345337	10.675751
1560930385606	TYPE_ACCELEROMETER	0.60572815	0.36631775	11.073181
1560930385606	TYPE_MAGNETIC_FIELD	4.08	15.059999	-16.08
1560930385606	TYPE_GYROSCOPE	-9.613037E-4	0.023712158	-0.0035247803
1560930385606	TYPE_ROTATION_VECTOR	0.029192483	-0.019111447	0.12678549
1560930385606	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-36.239998	42.18	-197.64
1560930385606	TYPE_GYROSCOPE_UNCALIBRATED	-0.025039673	0.05859375	0.0016021729
1560930385606	TYPE_ACCELEROMETER_UNCALIBRATED	0.60572815	0.36631775	11.073181
1560930385626	TYPE_ACCELEROMETER	0.8738861	0.0071868896	10.548859
1560930385626	TYPE_MAGNETIC_FIELD	4.08	15.24	-16.08
1560930385626	TYPE_GYROSCOPE	0.062438965	0.06951904	0.006072998
1560930385626	TYPE_ROTATION_VECTOR	0.020160252	-0.023831619	0.16879918
1560930385626	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-36.239998	42.36	-197.64
1560930385626	TYPE_GYROSCOPE_UNCALIBRATED	-0.0016021729	0.022903442	-0.002670288
1560930385626	TYPE_ACCELEROMETER_UNCALIBRATED	0.60572815	0.36631775	11.073181
1560930385646	TYPE_ACCELEROMETER	0.4189911	-0.3040619	10.278305
1560930385646	TYPE_MAGNETIC_FIELD	4.08	15.48	-15.839999
1560930385646	TYPE_GYROSCOPE	0.041122437	0.20054626	-0.005126953
1560930385646	TYPE_ROTATION_VECTOR	0.009019774	-0.03982288	0.19071622
1560930385646	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-36.239998	42.6	-197.4
1560930385646	TYPE_GYROSCOPE_UNCALIBRATED	0.061798096	0.06871033	0.0069274902
1560930385646	TYPE_ACCELEROMETER_UNCALIBRATED	0.4189911	-0.3040619	10.278305
1560930385667	TYPE_ACCELEROMETER	-0.09576416	-0.533905	10.924744
1560930385667	TYPE_MAGNETIC_FIELD	3.78	15.599999	-15.66
