#	startTime:1560929200797
#	SiteID:5cd56b64e2acfd2d33b59246	SiteName:百盛优客城市广场	FloorId:5cd56b64e2acfd2d33b592b2	FloorName:F1
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2061700	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:78.4532
#	type:4	name:BMI160 Gyroscope	version:2061700	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560929200799	TYPE_WAYPOINT	170.96553	59.842007
1560929200982	TYPE_ACCELEROMETER	-0.65600586	0.03831482	10.024521
1560929200982	TYPE_MAGNETIC_FIELD	8.46	25.32	-35.82
1560929200982	TYPE_GYROSCOPE	-0.033981323	0.06312561	-0.077560425
1560929200982	TYPE_ROTATION_VECTOR	9.438993E-6	0.01953137	0.11955075
1560929200982	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-23.099998	46.199997	-210.29999
1560929200982	TYPE_GYROSCOPE_UNCALIBRATED	-0.029830933	0.106536865	-0.059127808
1560929200982	TYPE_ACCELEROMETER_UNCALIBRATED	-0.65600586	0.03831482	10.024521
1560929201002	TYPE_ACCELEROMETER	-0.5195465	-0.1149292	10.170563
1560929201002	TYPE_MAGNETIC_FIELD	8.46	25.199999	-35.76
1560929201002	TYPE_GYROSCOPE	-0.07978821	-0.03274536	-0.065841675
1560929201002	TYPE_ROTATION_VECTOR	9.44048E-9	0.032373477	0.12360353
1560929201002	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-23.099998	46.079998	-210.23999
1560929201002	TYPE_GYROSCOPE_UNCALIBRATED	-0.034622192	0.062316895	-0.07670593
1560929201002	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5195465	-0.1149292	10.170563
1560929201023	TYPE_ACCELEROMETER	-0.38546753	-0.28970337	10.421967
1560929201023	TYPE_MAGNETIC_FIELD	8.5199995	25.199999	-35.64
1560929201023	TYPE_GYROSCOPE	-0.092041016	-0.0705719	-0.05731201
1560929201023	TYPE_ROTATION_VECTOR	-0.0116410935	0.024392376	0.14546946
1560929201023	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-23.04	46.079998	-210.12
1560929201023	TYPE_GYROSCOPE_UNCALIBRATED	-0.08042908	-0.033554077	-0.06498718
1560929201023	TYPE_ACCELEROMETER_UNCALIBRATED	-0.38546753	-0.28970337	10.421967
1560929201043	TYPE_ACCELEROMETER	-0.3136444	-0.24420166	10.388443
1560929201043	TYPE_MAGNETIC_FIELD	8.58	25.32	-35.7
1560929201043	TYPE_GYROSCOPE	-0.031326294	-0.04499817	-0.04347229
1560929201043	TYPE_ROTATION_VECTOR	-0.015621728	0.01563448	0.1550658
1560929201043	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-22.98	46.199997	-210.18
1560929201043	TYPE_GYROSCOPE_UNCALIBRATED	-0.092681885	-0.071380615	-0.05645752
1560929201043	TYPE_ACCELEROMETER_UNCALIBRATED	-0.3136444	-0.24420166	10.388443
1560929201063	TYPE_ACCELEROMETER	-0.18435669	-0.14604187	10.141846
1560929201063	TYPE_MAGNETIC_FIELD	8.58	25.32	-35.94
1560929201063	TYPE_GYROSCOPE	0.036865234	0.021057129	-0.037612915
1560929201063	TYPE_ROTATION_VECTOR	-0.007833726	0.01330942	0.15778895
1560929201063	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-22.98	46.199997	-210.42
1560929201063	TYPE_GYROSCOPE_UNCALIBRATED	-0.031967163	-0.045806885	-0.042617798
1560929201063	TYPE_ACCELEROMETER_UNCALIBRATED	-0.18435669	-0.14604187	10.141846
1560929201084	TYPE_ACCELEROMETER	-0.48602295	-0.11013794	10.031708
1560929201084	TYPE_MAGNETIC_FIELD	8.5199995	25.199999	-35.76
1560929201084	TYPE_GYROSCOPE	0.04272461	0.038635254	-0.08607483
1560929201084	TYPE_ROTATION_VECTOR	-0.0074986555	0.013568246	0.15741052
1560929201084	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-23.04	46.079998	-210.23999
1560929201084	TYPE_GYROSCOPE_UNCALIBRATED	0.036224365	0.020248413	-0.036758423
1560929201084	TYPE_ACCELEROMETER_UNCALIBRATED	-0.18435669	-0.14604187	10.141846
1560929201104	TYPE_ACCELEROMETER	-0.533905	-0.19871521	9.945511
1560929201104	TYPE_MAGNETIC_FIELD	8.34	25.32	-35.64
1560929201104	TYPE_GYROSCOPE	0.048049927	-0.009841919	-0.115371704
1560929201104	TYPE_ROTATION_VECTOR	-0.0073147244	0.01383956	0.15703522
1560929201104	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-23.22	46.199997	-210.12
1560929201104	TYPE_GYROSCOPE_UNCALIBRATED	0.04208374	0.037826538	-0.08522034
1560929201104	TYPE_ACCELEROMETER_UNCALIBRATED	-0.533905	-0.19871521	9.945511
1560929201124	TYPE_ACCELEROMETER	-0.39982605	-0.09815979	9.662994
1560929201124	TYPE_MAGNETIC_FIELD	8.58	25.08	-35.399998
1560929201124	TYPE_GYROSCOPE	0.08267212	-0.048202515	-0.1308136
1560929201124	TYPE_ROTATION_VECTOR	-0.0069552395	0.014053895	0.15599193
1560929201124	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-22.98	45.96	-209.87999
1560929201124	TYPE_GYROSCOPE_UNCALIBRATED	0.047409058	-0.010650635	-0.11451721
1560929201124	TYPE_ACCELEROMETER_UNCALIBRATED	-0.533905	-0.19871521	9.945511
1560929201144	TYPE_ACCELEROMETER	-0.07182312	0.0861969	9.452301
1560929201144	TYPE_MAGNETIC_FIELD	8.639999	25.14	-35.1
1560929201144	TYPE_GYROSCOPE	0.08479309	-0.040740967	-0.11376953
1560929201144	TYPE_ROTATION_VECTOR	-0.0062614037	0.013823771	0.15473595
1560929201144	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-22.92	46.019997	-209.57999
1560929201144	TYPE_GYROSCOPE_UNCALIBRATED	0.08203125	-0.04901123	-0.1299591
1560929201144	TYPE_ACCELEROMETER_UNCALIBRATED	-0.07182312	0.0861969	9.452301
1560929201165	TYPE_ACCELEROMETER	0.0861969	0.03591919	9.512161
1560929201165	TYPE_MAGNETIC_FIELD	8.639999	25.14	-35.04
1560929201165	TYPE_GYROSCOPE	0.027801514	-0.034347534	-0.1265564
1560929201165	TYPE_ROTATION_VECTOR	-0.0053094923	0.013464633	0.15347481
1560929201165	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-22.92	46.019997	-209.51999
1560929201165	TYPE_GYROSCOPE_UNCALIBRATED	0.08415222	-0.041549683	-0.11291504
1560929201165	TYPE_ACCELEROMETER_UNCALIBRATED	-0.07182312	0.0861969	9.452301
1560929201185	TYPE_ACCELEROMETER	0.18914795	-0.22744751	9.852142
1560929201185	TYPE_MAGNETIC_FIELD	8.22	25.14	-35.16
1560929201185	TYPE_GYROSCOPE	-0.05848694	-0.07801819	-0.18515015
1560929201185	TYPE_ROTATION_VECTOR	-0.004626702	0.013230619	0.15235028
1560929201185	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-23.34	46.019997	-209.64
1560929201185	TYPE_GYROSCOPE_UNCALIBRATED	0.027160645	-0.03515625	-0.1257019
1560929201185	TYPE_ACCELEROMETER_UNCALIBRATED	0.18914795	-0.22744751	9.852142
1560929201205	TYPE_ACCELEROMETER	0.08859253	-0.375885	10.311829
1560929201205	TYPE_MAGNETIC_FIELD	7.74	25.14	-34.8
1560929201205	TYPE_GYROSCOPE	-0.10215759	-0.088150024	-0.25758362
1560929201205	TYPE_ROTATION_VECTOR	-0.0047413353	0.012694154	0.1508132
1560929201205	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-23.82	46.019997	-209.28
1560929201205	TYPE_GYROSCOPE_UNCALIBRATED	-0.059127808	-0.078826904	-0.18429565
1560929201205	TYPE_ACCELEROMETER_UNCALIBRATED	0.08859253	-0.375885	10.311829
1560929201226	TYPE_ACCELEROMETER	0.11730957	-0.36631775	10.548859
1560929201226	TYPE_MAGNETIC_FIELD	7.68	25.14	-34.559998
1560929201226	TYPE_GYROSCOPE	-0.059020996	-0.05618286	-0.29327393
1560929201226	TYPE_ROTATION_VECTOR	-0.0055032624	0.011602822	0.1486389
1560929201226	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-23.88	46.019997	-209.04
