#	startTime:1560929236908
#	SiteID:5cd56b64e2acfd2d33b59246	SiteName:百盛优客城市广场	FloorId:5cd56b64e2acfd2d33b592b2	FloorName:F1
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2061700	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:78.4532
#	type:4	name:BMI160 Gyroscope	version:2061700	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560929236908	TYPE_WAYPOINT	168.04106	59.59274
1560929237083	TYPE_ACCELEROMETER	-0.29927063	0.6368561	9.82341
1560929237083	TYPE_MAGNETIC_FIELD	9.54	21.72	-38.94
1560929237083	TYPE_GYROSCOPE	-0.11174011	0.11213684	0.08862305
1560929237083	TYPE_ROTATION_VECTOR	0.03741554	0.02343583	0.12124895
1560929237083	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-22.02	42.6	-213.42
1560929237083	TYPE_GYROSCOPE_UNCALIBRATED	-0.0900116	0.094818115	0.06338501
1560929237083	TYPE_ACCELEROMETER_UNCALIBRATED	-0.29927063	0.6368561	9.82341
1560929237103	TYPE_ACCELEROMETER	-0.27053833	0.49320984	10.012558
1560929237103	TYPE_MAGNETIC_FIELD	9.36	21.72	-38.64
1560929237103	TYPE_GYROSCOPE	-0.0675354	0.12918091	0.07211304
1560929237103	TYPE_ROTATION_VECTOR	0.029309224	0.019077582	0.15166144
1560929237103	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-22.2	42.6	-213.12
1560929237103	TYPE_GYROSCOPE_UNCALIBRATED	-0.11238098	0.111328125	0.08947754
1560929237103	TYPE_ACCELEROMETER_UNCALIBRATED	-0.27053833	0.49320984	10.012558
1560929237124	TYPE_ACCELEROMETER	-0.41419983	0.42138672	9.964661
1560929237124	TYPE_MAGNETIC_FIELD	9.12	21.779999	-38.64
1560929237124	TYPE_GYROSCOPE	-0.059555054	0.068984985	0.048675537
