#	startTime:1560929369727
#	SiteID:5cd56b64e2acfd2d33b59246	SiteName:百盛优客城市广场	FloorId:5cd56b64e2acfd2d33b592b2	FloorName:F1
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2061700	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:78.4532
#	type:4	name:BMI160 Gyroscope	version:2061700	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560929369727	TYPE_WAYPOINT	131.69208	78.59613
1560929369895	TYPE_ACCELEROMETER	0.1197052	0.14364624	11.221619
1560929369895	TYPE_MAGNETIC_FIELD	-32.52	3.72	-25.26
1560929369895	TYPE_GYROSCOPE	-0.25343323	0.18243408	0.06732178
1560929369895	TYPE_ROTATION_VECTOR	0.03445534	-0.02276416	-0.64025223
1560929369895	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-64.08	24.599998	-199.73999
1560929369895	TYPE_GYROSCOPE_UNCALIBRATED	-0.19548035	-0.01651001	-0.055404663
1560929369895	TYPE_ACCELEROMETER_UNCALIBRATED	-0.09576416	0.8595123	10.268738
1560929369915	TYPE_ACCELEROMETER	0.2753296	-0.60095215	11.669342
1560929369915	TYPE_MAGNETIC_FIELD	-32.16	4.08	-25.019999
1560929369915	TYPE_GYROSCOPE	-0.15435791	0.35661316	0.08703613
1560929369915	TYPE_ROTATION_VECTOR	3.447038E-8	-0.006714038	-0.63848585
1560929369915	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-63.72	24.96	-199.5
1560929369915	TYPE_GYROSCOPE_UNCALIBRATED	-0.2540741	0.18162537	0.06817627
1560929369915	TYPE_ACCELEROMETER_UNCALIBRATED	0.1197052	0.14364624	11.221619
1560929369936	TYPE_ACCELEROMETER	-0.3327942	-0.9361267	11.343735
1560929369936	TYPE_MAGNETIC_FIELD	-31.92	3.8999999	-24.9
