#	startTime:1560929482991
#	SiteID:5cd56b64e2acfd2d33b59246	SiteName:百盛优客城市广场	FloorId:5cd56b64e2acfd2d33b592b2	FloorName:F1
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2061700	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:78.4532
#	type:4	name:BMI160 Gyroscope	version:2061700	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560929482991	TYPE_WAYPOINT	134.91368	35.361317
1560929483167	TYPE_ACCELEROMETER	-0.72065735	-0.04548645	10.07959
1560929483167	TYPE_MAGNETIC_FIELD	-4.2	-28.74	-15.059999
1560929483167	TYPE_GYROSCOPE	-0.13198853	-0.27723694	-0.19740295
1560929483167	TYPE_ROTATION_VECTOR	0.031672694	7.805216E-6	-0.99576116
1560929483167	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-44.52	-1.6200008	-196.62
1560929483167	TYPE_GYROSCOPE_UNCALIBRATED	-0.13049316	-0.21678162	-0.18855286
1560929483167	TYPE_ACCELEROMETER_UNCALIBRATED	-0.72065735	-0.04548645	10.07959
1560929483187	TYPE_ACCELEROMETER	-0.76135254	0.0071868896	10.3237915
1560929483187	TYPE_MAGNETIC_FIELD	-4.2599998	-28.859999	-14.94
1560929483187	TYPE_GYROSCOPE	-0.11759949	-0.20478821	-0.14201355
1560929483187	TYPE_ROTATION_VECTOR	0.03490974	7.805316E-9	-0.99497133
1560929483187	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-44.579998	-1.7399998	-196.5
1560929483187	TYPE_GYROSCOPE_UNCALIBRATED	-0.11824036	-0.20559692	-0.14115906
1560929483187	TYPE_ACCELEROMETER_UNCALIBRATED	-0.76135254	0.0071868896	10.3237915
1560929483208	TYPE_ACCELEROMETER	-0.4692688	-0.10295105	10.108322
1560929483208	TYPE_MAGNETIC_FIELD	-4.56	-29.099998	-15.179999
1560929483208	TYPE_GYROSCOPE	-0.029724121	-0.08068848	-0.07489014
1560929483208	TYPE_ROTATION_VECTOR	0.03576813	7.806438E-12	-0.99191195
1560929483208	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-44.88	-1.9799995	-196.73999
1560929483208	TYPE_GYROSCOPE_UNCALIBRATED	-0.11824036	-0.20559692	-0.14115906
1560929483208	TYPE_ACCELEROMETER_UNCALIBRATED	-0.76135254	0.0071868896	10.3237915
1560929483228	TYPE_ACCELEROMETER	-0.45729065	-0.12210083	9.890442
1560929483228	TYPE_MAGNETIC_FIELD	-4.8599997	-29.16	-15.12
1560929483228	TYPE_GYROSCOPE	0.03100586	-0.0077209473	-0.06956482
1560929483228	TYPE_ROTATION_VECTOR	0.02238332	7.806725E-15	-0.992534
1560929483228	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-45.18	-2.040001	-196.68
1560929483228	TYPE_GYROSCOPE_UNCALIBRATED	0.03036499	-0.008529663	-0.06871033
1560929483228	TYPE_ACCELEROMETER_UNCALIBRATED	-0.45729065	-0.12210083	9.890442
1560929483248	TYPE_ACCELEROMETER	-0.36871338	-0.05027771	9.658203
1560929483248	TYPE_MAGNETIC_FIELD	-4.92	-29.22	-15.12
1560929483248	TYPE_GYROSCOPE	0.041656494	-0.0471344	-0.085006714
1560929483248	TYPE_ROTATION_VECTOR	0.021693375	0.0037053858	-0.99258214
1560929483248	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-45.239998	-2.1000004	-196.68
1560929483248	TYPE_GYROSCOPE_UNCALIBRATED	0.03036499	-0.008529663	-0.06871033
1560929483248	TYPE_ACCELEROMETER_UNCALIBRATED	-0.36871338	-0.05027771	9.658203
1560929483269	TYPE_ACCELEROMETER	-0.42855835	-0.04548645	9.686935
1560929483269	TYPE_MAGNETIC_FIELD	-5.16	-29.4	-15.12
1560929483269	TYPE_GYROSCOPE	-0.002029419	-0.07270813	-0.11218262
1560929483269	TYPE_ROTATION_VECTOR	0.021514943	0.0034589458	-0.99263585
1560929483269	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-45.48	-2.2800007	-196.68
1560929483269	TYPE_GYROSCOPE_UNCALIBRATED	0.041015625	-0.047943115	-0.08415222
1560929483269	TYPE_ACCELEROMETER_UNCALIBRATED	-0.42855835	-0.04548645	9.686935
1560929483289	TYPE_ACCELEROMETER	-0.5195465	-0.02633667	9.821014
1560929483289	TYPE_MAGNETIC_FIELD	-5.22	-29.4	-15.12
1560929483289	TYPE_GYROSCOPE	-0.054748535	-0.13607788	-0.12123108
1560929483289	TYPE_ROTATION_VECTOR	0.02097642	0.0031752472	-0.9927667
1560929483289	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-45.54	-2.2800007	-196.68
1560929483289	TYPE_GYROSCOPE_UNCALIBRATED	-0.002670288	-0.073516846	-0.111328125
1560929483289	TYPE_ACCELEROMETER_UNCALIBRATED	-0.42855835	-0.04548645	9.686935
1560929483309	TYPE_ACCELEROMETER	-0.4524994	-0.10534668	10.055649
1560929483309	TYPE_MAGNETIC_FIELD	-5.46	-29.519999	-15.36
1560929483309	TYPE_GYROSCOPE	-0.07659912	-0.13075256	-0.08607483
1560929483309	TYPE_ROTATION_VECTOR	0.019884769	0.0033383216	-0.99292946
1560929483309	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-45.78	-2.3999996	-196.92
1560929483309	TYPE_GYROSCOPE_UNCALIBRATED	-0.055389404	-0.1368866	-0.12037659
1560929483309	TYPE_ACCELEROMETER_UNCALIBRATED	-0.4524994	-0.10534668	10.055649
1560929483330	TYPE_ACCELEROMETER	-0.27293396	0.0095825195	9.677368
1560929483330	TYPE_MAGNETIC_FIELD	-5.7	-29.699999	-15.36
1560929483330	TYPE_GYROSCOPE	-0.019073486	-0.10305786	-0.051452637
1560929483330	TYPE_ROTATION_VECTOR	0.018376328	0.0039915596	-0.99308443
1560929483330	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-46.02	-2.58	-196.92
1560929483330	TYPE_GYROSCOPE_UNCALIBRATED	-0.07723999	-0.13156128	-0.08522034
1560929483330	TYPE_ACCELEROMETER_UNCALIBRATED	-0.27293396	0.0095825195	9.677368
1560929483350	TYPE_ACCELEROMETER	-0.33758545	-0.0071868896	9.519348
1560929483350	TYPE_MAGNETIC_FIELD	-5.8799996	-29.46	-15.24
1560929483350	TYPE_GYROSCOPE	-0.03237915	-0.062042236	-0.061050415
1560929483350	TYPE_ROTATION_VECTOR	0.017089635	0.0043263105	-0.9931761
1560929483350	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-46.2	-2.3400002	-196.8
1560929483350	TYPE_GYROSCOPE_UNCALIBRATED	-0.019714355	-0.10386658	-0.050598145
1560929483350	TYPE_ACCELEROMETER_UNCALIBRATED	-0.33758545	-0.0071868896	9.519348
1560929483370	TYPE_ACCELEROMETER	-0.18914795	-0.11253357	9.598358
1560929483370	TYPE_MAGNETIC_FIELD	-5.8199997	-29.34	-15.179999
1560929483370	TYPE_GYROSCOPE	-0.08351135	-0.07589722	-0.068496704
1560929483370	TYPE_ROTATION_VECTOR	0.01630391	0.0044022277	-0.9932531
1560929483370	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-46.14	-2.2200012	-196.73999
1560929483370	TYPE_GYROSCOPE_UNCALIBRATED	-0.08415222	-0.07670593	-0.06764221
1560929483370	TYPE_ACCELEROMETER_UNCALIBRATED	-0.18914795	-0.11253357	9.598358
1560929483390	TYPE_ACCELEROMETER	-0.12449646	-0.21308899	9.761154
1560929483390	TYPE_MAGNETIC_FIELD	-5.52	-29.22	-15.42
1560929483390	TYPE_GYROSCOPE	-0.13198853	-0.10145569	-0.09033203
1560929483390	TYPE_ROTATION_VECTOR	0.015564863	0.004908692	-0.9933348
1560929483390	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-45.84	-2.1000004	-196.98
1560929483390	TYPE_GYROSCOPE_UNCALIBRATED	-0.08415222	-0.07670593	-0.06764221
1560929483390	TYPE_ACCELEROMETER_UNCALIBRATED	-0.12449646	-0.21308899	9.761154
1560929483411	TYPE_ACCELEROMETER	-0.02154541	-0.38067627	10.201691
1560929483411	TYPE_MAGNETIC_FIELD	-5.7	-29.22	-15.36
1560929483411	TYPE_GYROSCOPE	-0.15756226	-0.10040283	-0.08821106
1560929483411	TYPE_ROTATION_VECTOR	0.014601744	0.0059057926	-0.99343103
1560929483411	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-46.02	-2.1000004	-196.92
1560929483411	TYPE_GYROSCOPE_UNCALIBRATED	-0.15820312	-0.10121155	-0.08735657
1560929483411	TYPE_ACCELEROMETER_UNCALIBRATED	-0.02154541	-0.38067627	10.201691
1560929483431	TYPE_ACCELEROMETER	0.13647461	-0.42855835	10.213669
1560929483431	TYPE_MAGNETIC_FIELD	-5.7599998	-29.16	-15.24
1560929483431	TYPE_GYROSCOPE	-0.09257507	-0.034347534	-0.06265259
1560929483431	TYPE_ROTATION_VECTOR	0.013241586	0.007315111	-0.9935479
1560929483431	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-46.079998	-2.040001	-196.8
1560929483431	TYPE_GYROSCOPE_UNCALIBRATED	-0.15820312	-0.10121155	-0.08735657
1560929483431	TYPE_ACCELEROMETER_UNCALIBRATED	0.13647461	-0.42855835	10.213669
1560929483451	TYPE_ACCELEROMETER	0.09815979	-0.33758545	9.852142
1560929483451	TYPE_MAGNETIC_FIELD	-5.8799996	-29.22	-15.36
1560929483451	TYPE_GYROSCOPE	-0.028656006	0.028518677	-0.0642395
1560929483451	TYPE_ROTATION_VECTOR	0.012422031	0.008616752	-0.99362814
1560929483451	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-46.2	-2.1000004	-196.92
1560929483451	TYPE_GYROSCOPE_UNCALIBRATED	-0.029296875	0.027709961	-0.06338501
1560929483451	TYPE_ACCELEROMETER_UNCALIBRATED	0.09815979	-0.33758545	9.852142
1560929483472	TYPE_ACCELEROMETER	0.07182312	-0.35673523	9.789886
1560929483472	TYPE_MAGNETIC_FIELD	-5.7599998	-28.92	-15.059999
1560929483472	TYPE_GYROSCOPE	-0.03237915	0.075912476	-0.06211853
1560929483472	TYPE_ROTATION_VECTOR	0.012324771	0.009147364	-0.99369186
1560929483472	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-46.079998	-1.8000011	-196.62
1560929483472	TYPE_GYROSCOPE_UNCALIBRATED	-0.029296875	0.027709961	-0.06338501
1560929483472	TYPE_ACCELEROMETER_UNCALIBRATED	0.07182312	-0.35673523	9.789886
1560929483492	TYPE_ACCELEROMETER	0.18435669	-0.34477234	9.787491
1560929483492	TYPE_MAGNETIC_FIELD	-5.7	-28.74	-14.94
1560929483492	TYPE_GYROSCOPE	-0.038772583	0.06472778	-0.07116699
1560929483492	TYPE_ROTATION_VECTOR	0.012858472	0.0094709415	-0.9937561
1560929483492	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-46.02	-1.6200008	-196.5
1560929483492	TYPE_GYROSCOPE_UNCALIBRATED	-0.03302002	0.07510376	-0.061264038
1560929483492	TYPE_ACCELEROMETER_UNCALIBRATED	0.18435669	-0.34477234	9.787491
1560929483512	TYPE_ACCELEROMETER	0.20350647	-0.27293396	9.677368
1560929483512	TYPE_MAGNETIC_FIELD	-5.46	-28.92	-15.059999
1560929483512	TYPE_GYROSCOPE	-0.023330688	0.0013427734	-0.11164856
1560929483512	TYPE_ROTATION_VECTOR	0.013596712	0.0099496795	-0.9938104
1560929483512	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-45.78	-1.8000011	-196.62
1560929483512	TYPE_GYROSCOPE_UNCALIBRATED	-0.023971558	5.340576E-4	-0.11079407
1560929483512	TYPE_ACCELEROMETER_UNCALIBRATED	0.20350647	-0.27293396	9.677368
1560929483532	TYPE_ACCELEROMETER	0.19392395	-0.21308899	9.694122
1560929483532	TYPE_MAGNETIC_FIELD	-5.46	-29.099998	-14.88
1560929483532	TYPE_GYROSCOPE	0.010757446	-0.016235352	-0.14360046
1560929483532	TYPE_ROTATION_VECTOR	0.013906673	0.0103491405	-0.9939
1560929483532	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-45.78	-1.9799995	-196.44
