#	startTime:1560929715089
#	SiteID:5cd56b64e2acfd2d33b59246	SiteName:百盛优客城市广场	FloorId:5cd56b64e2acfd2d33b592b2	FloorName:F1
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2061700	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:78.4532
#	type:4	name:BMI160 Gyroscope	version:2061700	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560929715089	TYPE_WAYPOINT	155.1288	66.12237
1560929715271	TYPE_ACCELEROMETER	-0.9337311	0.58418274	9.31105
1560929715271	TYPE_MAGNETIC_FIELD	32.7	-24.539999	-31.26
1560929715271	TYPE_GYROSCOPE	-0.10215759	0.10467529	0.039093018
1560929715271	TYPE_ROTATION_VECTOR	-0.0067074066	0.04362957	0.8868309
1560929715271	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-7.619999	2.58	-212.81999
1560929715271	TYPE_GYROSCOPE_UNCALIBRATED	-0.009597778	0.035690308	0.029830933
1560929715271	TYPE_ACCELEROMETER_UNCALIBRATED	-0.9337311	0.58418274	9.31105
1560929715291	TYPE_ACCELEROMETER	-1.122879	0.52911377	9.591171
1560929715291	TYPE_MAGNETIC_FIELD	32.64	-24.539999	-31.56
1560929715291	TYPE_GYROSCOPE	-0.14424133	0.11480713	0.081710815
1560929715291	TYPE_ROTATION_VECTOR	-0.031196898	0.049392443	0.89845383
1560929715291	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-7.6800003	2.58	-213.12
1560929715291	TYPE_GYROSCOPE_UNCALIBRATED	-0.10279846	0.10386658	0.03994751
1560929715291	TYPE_ACCELEROMETER_UNCALIBRATED	-1.122879	0.52911377	9.591171
1560929715312	TYPE_ACCELEROMETER	-1.1061249	0.51475525	9.639053
1560929715312	TYPE_MAGNETIC_FIELD	32.82	-24.539999	-31.92
1560929715312	TYPE_GYROSCOPE	-0.14743042	0.06791687	0.10620117
1560929715312	TYPE_ROTATION_VECTOR	-0.040232208	0.0502335	0.8961844
