#	startTime:1560929765398
#	SiteID:5cd56b64e2acfd2d33b59246	SiteName:百盛优客城市广场	FloorId:5cd56b64e2acfd2d33b592b2	FloorName:F1
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2061700	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:78.4532
#	type:4	name:BMI160 Gyroscope	version:2061700	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560929765399	TYPE_WAYPOINT	157.14552	37.014423
1560929765566	TYPE_ACCELEROMETER	-0.56503296	0.43574524	10.508148
1560929765566	TYPE_MAGNETIC_FIELD	2.58	-34.26	-26.039999
1560929765566	TYPE_GYROSCOPE	-0.22413635	-0.2713623	-0.0642395
1560929765566	TYPE_ROTATION_VECTOR	-0.030383885	0.02316906	0.9992692
1560929765566	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-37.739998	-7.1399994	-207.59999
1560929765566	TYPE_GYROSCOPE_UNCALIBRATED	-0.25193787	-0.26791382	-0.10386658
1560929765566	TYPE_ACCELEROMETER_UNCALIBRATED	-0.56503296	0.43574524	10.508148
1560929765586	TYPE_ACCELEROMETER	-0.5410919	0.4237671	10.486603
1560929765586	TYPE_MAGNETIC_FIELD	2.7	-34.02	-26.039999
1560929765586	TYPE_GYROSCOPE	-0.16181946	-0.29214478	-0.06263733
1560929765586	TYPE_ROTATION_VECTOR	-0.025946094	0.017372627	0.9989938
1560929765586	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-37.62	-6.9000015	-207.59999
1560929765586	TYPE_GYROSCOPE_UNCALIBRATED	-0.22477722	-0.27217102	-0.06338501
1560929765586	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5410919	0.4237671	10.486603
1560929765607	TYPE_ACCELEROMETER	-0.5386963	0.40940857	10.591949
1560929765607	TYPE_MAGNETIC_FIELD	2.58	-33.899998	-25.98
1560929765607	TYPE_GYROSCOPE	-0.10055542	-0.3336792	-0.07809448
1560929765607	TYPE_ROTATION_VECTOR	-0.025485173	0.018004887	0.9995064
