#	startTime:1560929800098
#	SiteID:5cd56b64e2acfd2d33b59246	SiteName:百盛优客城市广场	FloorId:5cd56b64e2acfd2d33b592b2	FloorName:F1
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2061700	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:78.4532
#	type:4	name:BMI160 Gyroscope	version:2061700	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560929800099	TYPE_WAYPOINT	146.098	27.79991
1560929800242	TYPE_ACCELEROMETER	-0.5027771	-0.06942749	9.773132
1560929800242	TYPE_MAGNETIC_FIELD	-25.08	-11.5199995	-24.84
1560929800242	TYPE_GYROSCOPE	-0.019073486	0.062072754	-0.09567261
1560929800242	TYPE_ROTATION_VECTOR	-0.009614383	0.018204749	-0.7922479
1560929800242	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-65.4	15.599999	-206.4
1560929800242	TYPE_GYROSCOPE_UNCALIBRATED	-0.02557373	0.07243347	-0.13209534
1560929800242	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5027771	-0.06942749	9.773132
1560929800262	TYPE_ACCELEROMETER	-0.5602417	0.0047912598	9.715668
1560929800262	TYPE_MAGNETIC_FIELD	-25.199999	-11.82	-24.96
1560929800262	TYPE_GYROSCOPE	-0.052093506	-0.029022217	-0.07435608
1560929800262	TYPE_ROTATION_VECTOR	0.023671828	0.013048962	-0.8422796
1560929800262	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-65.58	15.36	-206.51999
1560929800262	TYPE_GYROSCOPE_UNCALIBRATED	-0.019714355	0.061264038	-0.094818115
1560929800262	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5602417	0.0047912598	9.715668
1560929800282	TYPE_ACCELEROMETER	-0.3471527	0.05267334	9.552872
1560929800282	TYPE_MAGNETIC_FIELD	-25.26	-12.599999	-25.019999
1560929800282	TYPE_GYROSCOPE	-0.12080383	-0.07801819	-0.053588867
1560929800282	TYPE_ROTATION_VECTOR	0.015668431	1.3053001E-7	-0.85753334
1560929800282	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-65.58	14.5199995	-206.58
1560929800282	TYPE_GYROSCOPE_UNCALIBRATED	-0.052734375	-0.029830933	-0.07350159
1560929800282	TYPE_ACCELEROMETER_UNCALIBRATED	-0.3471527	0.05267334	9.552872
1560929800303	TYPE_ACCELEROMETER	-0.10774231	-0.03591919	9.593567
1560929800303	TYPE_MAGNETIC_FIELD	-25.5	-13.139999	-25.019999
1560929800303	TYPE_GYROSCOPE	-0.17886353	-0.07376099	-0.023223877
1560929800303	TYPE_ROTATION_VECTOR	1.5669564E-5	1.3053944E-10	-0.8663206
1560929800303	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-65.82	13.98	-206.58
1560929800303	TYPE_GYROSCOPE_UNCALIBRATED	-0.1214447	-0.078826904	-0.052734375
1560929800303	TYPE_ACCELEROMETER_UNCALIBRATED	-0.10774231	-0.03591919	9.593567
1560929800323	TYPE_ACCELEROMETER	0.08859253	-0.25138855	9.895233
1560929800323	TYPE_MAGNETIC_FIELD	-25.38	-13.32	-24.96
1560929800323	TYPE_GYROSCOPE	-0.15116882	-0.033813477	-0.0051116943
1560929800323	TYPE_ROTATION_VECTOR	-0.009512402	0.012317361	-0.8722892
1560929800323	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-65.7	13.799999	-206.51999
1560929800323	TYPE_GYROSCOPE_UNCALIBRATED	-0.1795044	-0.0745697	-0.022369385
1560929800323	TYPE_ACCELEROMETER_UNCALIBRATED	0.08859253	-0.25138855	9.895233
1560929800343	TYPE_ACCELEROMETER	0.18196106	-0.4620819	10.2447815
1560929800343	TYPE_MAGNETIC_FIELD	-25.38	-13.44	-24.96
1560929800343	TYPE_GYROSCOPE	-0.09790039	-0.009841919	-0.02003479
1560929800343	TYPE_ROTATION_VECTOR	-0.010843209	0.013623725	-0.8723183
1560929800343	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-65.7	13.679999	-206.51999
1560929800343	TYPE_GYROSCOPE_UNCALIBRATED	-0.15180969	-0.034622192	-0.004257202
1560929800343	TYPE_ACCELEROMETER_UNCALIBRATED	0.18196106	-0.4620819	10.2447815
1560929800364	TYPE_ACCELEROMETER	0.18675232	-0.41659546	10.189728
1560929800364	TYPE_MAGNETIC_FIELD	-25.5	-13.62	-24.779999
1560929800364	TYPE_GYROSCOPE	-0.0867157	-0.03753662	-0.040283203
1560929800364	TYPE_ROTATION_VECTOR	-0.011618797	0.014619873	-0.87234473
1560929800364	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-65.82	13.499999	-206.34
1560929800364	TYPE_GYROSCOPE_UNCALIBRATED	-0.09854126	-0.010650635	-0.019180298
1560929800364	TYPE_ACCELEROMETER_UNCALIBRATED	0.18675232	-0.41659546	10.189728
1560929800384	TYPE_ACCELEROMETER	0.03352356	-0.14604187	9.8688965
1560929800384	TYPE_MAGNETIC_FIELD	-25.5	-14.04	-24.779999
1560929800384	TYPE_GYROSCOPE	-0.13838196	-0.064712524	-0.04347229
1560929800384	TYPE_ROTATION_VECTOR	-0.012185584	0.015242038	-0.8724865
1560929800384	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-65.82	13.079999	-206.34
1560929800384	TYPE_GYROSCOPE_UNCALIBRATED	-0.08735657	-0.038345337	-0.03942871
1560929800384	TYPE_ACCELEROMETER_UNCALIBRATED	0.03352356	-0.14604187	9.8688965
1560929800404	TYPE_ACCELEROMETER	-0.0071868896	-0.05267334	9.816223
1560929800404	TYPE_MAGNETIC_FIELD	-25.56	-13.92	-24.779999
1560929800404	TYPE_GYROSCOPE	-0.13624573	-0.041809082	-0.045074463
1560929800404	TYPE_ROTATION_VECTOR	-0.013240164	0.015960641	-0.87267864
1560929800404	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-65.88	13.199999	-206.34
1560929800404	TYPE_GYROSCOPE_UNCALIBRATED	-0.1368866	-0.042617798	-0.04421997
1560929800404	TYPE_ACCELEROMETER_UNCALIBRATED	-0.01675415	-0.04548645	9.897629
1560929800424	TYPE_ACCELEROMETER	-0.01675415	-0.04548645	9.897629
1560929800424	TYPE_MAGNETIC_FIELD	-25.619999	-13.86	-24.779999
1560929800424	TYPE_GYROSCOPE	-0.106414795	-0.013046265	-0.032821655
1560929800424	TYPE_ROTATION_VECTOR	-0.014492807	0.016943218	-0.87285745
1560929800424	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-65.94	13.259999	-206.34
1560929800424	TYPE_GYROSCOPE_UNCALIBRATED	-0.107055664	-0.0138549805	-0.031967163
1560929800424	TYPE_ACCELEROMETER_UNCALIBRATED	-0.14604187	0.08859253	9.622299
1560929800445	TYPE_ACCELEROMETER	-0.14604187	0.08859253	9.622299
1560929800445	TYPE_MAGNETIC_FIELD	-25.619999	-13.559999	-24.96
1560929800445	TYPE_GYROSCOPE	-0.092041016	0.012527466	0.009796143
1560929800445	TYPE_ROTATION_VECTOR	-0.01532212	0.017869636	-0.8730541
1560929800445	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-65.94	13.559999	-206.51999
1560929800445	TYPE_GYROSCOPE_UNCALIBRATED	-0.107055664	-0.0138549805	-0.031967163
1560929800445	TYPE_ACCELEROMETER_UNCALIBRATED	0.01675415	0.1149292	9.349365
1560929800465	TYPE_ACCELEROMETER	0.01675415	0.1149292	9.349365
1560929800465	TYPE_MAGNETIC_FIELD	-25.56	-13.139999	-24.96
1560929800465	TYPE_GYROSCOPE	-0.13092041	0.019454956	0.010864258
1560929800465	TYPE_ROTATION_VECTOR	-0.015766196	0.018750764	-0.873082
1560929800465	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-65.88	13.98	-206.51999
1560929800465	TYPE_GYROSCOPE_UNCALIBRATED	-0.092681885	0.01171875	0.010650635
1560929800465	TYPE_ACCELEROMETER_UNCALIBRATED	0.16998291	0.06225586	9.361328
1560929800485	TYPE_ACCELEROMETER	0.16998291	0.06225586	9.361328
1560929800485	TYPE_MAGNETIC_FIELD	-25.56	-13.2	-24.84
1560929800485	TYPE_GYROSCOPE	-0.16767883	-0.027954102	0.0066070557
1560929800485	TYPE_ROTATION_VECTOR	-0.01614388	0.019716183	-0.8729979
1560929800485	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-65.88	13.919999	-206.4
1560929800485	TYPE_GYROSCOPE_UNCALIBRATED	-0.13156128	0.01864624	0.01171875
1560929800485	TYPE_ACCELEROMETER_UNCALIBRATED	-0.0143585205	-0.0047912598	9.686935
1560929800506	TYPE_ACCELEROMETER	-0.0143585205	-0.0047912598	9.686935
1560929800506	TYPE_MAGNETIC_FIELD	-25.5	-13.32	-24.84
1560929800506	TYPE_GYROSCOPE	-0.15222168	-0.059921265	0.008743286
1560929800506	TYPE_ROTATION_VECTOR	-0.016849823	0.021138867	-0.87292355
1560929800506	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-65.82	13.799999	-206.4
1560929800506	TYPE_GYROSCOPE_UNCALIBRATED	-0.15286255	-0.06072998	0.009597778
1560929800506	TYPE_ACCELEROMETER_UNCALIBRATED	-0.18675232	0.06225586	9.797073
1560929800526	TYPE_ACCELEROMETER	-0.18675232	0.06225586	9.797073
1560929800526	TYPE_MAGNETIC_FIELD	-25.199999	-13.139999	-24.96
1560929800526	TYPE_GYROSCOPE	-0.105895996	-0.05406189	0.030578613
1560929800526	TYPE_ROTATION_VECTOR	-0.018118817	0.022355149	-0.8728532
1560929800526	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-65.52	13.98	-206.51999
1560929800526	TYPE_GYROSCOPE_UNCALIBRATED	-0.106536865	-0.054870605	0.031433105
1560929800526	TYPE_ACCELEROMETER_UNCALIBRATED	-0.1771698	0.28970337	9.528915
1560929800546	TYPE_ACCELEROMETER	-0.1771698	0.28970337	9.528915
1560929800546	TYPE_MAGNETIC_FIELD	-25.08	-12.719999	-25.14
1560929800546	TYPE_GYROSCOPE	-0.10429382	0.0040130615	0.049209595
1560929800546	TYPE_ROTATION_VECTOR	-0.019330163	0.023163037	-0.87271357
1560929800546	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-65.4	14.4	-206.7
1560929800546	TYPE_GYROSCOPE_UNCALIBRATED	-0.106536865	-0.054870605	0.031433105
1560929800546	TYPE_ACCELEROMETER_UNCALIBRATED	-0.02394104	0.4620819	9.23204
1560929800567	TYPE_ACCELEROMETER	-0.02394104	0.4620819	9.23204
1560929800567	TYPE_MAGNETIC_FIELD	-25.019999	-13.0199995	-25.08
1560929800567	TYPE_GYROSCOPE	-0.14743042	0.017852783	0.048675537
1560929800567	TYPE_ROTATION_VECTOR	-0.019997928	0.023929063	-0.87249416
1560929800567	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-65.34	14.099999	-206.64
1560929800567	TYPE_GYROSCOPE_UNCALIBRATED	-0.10493469	0.0032043457	0.050064087
1560929800567	TYPE_ACCELEROMETER_UNCALIBRATED	0.10774231	0.3902588	9.155426
1560929800587	TYPE_ACCELEROMETER	0.10774231	0.3902588	9.155426
1560929800587	TYPE_MAGNETIC_FIELD	-25.019999	-12.719999	-24.96
1560929800587	TYPE_GYROSCOPE	-0.20709229	0.011474609	0.046020508
1560929800587	TYPE_ROTATION_VECTOR	-0.020466985	0.02504746	-0.8722136
1560929800587	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-65.34	14.4	-206.51999
1560929800587	TYPE_GYROSCOPE_UNCALIBRATED	-0.20773315	0.010665894	0.046875
1560929800587	TYPE_ACCELEROMETER_UNCALIBRATED	0.25138855	0.07901001	9.452301
1560929800607	TYPE_ACCELEROMETER	0.25138855	0.07901001	9.452301
1560929800607	TYPE_MAGNETIC_FIELD	-24.779999	-12.9	-24.539999
1560929800607	TYPE_GYROSCOPE	-0.2193451	-0.03967285	0.016189575
1560929800607	TYPE_ROTATION_VECTOR	-0.021157548	0.026762085	-0.8719119
1560929800607	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-65.1	14.219999	-206.09999
1560929800607	TYPE_GYROSCOPE_UNCALIBRATED	-0.21998596	-0.040481567	0.017044067
1560929800607	TYPE_ACCELEROMETER_UNCALIBRATED	0.21548462	-0.1197052	9.864105
1560929800627	TYPE_ACCELEROMETER	0.21548462	-0.1197052	9.864105
1560929800627	TYPE_MAGNETIC_FIELD	-24.779999	-13.0199995	-24.539999
1560929800627	TYPE_GYROSCOPE	-0.1847229	-0.0663147	-0.0029907227
1560929800627	TYPE_ROTATION_VECTOR	-0.022327196	0.028661171	-0.8717035
1560929800627	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-65.1	14.099999	-206.09999
1560929800627	TYPE_GYROSCOPE_UNCALIBRATED	-0.18536377	-0.06712341	-0.0021362305
1560929800627	TYPE_ACCELEROMETER_UNCALIBRATED	0.22744751	0.0071868896	9.988617
1560929800668	TYPE_WIFI	415a298481b559bd13ded733cbcf0ac39ee2e9c2	0ceecf76d4915531acc82a2a4414276c459d0335	-85	5200	1560929800145
1560929800668	TYPE_WIFI	a39f7616b9bb60d3c3fd2bcdcc6e09f4ce6a8cb1	1601749213aa2246fd6d7b215a788c140b3a80c6	-85	5200	1560929800146
1560929800668	TYPE_WIFI	415a298481b559bd13ded733cbcf0ac39ee2e9c2	5e1b234b48fb44c013f88fa3092ed71942fc3b33	-85	5220	1560929794046
1560929800668	TYPE_WIFI	a39f7616b9bb60d3c3fd2bcdcc6e09f4ce6a8cb1	d33bb3941e02c3fb1834eb896a6fbd0899bb641e	-86	5220	1560929800160
1560929800668	TYPE_WIFI	415a298481b559bd13ded733cbcf0ac39ee2e9c2	a330169b12527ab950f8578c5b54cbea2c474491	-84	5300	1560929800401
1560929800668	TYPE_WIFI	a39f7616b9bb60d3c3fd2bcdcc6e09f4ce6a8cb1	a02b034da4f8201868b1a76277410eab9e3cc99a	-86	5300	1560929800401
1560929800668	TYPE_WIFI	e1d5268b915b0d2eeb5037c256beea8eef83dc99	4f549e33c27e4cd1532b53234bc903542bc4005f	-68	2412	1560929791840
1560929800668	TYPE_WIFI	6df78991874bef6a2ea71332aa7c6e58dc5346d8	177bc6b43954a47bf6ac0021ec0617027b071b18	-73	2412	1560929800168
1560929800668	TYPE_WIFI	a39f7616b9bb60d3c3fd2bcdcc6e09f4ce6a8cb1	9a6ab3cdaa4e0ee3308327157918584551252651	-61	5805	1560929800217
1560929800668	TYPE_WIFI	415a298481b559bd13ded733cbcf0ac39ee2e9c2	93b01765e148161e77fae4399a87bf45be582c95	-61	5805	1560929800217
1560929800668	TYPE_WIFI	a39f7616b9bb60d3c3fd2bcdcc6e09f4ce6a8cb1	bf172708939fd630142e2f4a8f0e61c7ab7400f6	-81	5260	1560929800260
1560929800668	TYPE_WIFI	415a298481b559bd13ded733cbcf0ac39ee2e9c2	ab6ff594def5c29fff6648a592bbea7399a1a53d	-88	5300	1560929790854
1560929800668	TYPE_WIFI	a39f7616b9bb60d3c3fd2bcdcc6e09f4ce6a8cb1	dbc621d280cba86e06be06ca545303a622b81565	-89	5300	1560929790847
1560929800668	TYPE_WIFI	a39f7616b9bb60d3c3fd2bcdcc6e09f4ce6a8cb1	eef9a05c5a784357d087d501d861b8e952a582d0	-86	5805	1560929800217
1560929800668	TYPE_WIFI	415a298481b559bd13ded733cbcf0ac39ee2e9c2	d4d174a998d0f24b90de59fb66e001a506060d77	-80	5260	1560929800261
1560929800668	TYPE_WIFI	a39f7616b9bb60d3c3fd2bcdcc6e09f4ce6a8cb1	50145e7cc9b651c86f0d778b1dd06240b921e1c3	-80	5260	1560929800261
1560929800668	TYPE_WIFI	1bd1a80f899df8280eabaa79027383b72dc9fa19	8eeba3c1855f3974fbc455dc8f70a6de1076d000	-82	2427	1560929788508
1560929800668	TYPE_WIFI	a39f7616b9bb60d3c3fd2bcdcc6e09f4ce6a8cb1	56b32cda163f9669be60d9d955674277800fa919	-76	5765	1560929793382
1560929800668	TYPE_WIFI	415a298481b559bd13ded733cbcf0ac39ee2e9c2	140e4298fc731c9724370ccd1cc1dc425925de85	-81	5260	1560929800260
1560929800668	TYPE_WIFI	e2bdbd3f6087b1f45e1ab3bba900cd6d8423a5bd	ffad86c8c8360186154a7fa07abfebc2f786fe2e	-75	2412	1560929800162
1560929800668	TYPE_WIFI	415a298481b559bd13ded733cbcf0ac39ee2e9c2	13fcba9d7c1e993cd2d7e51af789c722163679d4	-83	5765	1560929800193
1560929800668	TYPE_WIFI	415a298481b559bd13ded733cbcf0ac39ee2e9c2	93b278bc39a25f3943e0d44dd07c6c0fe543e948	-87	5805	1560929800216
1560929800668	TYPE_WIFI	a39f7616b9bb60d3c3fd2bcdcc6e09f4ce6a8cb1	4a4935f0beafd46d731f81216b338e4666f24c36	-78	2472	1560929771439
1560929800668	TYPE_WIFI	415a298481b559bd13ded733cbcf0ac39ee2e9c2	a729b0d049b97732a368e26e570572985a55f723	-75	5300	1560929800488
1560929800668	TYPE_WIFI	a39f7616b9bb60d3c3fd2bcdcc6e09f4ce6a8cb1	73d1a7e4dad01e03f7848b259cef5639eccf967a	-75	5300	1560929800489
1560929800668	TYPE_WIFI	da39a3ee5e6b4b0d3255bfef95601890afd80709	2b2cb14ed2e88627279672bda916668898362772	-73	2452	1560929789385
1560929800668	TYPE_WIFI	9294322dd3904120917f0d1c3e05691923d85f0e	31a4b5b886852a6ec7baf147e9f3020a3e9b3f99	-82	2462	1560929792863
1560929800668	TYPE_WIFI	c11d0916a898457dff0e882abac909c6f5a34ebd	000f36d395fe2b9f9a1b2530f0373af599842ae4	-80	2462	1560929794281
1560929800668	TYPE_WIFI	415a298481b559bd13ded733cbcf0ac39ee2e9c2	f9825717ed6d8fdd55835340829108b066e85235	-47	2472	1560929800540
1560929800668	TYPE_WIFI	6f8bb98698f5007a846973a0877d60b321516bee	d0c06949fc40c686ecdee0ababb440be9f37f2bc	-78	2412	1560929788432
1560929800668	TYPE_WIFI	a39f7616b9bb60d3c3fd2bcdcc6e09f4ce6a8cb1	68387db3dd760737d3e08893910d735f0138c01a	-57	5300	1560929800419
1560929800668	TYPE_WIFI	377c4c4a4c791171ef164c1970699829183f2934	a407b58c07831a3cfacb860f90b3cc3f3b579fa1	-57	5300	1560929800419
1560929800668	TYPE_WIFI	a39f7616b9bb60d3c3fd2bcdcc6e09f4ce6a8cb1	507a281d04cb27eb35923fb63b84397b8d012021	-61	5220	1560929800160
1560929800668	TYPE_WIFI	da39a3ee5e6b4b0d3255bfef95601890afd80709	3165285b58f8950bfb26939b92c12baaccc988ff	-81	2432	1560929790682
1560929800668	TYPE_WIFI	a39f7616b9bb60d3c3fd2bcdcc6e09f4ce6a8cb1	c45109a0da1cefc838e78b49ead45c4c6c071dd2	-79	2472	1560929788839
1560929800668	TYPE_WIFI	415a298481b559bd13ded733cbcf0ac39ee2e9c2	e07a56dbb1c0383a0dd7e5209798262f7200754c	-61	5220	1560929800160
